
[00:00:00.000 --> 00:00:05.000]  各位大家好,時間過得很快
[00:00:05.000 --> 00:00:10.000]  我們終於來到最後一堂的迷霧裡的照明
[00:00:10.000 --> 00:00:14.000]  今晚我會和大家一起去到思想亞摩斯
[00:00:14.000 --> 00:00:18.000]  他的人生、他的照明、他的亂世
[00:00:18.000 --> 00:00:21.000]  又或者他所身處的盛世
[00:00:21.000 --> 00:00:24.000]  其怎樣其實都是一個亂世
[00:00:24.000 --> 00:00:28.000]  祈求主的話成為我們的指引和提醒
[00:00:28.000 --> 00:00:30.000]  我們一起祈禱吧
[00:00:30.000 --> 00:00:34.000]  多謝天父讓我們今晚一同研讀你的話
[00:00:34.000 --> 00:00:36.000]  特別透過亞摩斯本人
[00:00:36.000 --> 00:00:39.000]  能夠可以重新尋索他的身份
[00:00:39.000 --> 00:00:41.000]  他的照明到底是怎樣
[00:00:41.000 --> 00:00:44.000]  你也祈求主,你也透過孩子
[00:00:44.000 --> 00:00:47.000]  講解你的說話清楚明白
[00:00:47.000 --> 00:00:50.000]  我們一同謙卑去到領受
[00:00:50.000 --> 00:00:54.000]  禱告是奉耶穌基督命求,阿們
[00:00:54.000 --> 00:00:58.000]  今天我們首先會去到論述
[00:00:58.000 --> 00:01:03.000]  亞摩斯所身處北國當時執政的皇帝
[00:01:03.000 --> 00:01:05.000]  究竟是一個甚麼的年代
[00:01:05.000 --> 00:01:08.000]  這個皇帝就是耶羅波安二世
[00:01:08.000 --> 00:01:10.000]  這是第一
[00:01:10.000 --> 00:01:15.000]  然後我們看看當時在他神諭的過程當中
[00:01:15.000 --> 00:01:17.000]  在他所描述的光景裡
[00:01:17.000 --> 00:01:22.000]  他所評擊的對象面對一個怎樣的生命問題
[00:01:22.000 --> 00:01:25.000]  我們構定那個問題
[00:01:25.000 --> 00:01:27.000]  就是公平與公義的問題
[00:01:27.000 --> 00:01:29.000]  這是第二
[00:01:29.000 --> 00:01:33.000]  最後我們會透過亞摩斯
[00:01:33.000 --> 00:01:37.000]  怎樣論述他自己本身是一個牧羊人
[00:01:37.000 --> 00:01:44.000]  然後被呼召由南國到北國充當先知的角色
[00:01:44.000 --> 00:01:48.000]  怎樣和另外一位人兄進行激辯
[00:01:48.000 --> 00:01:52.000]  而在激辯的過程當中怎樣解說自己
[00:01:52.000 --> 00:01:56.000]  做先知不是為了糊口的一個論述
[00:01:56.000 --> 00:01:58.000]  這是第三
[00:01:58.000 --> 00:02:02.000]  從而我們更加全面地去了解亞摩斯
[00:02:02.000 --> 00:02:05.000]  究竟他當時怎樣活過
[00:02:05.000 --> 00:02:07.000]  在他的迷霧和亂世
[00:02:07.000 --> 00:02:11.000]  以及對照命是怎樣能夠發掘得到
