
[00:00:00.000 --> 00:00:06.520]  我們來到追尋基督王國的第三講
[00:00:06.520 --> 00:00:09.800]  第一講是講到政治
[00:00:09.800 --> 00:00:12.600]  即是講到教宗的發展
[00:00:12.600 --> 00:00:15.100]  第二講是講到學術
[00:00:15.100 --> 00:00:17.360]  即是講到神學的問題
[00:00:17.360 --> 00:00:22.920]  第三講我們今天開始講中世紀靈修的故事
[00:00:22.920 --> 00:00:25.960]  每一個題目都是很大的
[00:00:25.960 --> 00:00:27.520]  無論是教宗、神學
[00:00:27.520 --> 00:00:29.520]  或者今天講的靈修
[00:00:29.520 --> 00:00:34.360]  所以我們每一個小時可以講的題目都是很少
[00:00:34.360 --> 00:00:38.240]  如果大家有興趣可以買這本書《Dukila Code》
[00:00:38.240 --> 00:00:41.360]  就可以在網上買到夏小弟的作品
[00:00:41.360 --> 00:00:47.040]  我們來到中世紀的靈修傳統
[00:00:47.040 --> 00:00:51.120]  我們這個副題是《尋找上帝的同在》
[00:00:51.120 --> 00:00:55.640]  我們接著看看為甚麼給這個副題
[00:00:55.640 --> 00:01:00.760]  其實甚麼叫做靈修或者靈命
[00:01:00.760 --> 00:01:01.960]  怎樣叫都好
[00:01:01.960 --> 00:01:04.560]  英文就是Spirituality
[00:01:04.560 --> 00:01:13.680]  其實不是一個很科學化或者很清楚的一個字眼
[00:01:13.680 --> 00:01:15.160]  What is spirituality?
[00:01:15.160 --> 00:01:17.640]  甚麼是靈命或者靈修呢?
[00:01:17.640 --> 00:01:20.640]  有時我們想到靈修
[00:01:20.640 --> 00:01:24.040]  可能我們馬上想到是某一種的活動
[00:01:24.040 --> 00:01:30.120]  假如教會的牧者問你有沒有靈修
[00:01:30.120 --> 00:01:31.680]  如果這樣問的話
[00:01:31.680 --> 00:01:36.440]  當然他可能是在問你有沒有早上起床
[00:01:36.440 --> 00:01:39.560]  或者睡覺前讀經、禱告
[00:01:39.560 --> 00:01:42.400]  所以有時在一般的用語
[00:01:42.400 --> 00:01:47.400]  靈修好像是指某一種的活動
[00:01:47.400 --> 00:01:50.280]  但是從一個闊一點的角度
[00:01:50.280 --> 00:01:53.840]  靈修是否只是指某一種的活動呢?
[00:01:53.840 --> 00:02:02.760]  例如如果你沒有一種傳統的靈修模式
[00:02:02.760 --> 00:02:04.800]  即是每早讀經、禱告
[00:02:04.800 --> 00:02:07.240]  或者每晚睡覺前讀經、禱告
[00:02:07.240 --> 00:02:11.520]  是否代表你沒有屬靈生命
[00:02:11.520 --> 00:02:14.800]  你沒有Spirituality呢?
[00:02:14.800 --> 00:02:18.920]  很多人會覺得
[00:02:18.920 --> 00:02:24.920]  雖然他沒有教會通常教導的那種靈修方式
[00:02:24.920 --> 00:02:27.880]  但他會覺得他也是一個Spiritual
