
[00:00:00.000 --> 00:00:26.000]  大家好,我們今天會開始講第二課,追尋基督王國的第二課,是講中世紀神學的故事。
[00:00:26.000 --> 00:00:35.000]  第一課講了教宗的興衰,第二課開始講學術和神學之間的問題。
[00:00:35.000 --> 00:00:53.000]  這三課講的內容,當然一小時內講的內容都很有限,所以如果大家想知道更多,可以買小弟寫的書,追尋基督王國中世紀教會政治學術和靈命的演變。
[00:00:53.000 --> 00:00:58.000]  可以在網上買到
[00:00:58.000 --> 00:01:07.000]  我們講中世紀神學的題目是建立世界秩序
[00:01:07.000 --> 00:01:15.000]  其實神學做甚麼的呢?其實都是一個不容易回答的問題
[00:01:15.000 --> 00:01:26.000]  有些人的想像之中,神學就是講一大堆教義,根據聖經歸納出一大堆教義
[00:01:26.000 --> 00:01:34.000]  但是你這樣想的時候,還要回答一個問題,就是哪些教義呢?
[00:01:34.000 --> 00:01:40.000]  就算你說神的教義,任何年代我們都要問,神是一個怎樣的神
[00:01:40.000 --> 00:01:48.000]  但是神的哪一方面對我們重要呢?或者神有甚麼問題對我們重要呢?
[00:01:48.000 --> 00:01:56.000]  或者我們對神回答了某些問題,那些答案是怎樣才算是一個好的答案呢?
[00:01:56.000 --> 00:02:08.000]  其實這個隨著一個社會的思潮的改變,我們關心甚麼問題,怎樣去衡量一個問題是否正確,都會不斷地改變
[00:02:08.000 --> 00:02:11.000]  以至神學也在改變中
[00:02:11.000 --> 00:02:22.000]  簡化來說,很大體來說,中世紀神學的一個特色就是嘗試為世界建立秩序
[00:02:22.000 --> 00:02:32.000]  由亂到治,因為早中世紀的人覺得世界很混亂
[00:02:32.000 --> 00:02:40.000]  希望透過一些神學的反省,可以為這個世界建立一個秩序
[00:02:40.000 --> 00:02:46.000]  我們再想想甚麼是神學
[00:02:46.000 --> 00:02:54.000]  Heading的意思是羅馬帝國的消失對神學的發展影響很大
[00:02:54.000 --> 00:02:58.000]  不過我們先講一些背景
[00:02:58.000 --> 00:03:02.000]  甚麼是神學?這裡給予其中一個答案
[00:03:02.000 --> 00:03:08.000]  用當時人的語言回答當時的問題
[00:03:08.000 --> 00:03:16.000]  這個也想你明白一件事,神學永遠都是很處境化的
[00:03:16.000 --> 00:03:20.000]  為甚麼我們需要神學?為甚麼我們不是拿一本聖經就可以?
[00:03:20.000 --> 00:03:23.000]  中世紀的人是否會讀聖經?
[00:03:23.000 --> 00:03:28.000]  其實中世紀的人,無論是神學家或修士
[00:03:28.000 --> 00:03:34.000]  他們都經常讀聖經,不是那些扔了聖經走的人
[00:03:34.000 --> 00:03:41.000]  不過讀完聖經後,聖經講的議題未必是我們關心的議題
[00:03:41.000 --> 00:03:47.000]  所以如何將聖經的訊息翻譯成為我們今天要回答的東西?
[00:03:47.000 --> 00:03:50.000]  這就是神學的功課
[00:03:50.000 --> 00:03:55.000]  亦涉及用甚麼語言去表達
[00:03:55.000 --> 00:03:57.000]  例如由舊約開始
[00:03:57.000 --> 00:04:02.000]  舊約的先知經常都叫以色列人
[00:04:02.000 --> 00:04:05.000]  不可以拜其他神明
[00:04:05.000 --> 00:04:08.000]  舊約有一個用詞
[00:04:08.000 --> 00:04:12.000]  就是在每個山崗上、青草或樹下
[00:04:12.000 --> 00:04:17.000]  山崗上或大樹下都去拜
[00:04:17.000 --> 00:04:21.000]  這反映中世紀的文化
[00:04:21.000 --> 00:04:25.000]  高山是因為較近上天,所以近神明
[00:04:25.000 --> 00:04:32.000]  大樹、青翠樹是因為人們認為樹是代表生命力
[00:04:32.000 --> 00:04:35.000]  如果一棵大、特別青翠的樹
[00:04:35.000 --> 00:04:38.000]  可能會有神明在那裏
[00:04:38.000 --> 00:04:41.000]  所以在那裏拜祂就方便了
[00:04:41.000 --> 00:04:45.000]  如果大家看過《倩女幽魂》可能都明白這種想法
[00:04:45.000 --> 00:04:51.000]  因為中世紀的文化是多神宗教的文化
[00:04:51.000 --> 00:04:57.000]  甚至可以說是一種拜自然現象的文化
[00:04:57.000 --> 00:05:01.000]  所以舊約經常討論的神學問題
[00:05:01.000 --> 00:05:04.000]  就是你不可以拜這些東西
[00:05:04.000 --> 00:05:06.000]  這些東西是引誘來的
[00:05:06.000 --> 00:05:14.000]  雖然今天在元朗都有許願樹
[00:05:14.000 --> 00:05:19.000]  但我想一般人不會看到那棵樹就去拜
[00:05:19.000 --> 00:05:25.000]  所以這些舊約的經文不是直接應用在我們身上
[00:05:25.000 --> 00:05:29.000]  我想亦沒有人會覺得要求神明的話
[00:05:29.000 --> 00:05:33.000]  上去大霧山頂禱告一定特別有效
[00:05:33.000 --> 00:05:36.000]  今日的人都不會這樣想
[00:05:36.000 --> 00:05:39.000]  但是否代表舊約那種引誘
[00:05:39.000 --> 00:05:42.000]  拜神明的引誘沒有了呢?
[00:05:42.000 --> 00:05:44.000]  當然不是
[00:05:44.000 --> 00:05:47.000]  今日的人可能會拜神明
[00:05:47.000 --> 00:05:52.000]  放水晶在家裏或是看風水
[00:05:52.000 --> 00:05:57.000]  所以可以說如果我們用舊約關心的東西
[00:05:57.000 --> 00:05:59.000]  就是他們拜多神
[00:05:59.000 --> 00:06:01.000]  例如去到香港的處境
[00:06:01.000 --> 00:06:04.000]  可能會說你不應該看風水
[00:06:04.000 --> 00:06:07.000]  不應該找風水師、不應該看相
[00:06:07.000 --> 00:06:09.000]  舊約沒有提及看相
[00:06:09.000 --> 00:06:11.000]  舊約沒有提及看風水
[00:06:11.000 --> 00:06:15.000]  你由舊約清脆樹下、高山上
[00:06:15.000 --> 00:06:20.000]  轉移到不要看相
[00:06:20.000 --> 00:06:22.000]  不要叫人看風水
[00:06:22.000 --> 00:06:25.000]  這就是一個神學的翻譯
[00:06:25.000 --> 00:06:27.000]  或者是一個神學的議題
[00:06:27.000 --> 00:06:30.000]  又例如說
[00:06:30.000 --> 00:06:33.000]  如果你看新約的話
