
[00:00:00.000 --> 00:00:05.320]  各位頂尖妹大家好
[00:00:05.320 --> 00:00:10.000]  很高興我們來到第三堂的迷霧裡的照明
[00:00:10.000 --> 00:00:11.480]  在今堂裏面
[00:00:11.480 --> 00:00:15.880]  我們一定會去探討以塞雅的夢照
[00:00:15.880 --> 00:00:18.520]  和她的時代到底是怎樣的
[00:00:18.520 --> 00:00:21.680]  我們一起有個祈禱開始
[00:00:21.680 --> 00:00:23.080]  慈悲人愛的天父
[00:00:23.080 --> 00:00:27.920]  多謝你讓我們今天能夠在這個晚上一同學習
[00:00:27.920 --> 00:00:32.600]  特別是以塞雅的時代和她的夢照
[00:00:32.600 --> 00:00:36.960]  讓我們去反思我們的生命究竟藉著以塞雅
[00:00:36.960 --> 00:00:40.400]  去到怎樣得著塑造、得著你的無造
[00:00:40.400 --> 00:00:42.360]  和得著你的提醒
[00:00:42.360 --> 00:00:46.760]  幫助孩子講解你的話語清楚和明白
[00:00:46.760 --> 00:00:49.520]  我們同心謙卑去領受
[00:00:49.520 --> 00:00:52.120]  祈禱是奉耶穌基督領求
[00:00:52.120 --> 00:00:53.800]  阿們
[00:00:53.800 --> 00:00:56.760]  今天我們集中處理的經文
[00:00:56.760 --> 00:00:59.520]  就是來自以塞雅書的第六章
[00:00:59.520 --> 00:01:03.520]  這一章是大家耳熟能詳的一章
[00:01:03.520 --> 00:01:06.040]  也是整本的以塞雅書
[00:01:06.040 --> 00:01:09.040]  如果我們要明白她的神學思想的時候
[00:01:09.040 --> 00:01:12.920]  就一定是需要閱讀以塞雅書的第六章
[00:01:12.920 --> 00:01:15.440]  所以我們今天的主一學
[00:01:15.440 --> 00:01:18.200]  也很想和大家一起探討
[00:01:18.200 --> 00:01:22.080]  以塞雅當時她所身處的環境
[00:01:22.080 --> 00:01:25.240]  她的亂世到底是怎樣
[00:01:25.240 --> 00:01:29.480]  她的大時代怎樣塑造和孕育以塞雅
[00:01:29.480 --> 00:01:31.320]  她自己的照明
[00:01:31.320 --> 00:01:33.680]  所以我們就事不宜遲
[00:01:33.680 --> 00:01:38.120]  和大家一起看看以塞雅她的時代
[00:01:38.120 --> 00:01:41.800]  一開始我就有一個表給大家去看
[00:01:41.800 --> 00:01:44.520]  這個表就是有些歷史
[00:01:44.520 --> 00:01:46.920]  很想大家一起去重溫
[00:01:46.920 --> 00:01:50.320]  就是以塞雅書她的歷史場景
[00:01:50.320 --> 00:01:52.600]  如果我們說以塞雅書
[00:01:52.600 --> 00:01:54.440]  特別在先知書裏面
[00:01:54.440 --> 00:01:56.800]  我們要閱讀一本先知書
[00:01:56.800 --> 00:02:02.160]  我們就一定需要了解先知書背後的歷史場景
[00:02:02.160 --> 00:02:05.280]  我們才知道那一本先知書
[00:02:05.280 --> 00:02:09.200]  究竟怎樣對應甚麼的場景
[00:02:09.200 --> 00:02:11.320]  甚麼的時代去專講
[00:02:11.320 --> 00:02:14.440]  因為時代造就先知
[00:02:14.440 --> 00:02:16.640]  先知回應時代
[00:02:16.640 --> 00:02:18.440]  這個是很一定的
[00:02:18.440 --> 00:02:20.400]  我們就要問一個問題
[00:02:20.400 --> 00:02:25.240]  到底以塞雅其實是一個甚麼年代的人
[00:02:25.240 --> 00:02:28.920]  其實我們首先就要知道任何的先知書
[00:02:28.920 --> 00:02:32.400]  需要分究竟她是南國的先知
[00:02:32.400 --> 00:02:34.400]  還是北國的先知
[00:02:34.400 --> 00:02:36.880]  又或者就算分了南北國也好
[00:02:36.880 --> 00:02:40.320]  究竟在這麼長的王國歷史裏面
[00:02:40.320 --> 00:02:44.520]  這位先知是對應甚麼的皇帝去進行先知
[00:02:44.520 --> 00:02:48.880]  如果我們發現以塞雅在第六章的第一節
[00:02:48.880 --> 00:02:52.280]  她有一句就是「烏西亞王賓的那年」
[00:02:52.280 --> 00:02:55.080]  又或者在以塞雅書的第一章第一節
[00:02:55.080 --> 00:02:59.360]  她有提到四個皇帝的年代當中
[00:02:59.360 --> 00:03:01.200]  她是做先知的
[00:03:01.200 --> 00:03:06.520]  這四個皇帝全部都是屬於南國猶大國的皇帝
[00:03:06.520 --> 00:03:12.120]  所以我們就能夠可以確定以塞雅其實是南國的先知
[00:03:12.120 --> 00:03:18.280]  這四個皇帝就是烏西亞、約坦、阿哈斯和契西格
[00:03:18.280 --> 00:03:19.720]  這四個皇帝
[00:03:19.720 --> 00:03:21.560]  我們先看看她的年份
[00:03:21.560 --> 00:03:24.840]  我們都知道猶大王執政的年間
[00:03:24.840 --> 00:03:30.880]  烏西亞是主前的787年到主前的736年
[00:03:30.880 --> 00:03:35.200]  你也會看到以塞雅書的第六章的第一節
[00:03:35.200 --> 00:03:39.480]  裏面有提到烏西亞王賓的那年
