
[00:00:00.000 --> 00:00:01.800]  各位丁姐妹大家好
[00:00:01.800 --> 00:00:06.000]  歡迎來到主一學裏面的最後一課
[00:00:06.000 --> 00:00:07.120]  第五課
[00:00:07.120 --> 00:00:08.360]  我是高明軒
[00:00:08.360 --> 00:00:12.560]  繼續為大家講解雅各書的智慧
[00:00:12.560 --> 00:00:15.440]  我們一起有個祈禱吧
[00:00:15.440 --> 00:00:16.960]  慈悲人愛的天父
[00:00:16.960 --> 00:00:19.040]  多謝你讓我們今晚裏面
[00:00:19.040 --> 00:00:21.240]  終於來到最後一課
[00:00:21.240 --> 00:00:23.800]  我們真的很想透過雅各書
[00:00:23.800 --> 00:00:26.080]  這個新約的智慧文學
[00:00:26.080 --> 00:00:30.440]  能夠去到明白一片雲霧的人生當中
[00:00:30.440 --> 00:00:31.280]  主啊
[00:00:31.280 --> 00:00:33.200]  你究竟透過雅各
[00:00:33.200 --> 00:00:36.880]  對我們有什麼的教導和提醒
[00:00:36.880 --> 00:00:38.440]  也幫助孩子
[00:00:38.440 --> 00:00:41.720]  講解你的說話清楚和明白
[00:00:41.720 --> 00:00:43.880]  我們同心一同領受
[00:00:43.880 --> 00:00:44.840]  禱告
[00:00:44.840 --> 00:00:46.840]  祈奉耶穌基督的名號
[00:00:46.840 --> 00:00:48.720]  阿們
[00:00:48.720 --> 00:00:50.760]  在今晚這個課程裏面
[00:00:50.760 --> 00:00:52.920]  我主要為大家
[00:00:52.920 --> 00:00:56.120]  去到講解兩段雅各書的經文
[00:00:56.120 --> 00:00:57.080]  第一段
[00:00:57.080 --> 00:01:00.320]  就是由第二章的第一節開始
[00:01:00.320 --> 00:01:03.920]  關乎一種叫做以貌取人的
[00:01:03.920 --> 00:01:07.520]  一個教會常常見到的現況
[00:01:07.520 --> 00:01:09.680]  在一個這樣的現況底下
[00:01:09.680 --> 00:01:11.720]  雅各這個智慧文學
[00:01:11.720 --> 00:01:16.320]  給我們有什麼人生的決定和選取
[00:01:16.320 --> 00:01:18.440]  第二段就是由第四章
[00:01:18.440 --> 00:01:20.400]  去到第五章的開頭
[00:01:20.400 --> 00:01:25.720]  這一段就是在人生如一片雲霧的情況底下
[00:01:25.720 --> 00:01:28.440]  我應該帶著一個什麼的心態
[00:01:28.440 --> 00:01:31.000]  去面對我們的人生
[00:01:31.000 --> 00:01:33.840]  所以很想為大家一起去到
[00:01:33.840 --> 00:01:35.720]  解述當中的道理
[00:01:35.720 --> 00:01:37.760]  我們就事不宜遲
[00:01:37.760 --> 00:01:39.800]  和大家一起去到看看
