
[00:00:00.000 --> 00:00:02.000]  大型節目 早安
[00:00:02.000 --> 00:00:03.000]  我侍奉的時候
[00:00:03.000 --> 00:00:05.000]  我最開心和最感恩的是
[00:00:05.000 --> 00:00:07.000]  能夠見到
[00:00:07.000 --> 00:00:08.000]  什麼叫做同感一靈
[00:00:08.000 --> 00:00:10.000]  我完全不知道斯班尼獻醜過的
[00:00:10.000 --> 00:00:12.000]  是的
[00:00:12.000 --> 00:00:14.000]  他們都不知道我說這篇
[00:00:14.000 --> 00:00:16.000]  所以上帝是很奇妙的
[00:00:16.000 --> 00:00:17.000]  我想說
[00:00:17.000 --> 00:00:19.000]  你們見到上帝會工作
[00:00:19.000 --> 00:00:21.000]  今天是父親節
[00:00:21.000 --> 00:00:23.000]  先說一次
[00:00:23.000 --> 00:00:24.000]  父親節快樂
[00:00:24.000 --> 00:00:25.000]  和你身邊的
[00:00:25.000 --> 00:00:26.000]  如果見到爸爸
[00:00:26.000 --> 00:00:27.000]  父親節快樂
[00:00:27.000 --> 00:00:35.000]  好
[00:00:35.000 --> 00:00:37.000]  各位父親問候完了
[00:00:37.000 --> 00:00:39.000]  想問
[00:00:39.000 --> 00:00:41.000]  你是不是真的快樂
[00:00:41.000 --> 00:00:43.000]  OK
[00:00:43.000 --> 00:00:44.000]  為什麼我會這樣說呢
[00:00:44.000 --> 00:00:45.000]  我想告訴大家
[00:00:45.000 --> 00:00:47.000]  或者很正式的
[00:00:47.000 --> 00:00:49.000]  和大家宣佈
[00:00:49.000 --> 00:00:50.000]  這個世界上
[00:00:50.000 --> 00:00:52.000]  最會說謊的物種
[00:00:52.000 --> 00:00:54.000]  就是爸爸
[00:00:54.000 --> 00:00:55.000]  為什麼呢
[00:00:55.000 --> 00:00:56.000]  因為你每一次
[00:00:56.000 --> 00:00:57.000]  我不知道大家有沒有留意
[00:00:57.000 --> 00:00:59.000]  當你問他的時候
[00:00:59.000 --> 00:01:00.000]  你有沒有事
[00:01:00.000 --> 00:01:02.000]  沒事
[00:01:02.000 --> 00:01:03.000]  需要嗎
[00:01:03.000 --> 00:01:04.000]  不需要
[00:01:04.000 --> 00:01:05.000]  痛不痛
[00:01:05.000 --> 00:01:06.000]  不痛
[00:01:06.000 --> 00:01:07.000]  辛苦嗎
[00:01:07.000 --> 00:01:09.000]  不辛苦
[00:01:09.000 --> 00:01:11.000]  為什麼我會這樣說呢
[00:01:11.000 --> 00:01:14.000]  這是典型的爸爸的例子
[00:01:14.000 --> 00:01:17.000]  我爸爸是一夫當關
[00:01:17.000 --> 00:01:19.000]  我家有七兄弟姐妹
[00:01:19.000 --> 00:01:20.000]  你可以想像
[00:01:20.000 --> 00:01:22.000]  要養七個法骨龍
[00:01:22.000 --> 00:01:24.000]  我爸爸是做沙廠的
[00:01:24.000 --> 00:01:25.000]  沙廠很熱的
[00:01:25.000 --> 00:01:27.000]  所以他每天的工作
[00:01:27.000 --> 00:01:29.000]  是要做十二個小時
[00:01:29.000 --> 00:01:31.000]  所以小時候
[00:01:31.000 --> 00:01:32.000]  我爸爸說了一句
[00:01:32.000 --> 00:01:34.000]  是真的不懂溝通
[00:01:34.000 --> 00:01:36.000]  一定不會的
[00:01:36.000 --> 00:01:37.000]  他只有一個任務
[00:01:37.000 --> 00:01:39.000]  就是賺錢
[00:01:39.000 --> 00:01:41.000]  回來養家
