
[00:00:00.000 --> 00:00:03.640]  感謝神在今天早上有國禧二仙教士
[00:00:03.640 --> 00:00:06.840]  來跟我們當中分享神的話語
[00:00:06.840 --> 00:00:14.840]  相關經文記載在約翰福音15章1至16節
[00:00:14.840 --> 00:00:23.840]  約翰福音15章1至16節
[00:00:23.840 --> 00:00:27.840]  記載在新約第166頁
[00:00:27.840 --> 00:00:33.840]  《新約第166章》
[00:00:33.840 --> 00:00:36.840]  約翰福音15章1第一節這樣說
[00:00:36.840 --> 00:00:41.840]  我就是真葡萄樹,我付是栽培的人
[00:00:41.840 --> 00:00:46.840]  凡屬我不結果子的枝子,他就剪掉
[00:00:46.840 --> 00:00:51.840]  凡結果子的,他就收剪乾淨
[00:00:51.840 --> 00:00:54.840]  使枝子結果子更多
[00:00:54.840 --> 00:01:00.840]  現在你們因我,講給你們的道,已經結成了
[00:01:00.840 --> 00:01:06.840]  你們要尚在我裡面,我也尚在你們裡面
[00:01:06.840 --> 00:01:12.840]  枝子若不尚在葡萄樹上,自己就不能結果子
[00:01:12.840 --> 00:01:17.840]  你們若不尚在我裡面,也是這樣
[00:01:17.840 --> 00:01:22.840]  我就是葡萄樹,你們是枝子
[00:01:22.840 --> 00:01:27.840]  尚在我裡面的,我也尚在他裡面
[00:01:27.840 --> 00:01:30.840]  這人就多結果子
[00:01:30.840 --> 00:01:35.840]  因為你們要我,你們就不能做什麼
[00:01:35.840 --> 00:01:43.840]  人若不尚在我裡面,就像枝子被雕在外面,枯乾了
[00:01:43.840 --> 00:01:48.840]  引劍起來,瀕盡火裡燒了
[00:01:48.840 --> 00:01:54.840]  你們若尚在我裡面,我的話也尚在你們裡面
[00:01:54.840 --> 00:02:01.840]  凡你們想要的祈求,就給你們成全
[00:02:01.840 --> 00:02:07.840]  你們多結果子,我付就因此得榮耀
[00:02:07.840 --> 00:02:10.840]  你們也就是我的門徒了
[00:02:10.840 --> 00:02:15.840]  我愛你們,正如付愛我一樣
[00:02:15.840 --> 00:02:19.840]  你們要尚在我的外裡
[00:02:19.840 --> 00:02:25.840]  你們若遵守我的命令,就會尚在我的外裡
[00:02:25.840 --> 00:02:32.840]  正如我遵守了我父的命令,尚在他的外裡
[00:02:32.840 --> 00:02:35.840]  我已對你們說了這些事
[00:02:35.840 --> 00:02:40.840]  只要讓我的喜樂存在你們心裡
[00:02:40.840 --> 00:02:45.840]  並讓你們的喜樂得以滿足
[00:02:45.840 --> 00:02:50.840]  你們要彼此相愛,像我愛你們一樣
[00:02:50.840 --> 00:02:53.840]  這是我的命令
[00:02:53.840 --> 00:03:00.840]  人為朋友捨命,人的愛心沒有比這個更大的了
[00:03:00.840 --> 00:03:06.840]  你們若遵行我所命令的,就是我的朋友
[00:03:06.840 --> 00:03:10.840]  以後我不再稱你們為僕人
[00:03:10.840 --> 00:03:15.840]  因為僕人不知道主人所做的事
[00:03:15.840 --> 00:03:18.840]  但我稱你們為朋友
[00:03:18.840 --> 00:03:25.840]  因為我從我父所聽見的一切,都已經讓你們知道了
[00:03:25.840 --> 00:03:28.840]  不是你們揀選了我
[00:03:28.840 --> 00:03:33.840]  而是我揀選了你們
[00:03:33.840 --> 00:03:36.840]  並且派你們去結果子
[00:03:36.840 --> 00:03:40.840]  讓你們的果子得以長存
[00:03:40.840 --> 00:03:43.840]  好使你們奉我的命
[00:03:43.840 --> 00:03:50.840]  無論向父求什麼,他會賜給你們
[00:03:50.840 --> 00:03:52.840]  將以下時間交給葛孫教師
[00:03:52.840 --> 00:03:59.840]  他的講題是「夢揀選,遵主命,存主愛」
[00:03:59.840 --> 00:04:08.840]  大家早安
[00:04:08.840 --> 00:04:11.840]  趁著未到十二時還可以說早安
[00:04:11.840 --> 00:04:15.840]  好多謝大家一直以來為我們一家祈禱
[00:04:15.840 --> 00:04:18.840]  今天很開心在程序表裏面
[00:04:18.840 --> 00:04:20.840]  都見到有我們的代早訊登了出來
[00:04:20.840 --> 00:04:23.840]  都看得見在林孫家裏面
[00:04:23.840 --> 00:04:27.840]  很多頂尖妹妹關心我們,一路為我們祈禱
[00:04:27.840 --> 00:04:34.840]  今天的主題是「夢揀選,遵主命,存主愛」
