
[00:00:00.000 --> 00:00:02.000]  頂姐妹大家好
[00:00:02.000 --> 00:00:03.000]  頂姐妹早晨
[00:00:03.000 --> 00:00:09.000]  七月對很多人來說是一個放假的月份
[00:00:09.000 --> 00:00:14.000]  但是對教會的童工和我現在在教會實習中
[00:00:14.000 --> 00:00:15.000]  很忙碌
[00:00:15.000 --> 00:00:17.000]  因為教會有很多活動
[00:00:17.000 --> 00:00:21.000]  所以我覺得七月真的是一個很特別的日子
[00:00:21.000 --> 00:00:25.000]  特別是今年的七月我覺得更加是一個很緊張的月份
[00:00:25.000 --> 00:00:26.000]  為什麼呢?
[00:00:26.000 --> 00:00:31.000]  上兩個星期就DSE放榜
[00:00:31.000 --> 00:00:33.000]  不知道大家還記不記得
[00:00:33.000 --> 00:00:40.000]  這個是每年全香港所有的家長和學生都要經歷一次過山車之旅
[00:00:40.000 --> 00:00:46.000]  我也知道我們教會的弟兄姊妹都OK的
[00:00:46.000 --> 00:00:49.000]  因為我進了營地去不到
[00:00:49.000 --> 00:00:53.000]  除了DSE放榜這個很緊張的日子之外
[00:00:53.000 --> 00:00:56.000]  上個星期還有世界盃
[00:00:56.000 --> 00:00:58.000]  其實都是過了一個星期
[00:00:58.000 --> 00:01:03.000]  我們經歷了很多個晚上在看球賽
[00:01:03.000 --> 00:01:06.000]  上個星期我看現場的朋友
[00:01:06.000 --> 00:01:09.000]  我看到在座有很多人是有來看現場的
[00:01:09.000 --> 00:01:12.000]  我相信來看現場的朋友一定都會覺得
[00:01:12.000 --> 00:01:17.000]  全程九十多分鐘都是腎上腺素指數很高水平
[00:01:17.000 --> 00:01:19.000]  我自己也很緊張
[00:01:19.000 --> 00:01:23.000]  我剛剛才平復了克羅地亞輸球的失落感
[00:01:23.000 --> 00:01:27.000]  七月也很緊張
[00:01:27.000 --> 00:01:32.000]  今年七月我們一起經歷了很多很緊張刺激的事
[00:01:32.000 --> 00:01:37.000]  緊張的是我們都很緊張能否入球
[00:01:37.000 --> 00:01:40.000]  放榜的就緊張能否入第一志願
[00:01:40.000 --> 00:01:42.000]  能否入到那間學校
[00:01:42.000 --> 00:01:44.000]  看球賽我們就緊張
[00:01:44.000 --> 00:01:46.000]  我們支持那隊球員能否入球
[00:01:46.000 --> 00:01:48.000]  我們支持那隊球員能否入球
[00:01:48.000 --> 00:01:52.000]  其實能否入到一些東西
[00:01:52.000 --> 00:01:56.000]  都是人生中很重要的事
[00:01:56.000 --> 00:02:02.000]  例如我們人生中都會入不同的東西
[00:02:02.000 --> 00:02:05.000]  我們入小學、中學、大學
[00:02:05.000 --> 00:02:07.000]  畢業後就入某間公司
[00:02:07.000 --> 00:02:10.000]  可能還想入一些會
[00:02:10.000 --> 00:02:12.000]  入一些職位
[00:02:12.000 --> 00:02:14.000]  有些東西我們都想加入
[00:02:14.000 --> 00:02:16.000]  說起入這個主題
[00:02:16.000 --> 00:02:18.000]  不知道大家有沒有聽過這個組織
[00:02:18.000 --> 00:02:20.000]  它叫做門殺會
[00:02:20.000 --> 00:02:22.000]  英文叫做MENSA
[00:02:22.000 --> 00:02:24.000]  它是全世界最難入的會
[00:02:24.000 --> 00:02:26.000]  就算你有錢也不一定入到
[00:02:26.000 --> 00:02:27.000]  為什麼呢?
[00:02:27.000 --> 00:02:32.000]  因為它只收那些全世界IQ最高百分之二的人
[00:02:32.000 --> 00:02:35.000]  你沒有百四也入不到
[00:02:35.000 --> 00:02:38.000]  它想聚集這班人一起去改變世界
[00:02:38.000 --> 00:02:40.000]  我不知道他們做了什麼
[00:02:40.000 --> 00:02:44.000]  但是你會見到有這樣的會很難入
[00:02:44.000 --> 00:02:46.000]  你想入也不一定入到
[00:02:46.000 --> 00:02:48.000]  很遺憾
[00:02:48.000 --> 00:02:50.000]  不是人人IQ都那麼高
