
[00:00:00.000 --> 00:00:02.000]  接着是宣道的時間
[00:00:02.000 --> 00:00:05.520]  請聽我讀出今晚的經文
[00:00:05.520 --> 00:00:12.800]  經文記載在事司記11章1至11節和28至40節
[00:00:12.800 --> 00:00:17.600]  如果大家是用我們教會的和合本修訂版的
[00:00:17.600 --> 00:00:22.080]  就在舊約的347頁至348頁
[00:00:22.080 --> 00:00:27.520]  經文在事司記11章1至11至28至40節
[00:00:27.520 --> 00:00:29.520]  請聽我讀出
[00:00:29.520 --> 00:00:33.520]  基列人耶復他是個大能的勇士
[00:00:33.520 --> 00:00:35.520]  是妓女的兒子
[00:00:35.520 --> 00:00:37.520]  基列生了耶復他
[00:00:37.520 --> 00:00:41.520]  基列的妻子也給他生了幾個兒子
[00:00:41.520 --> 00:00:45.520]  他妻子生的兒子長大後
[00:00:45.520 --> 00:00:47.520]  就把耶復他趕出去
[00:00:47.520 --> 00:00:53.520]  說:你不可在我們夫家承繼產業
[00:00:53.520 --> 00:00:57.520]  因為你是別的女人生的兒子
[00:00:57.520 --> 00:01:03.520]  耶復他就逃離他的兄弟住在陀伯地
[00:01:03.520 --> 00:01:06.520]  有些無賴的人聚集在他那裡
[00:01:06.520 --> 00:01:08.520]  與他一同出入
[00:01:08.520 --> 00:01:10.520]  過了些日子
[00:01:10.520 --> 00:01:13.520]  阿們人攻打以色列
[00:01:13.520 --> 00:01:16.520]  阿們人攻打以色列的時候
[00:01:16.520 --> 00:01:21.520]  基列的長老去請耶復他從陀伯地回來
[00:01:21.520 --> 00:01:23.520]  他們對耶復他說
[00:01:23.520 --> 00:01:26.520]  請你來作我們的指揮官
[00:01:26.520 --> 00:01:29.520]  好讓我們跟阿們人打仗
[00:01:29.520 --> 00:01:32.520]  耶復他對基列的長老說
[00:01:32.520 --> 00:01:36.520]  你們不是恨我把我趕出夫家嗎?
[00:01:36.520 --> 00:01:38.520]  現在你們追逐日子急難
[00:01:38.520 --> 00:01:41.520]  為何到我這裡來呢?
[00:01:41.520 --> 00:01:44.520]  基列的長老對耶復他說
[00:01:44.520 --> 00:01:47.520]  現在我們回到你這裡
[00:01:47.520 --> 00:01:51.520]  是要請你和我們去跟阿們人打仗
[00:01:51.520 --> 00:01:55.520]  作基列所有居民的首領
[00:01:55.520 --> 00:01:58.520]  耶復他對基列的長老說
[00:01:58.520 --> 00:02:01.520]  若你們請我回去跟阿們人打仗
[00:02:01.520 --> 00:02:03.520]  耶華把他們交給我
[00:02:03.520 --> 00:02:06.520]  我就作你們的領袖
[00:02:06.520 --> 00:02:09.520]  基列的長老對耶復他說
[00:02:09.520 --> 00:02:12.520]  有耶華說在你我之間作證
[00:02:12.520 --> 00:02:15.520]  我們必定照你的話做
[00:02:15.520 --> 00:02:19.520]  於是耶復他與基列的長老同去
[00:02:19.520 --> 00:02:23.520]  百姓就立耶復他作他們領袖和指揮官
[00:02:23.520 --> 00:02:27.520]  耶復他在米斯巴將他一切的事
[00:02:27.520 --> 00:02:30.520]  陳述在耶華面前
[00:02:30.520 --> 00:02:34.520]  這段經文在28-40節
[00:02:34.520 --> 00:02:36.520]  請聽我讀出
[00:02:36.520 --> 00:02:40.520]  但阿們人的王不聽耶復他傳達給他的話
[00:02:40.520 --> 00:02:43.520]  耶華的靈降在耶復他身上
[00:02:43.520 --> 00:02:46.520]  他就經過基列的馬拿西
[00:02:46.520 --> 00:02:48.520]  經過基列的米斯巴
[00:02:48.520 --> 00:02:53.520]  又從基列的米斯巴過到阿們人那裡
[00:02:53.520 --> 00:02:56.520]  耶復他向耶華許願說
[00:02:56.520 --> 00:02:59.520]  你若真的將阿們人交在我手中
[00:02:59.520 --> 00:03:04.520]  我從阿們人那裡平平安安回來的時候
[00:03:04.520 --> 00:03:08.520]  無論誰先從我家門出來迎接我
[00:03:08.520 --> 00:03:10.520]  就要歸給耶華
[00:03:10.520 --> 00:03:14.520]  我必將他獻上作為凡濟
[00:03:14.520 --> 00:03:19.520]  於是耶復他往阿們人那裡去與他們爭戰
[00:03:19.520 --> 00:03:23.520]  耶華將他們交在他手中
[00:03:23.520 --> 00:03:25.520]  他就徹底擊敗他們
[00:03:25.520 --> 00:03:31.520]  從阿羅爾到米歷直到阿比勒基拉明
[00:03:31.520 --> 00:03:33.520]  攻取了二十座城
[00:03:33.520 --> 00:03:39.520]  這樣阿們人就在以色列人面前被制服了
[00:03:39.520 --> 00:03:42.520]  耶復他回米斯巴去
[00:03:42.520 --> 00:03:44.520]  到了自己的家
[00:03:44.520 --> 00:03:49.520]  看啊!他女兒拿著手鼓跳舞出來迎接他
[00:03:49.520 --> 00:03:51.520]  她是耶復他的獨生女
[00:03:51.520 --> 00:03:55.520]  除他以外沒有別的兒女
