
[00:00:00.000 --> 00:00:01.800]  現在是宣導的時候
[00:00:01.800 --> 00:00:03.800]  請聽我讀出以下的經文
[00:00:03.800 --> 00:00:09.000]  是記載在《希伯來書》13章20至21節
[00:00:09.000 --> 00:00:12.000]  《商行本聖經》第360頁
[00:00:12.000 --> 00:00:15.600]  《希伯來書》13章20至21節
[00:00:15.600 --> 00:00:18.400]  《商行本聖經》第360頁
[00:00:18.400 --> 00:00:20.000]  請聽我讀出
[00:00:20.000 --> 00:00:23.200]  但願賜平安的神
[00:00:23.200 --> 00:00:26.000]  就是那貧穎若之血
[00:00:26.000 --> 00:00:28.200]  把群羊的大牧人
[00:00:28.200 --> 00:00:32.200]  我們主耶穌從死人中領出來的神
[00:00:32.200 --> 00:00:35.800]  在各樣善事上裝備你們
[00:00:35.800 --> 00:00:38.400]  使你們遵行他的旨意
[00:00:38.400 --> 00:00:41.800]  又藉著耶穌基督在我們裡面
[00:00:41.800 --> 00:00:45.200]  行他所喜悅的事
[00:00:45.200 --> 00:00:47.200]  願榮耀歸給他
[00:00:47.200 --> 00:00:49.000]  直到永遠
[00:00:49.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:50.800]  感謝神
[00:00:50.800 --> 00:00:53.000]  今天有本堂的堂主任
[00:00:53.000 --> 00:00:55.600]  曾鈺桂牧師在我們中間靜悟
[00:00:55.600 --> 00:00:57.000]  他的講題是
[00:00:57.000 --> 00:01:00.000]  「與永遠的大牧人有約」
[00:01:00.000 --> 00:01:01.600]  現在恭請曾牧師
[00:01:01.600 --> 00:01:11.400]  各位弟兄姊妹早晨
[00:01:11.400 --> 00:01:13.600]  新年快樂
[00:01:13.600 --> 00:01:16.000]  在新的一年的開始
[00:01:16.000 --> 00:01:18.600]  我們在這個納約主日
[00:01:18.600 --> 00:01:21.000]  我們一同去思想
[00:01:21.000 --> 00:01:25.000]  以及去領受上主的恩典
[00:01:25.000 --> 00:01:27.000]  想跟大家一起有祈禱
[00:01:27.000 --> 00:01:30.400]  我們再一次
[00:01:30.400 --> 00:01:33.200]  來去宣認我們的主耶穌
[00:01:33.200 --> 00:01:35.800]  是臨在我們中間
[00:01:35.800 --> 00:01:38.200]  那一位的造物主宰
[00:01:38.200 --> 00:01:40.200]  那一位曾經
[00:01:40.200 --> 00:01:42.400]  來去由死復活
[00:01:42.400 --> 00:01:47.200]  現在坐在神寶座右邊的這位耶穌基督
[00:01:47.200 --> 00:01:50.600]  更加是住在我們每一位信利的人
[00:01:50.600 --> 00:01:52.400]  的心靈裡面的
[00:01:52.400 --> 00:01:54.200]  我們這一位的主基督
[00:01:54.200 --> 00:01:56.200]  我們感謝祢
[00:01:56.200 --> 00:01:59.000]  讓我們仍然可以在地上
[00:01:59.000 --> 00:02:01.800]  可以來為祢作見證
[00:02:01.800 --> 00:02:04.600]  教會是祢的身體
[00:02:04.600 --> 00:02:07.400]  是這一位充滿萬有者
[00:02:07.400 --> 00:02:09.200]  所充滿的
[00:02:09.200 --> 00:02:12.600]  讓我們能夠在有限的人生
[00:02:12.600 --> 00:02:15.200]  我們來為主而活
[00:02:15.200 --> 00:02:17.200]  特別在今天
[00:02:17.200 --> 00:02:20.600]  我們來有納約的主日
[00:02:20.600 --> 00:02:22.600]  讓我們想一想
[00:02:22.600 --> 00:02:25.200]  神跟我們納的約
[00:02:25.200 --> 00:02:28.600]  更加讓我們能夠真是在神的裡面
[00:02:28.600 --> 00:02:32.200]  我們一起來去整裝待發
[00:02:32.200 --> 00:02:33.600]  今早
[00:02:33.600 --> 00:02:35.800]  我們藉著這兩節聖經
[00:02:35.800 --> 00:02:38.600]  彼此來去互勉的時候
