
[00:00:00.000 --> 00:00:09.680]  各位電影姐妹平安,新年祝大家新年快樂,希望新一年身體健康
[00:00:09.680 --> 00:00:18.000]  特別在疫情中身體健康很重要,新年我們互相祝福
[00:00:18.000 --> 00:00:27.440]  其實我們有一種期望新一年一定比去年好,希望新年一切變得更好
[00:00:27.440 --> 00:00:35.600]  不過坦白說,我這樣說會掃興,事實上我對於未來一年是不樂觀的
[00:00:35.600 --> 00:00:42.320]  我認為疫情也好,社會的混亂也好,香港的改變也好
[00:00:42.320 --> 00:00:50.400]  我對於未來一年是不樂觀的,我覺得只會繼續2020那種混亂的情況
[00:00:50.400 --> 00:00:55.120]  在這樣的局勢下,我們要思考的是我們怎樣自處
[00:00:55.120 --> 00:01:02.800]  我們新一年要思考的是我們接下來應該怎樣自處,自己應該怎樣做
[00:01:02.800 --> 00:01:09.040]  今日的經文我想大家都會覺得熟悉的,因為很多人討論《市圖行傳》
[00:01:09.040 --> 00:01:14.560]  很多人討論《市圖行傳》的處境,因為實在是《市圖行傳》在說
[00:01:14.560 --> 00:01:22.080]  信徒因為逼迫而分散在世界各地,而我們面臨的處境是有少少相似
[00:01:22.080 --> 00:01:26.720]  在2021年,我相信那個移民潮只會更加嚴重
[00:01:26.720 --> 00:01:30.800]  我相信大家有很多朋友,可能是你自己本人
[00:01:30.800 --> 00:01:38.480]  已經計劃移民,甚至已經移民了,我認識的已經有三個家庭移民了
[00:01:38.480 --> 00:01:43.040]  當我們不斷去想移民這個問題,或者是籌劃移民
[00:01:43.040 --> 00:01:46.080]  或者你身邊的人都移民了的時候
[00:01:46.080 --> 00:01:51.840]  我相信未來一年教會要討論這個題目只會越來越多
[00:01:51.840 --> 00:01:55.920]  今天的經文說到耶路撒冷教會大仇逼白
[00:01:55.920 --> 00:02:01.920]  於是司提反就殉道,門徒就分散了,分散在各地
[00:02:01.920 --> 00:02:06.080]  第四節開始說,肥利去了撒瑪利亞那裡
[00:02:06.080 --> 00:02:08.000]  肥利是什麼人呢?
[00:02:08.000 --> 00:02:11.840]  其實他和司提反一樣是教會選出來的執事
[00:02:11.840 --> 00:02:16.320]  執事是做什麼的?
[00:02:16.320 --> 00:02:19.040]  順便就說一下,執事是做什麼的呢?
[00:02:19.040 --> 00:02:23.200]  原來在《使徒行傳》六章二至四節這樣說
[00:02:23.200 --> 00:02:29.920]  「十二使徒叫眾門徒來說,我們撇下神的道去管理飯食是不合宜的
[00:02:29.920 --> 00:02:37.280]  所以弟兄們,當從你們中間選出七個有好名聲、滿有聖靈和智慧
[00:02:37.280 --> 00:02:44.720]  我派他們管理這事,至於我們,我們要專注於祈禱和傳道的侍奉」
[00:02:44.720 --> 00:02:51.120]  執事,或者以我們教會的場景裡面有執事和堂董
[00:02:51.120 --> 00:02:59.120]  他們的工作其實是讓使徒可以專心地去處理祈禱、傳道的事
[00:02:59.120 --> 00:03:02.720]  如果用今天的說法,可能執事、堂董那些
[00:03:02.720 --> 00:03:04.960]  專門處理一些行政的問題
[00:03:04.960 --> 00:03:08.720]  讓傳道人可以安心去做一些神學的反省
[00:03:08.720 --> 00:03:12.320]  或者是做一些傳道、祈禱這些工作
[00:03:12.320 --> 00:03:16.160]  而不是去管理飯食這些問題
[00:03:16.160 --> 00:03:20.800]  今天說到肥理也是執事的其中之一
[00:03:20.800 --> 00:03:25.360]  他應該也是那種滿有聖靈、智慧的人
[00:03:25.360 --> 00:03:28.480]  但是他因為迫不及待而離開耶路撒冷
[00:03:28.480 --> 00:03:30.240]  去了撒瑪利亞城
[00:03:30.240 --> 00:03:32.880]  這一句其實也可以翻譯為
[00:03:32.880 --> 00:03:35.760]  去了撒瑪利亞中間的一座城
[00:03:35.760 --> 00:03:38.960]  所以我不知道那座城是不是真的叫撒瑪利亞
[00:03:38.960 --> 00:03:41.600]  我聽過有些人都很迷惘的
[00:03:41.600 --> 00:03:44.320]  來到香港,為什麼還會有一個香港呢?
[00:03:44.320 --> 00:03:47.440]  在香港裡面有一個香港,原來是香港島
[00:03:47.440 --> 00:03:48.880]  有些外國人很不明白
[00:03:48.880 --> 00:03:51.280]  我不是來了香港嗎?我還要去香港?
[00:03:51.280 --> 00:03:54.960]  很奇怪,撒瑪利亞裡面有沒有一座城叫撒瑪利亞呢?
[00:03:54.960 --> 00:03:56.000]  不知道
[00:03:56.000 --> 00:03:59.280]  不過他一定是在撒瑪利亞這個地方
[00:03:59.280 --> 00:04:01.280]  那肥理是不是移民呢?
[00:04:01.280 --> 00:04:03.120]  你又不知道
[00:04:03.120 --> 00:04:06.560]  不過起碼肥理的情況就沒有我們現在那麼複雜
[00:04:06.560 --> 00:04:09.280]  不用說技術移民、投資移民
[00:04:09.280 --> 00:04:12.000]  可能他人口移動是很簡單的
[00:04:12.000 --> 00:04:14.000]  兩隻腳走過去就可以了
[00:04:14.000 --> 00:04:16.560]  但是他去到撒瑪利亞城
