
[00:00:00.000 --> 00:00:04.200]  好,我們看回第26章
[00:00:04.200 --> 00:00:07.000]  上個禮拜我們講得比較少
[00:00:07.000 --> 00:00:11.040]  對上一個禮拜應該說
[00:00:11.040 --> 00:00:17.240]  我們只是處理了頭26章的一段
[00:00:17.240 --> 00:00:20.640]  就是去到11節
[00:00:20.640 --> 00:00:26.280]  我們今天由12節看完33節
[00:00:26.280 --> 00:00:29.440]  整個以殺人生就只有這麼多
[00:00:30.440 --> 00:00:33.880]  由26章的記載
[00:00:33.880 --> 00:00:39.480]  去到27章還有一點點就是晚年的時候
[00:00:39.480 --> 00:00:45.360]  接著28章就講他離世的時間
[00:00:45.360 --> 00:00:50.640]  就是以殺的故事
[00:00:50.640 --> 00:00:53.120]  35章近尾那裡
[00:00:53.120 --> 00:00:57.320]  好,我們看回第12節開始
[00:00:57.600 --> 00:01:02.440]  這一大段聖經都是講到以殺的人生
[00:01:02.440 --> 00:01:07.720]  他以自己作為族長
[00:01:07.720 --> 00:01:13.720]  作為承受父親允許產業的代表
[00:01:13.720 --> 00:01:18.320]  就是說神祝福阿伯拉罕的福氣
[00:01:18.320 --> 00:01:20.600]  是如何臨到以殺
[00:01:20.600 --> 00:01:23.720]  他如何經營自己的人生
[00:01:23.720 --> 00:01:27.720]  在沒有父親同在之後
[00:01:27.720 --> 00:01:30.080]  自己也成家立室之後
[00:01:30.080 --> 00:01:33.360]  他如何在他的人生經歷
[00:01:33.360 --> 00:01:39.520]  面對自己也是神允許的兒子
[00:01:39.520 --> 00:01:42.440]  又是承受家南美地
[00:01:42.440 --> 00:01:47.200]  但是他也要面對在他的生活裡面
[00:01:47.200 --> 00:01:50.480]  特別是和家南人如何相處
[00:01:50.480 --> 00:01:54.120]  是這一章聖經比較想探討的
[00:01:54.120 --> 00:01:56.120]  12節開始
[00:01:56.120 --> 00:01:58.920]  以殺在那地耕種
[00:01:58.920 --> 00:02:01.800]  那一年有百倍的收成
[00:02:01.800 --> 00:02:04.520]  耶和華賜福給他
[00:02:04.520 --> 00:02:07.960]  他就昌大日增月盛
[00:02:07.960 --> 00:02:09.960]  成了大富戶
[00:02:09.960 --> 00:02:13.400]  很顯然作者這樣描述
[00:02:13.400 --> 00:02:18.000]  提到一年裡面有這樣的豐收
[00:02:18.000 --> 00:02:22.640]  帶來的就是家南人對他的敵視
[00:02:22.640 --> 00:02:26.160]  所以這一章整章都是想說
[00:02:26.160 --> 00:02:29.920]  以殺如何面對那些鄰居
[00:02:29.920 --> 00:02:32.440]  在這些增敬裡面
[00:02:32.440 --> 00:02:35.120]  他有沒有爸爸的風範呢
[00:02:35.120 --> 00:02:38.680]  待會某些經文讓你去聯想
[00:02:38.680 --> 00:02:41.120]  13章阿伯拉罕
[00:02:41.120 --> 00:02:43.320]  或者阿伯蘭那時候還沒改名
[00:02:43.320 --> 00:02:46.360]  阿伯蘭和他的侄羅德
[00:02:46.360 --> 00:02:50.000]  就是那些僕人平時是不會爭的
[00:02:50.000 --> 00:02:52.400]  但是當大家在埃及回來
[00:02:52.400 --> 00:02:54.800]  那些財物大家都多的時候
[00:02:54.800 --> 00:02:56.800]  就開始容不下
[00:02:56.800 --> 00:02:59.280]  那些地方太少了
[00:02:59.280 --> 00:03:01.280]  自己的財物太多了
[00:03:01.280 --> 00:03:03.280]  那些羊到底去哪裡
[00:03:03.280 --> 00:03:05.280]  最好的草原吃草好呢
[00:03:05.280 --> 00:03:08.760]  等等出現了那種增敬
