
[00:00:00.000 --> 00:00:06.000]  郭偉強議員
[00:00:30.000 --> 00:00:58.000]  主持人:上年已經出現過,我在上年的時候已經嘗試去和大家說要推動一個家庭的文化,家庭的文化有兩個層面可以說的,一方面就是我們自己的家庭其實都需要將耶穌基督的愛和真理帶入去裡面,所以我們的家是需要有基督的文化,我們要有一個家庭裡面實踐基督信仰的文化。
[00:00:58.000 --> 00:01:10.000]  另一個層面就是說,其實我們教會裡面都很需要有一個家庭的文化,就是說我們大家是以這個教會作為我們屬靈的家,我們另一個家。
[00:01:10.000 --> 00:01:32.000]  每年其實我打算有兩次的講道都是講這個題目的,甚至希望講完之後有愛言,大家可以聚在一起吃頓飯或者聊聊天,但是因為疫情你不要說吃飯了,聚在一起都有困難,所以沒有辦法,大家就繼續聽我講道先,聽著先也好,大家不要忘記了我們這個家庭文化的主題。
[00:01:32.000 --> 00:01:49.000]  保羅他寫羅馬書,這一段被稱之為基督徒的生活守則,如果你開聖經app都會看到有一個這樣的附題,我選了前半段跟大家分享,下半段希望有一次講道可以再講。
[00:01:49.000 --> 00:02:08.000]  第一段經文講道,愛不可虛假,惡要厭惡,善要親近,愛弟兄要相親相愛,恭敬人要彼此推讓。要愛弟兄,關不關姐妹的事呢?都關的,弟兄姐妹都是主來一家,我們要相親相愛,恭敬人彼此推讓。
[00:02:08.000 --> 00:02:25.000]  不是說將那些壞事推來推去,這個禮拜理大敬拜,那些東西推給別人,講的是一種互相的尊敬,愛護,以及一種禮讓的態度,這些是主來一家必要的,大家都明白。
[00:02:25.000 --> 00:02:41.000]  說到愛不可虛假,惡要厭惡,善要親近,保羅講到這麼白,愛是可以虛假的嗎?愛當然是真的,愛是不是有假的呢?其實是有的。
[00:02:41.000 --> 00:03:05.000]  我們定義一下什麼叫愛,聖經裡面關於愛的教導多數跟行為有關,跟行動有關,什麼愛是恆久忍耐,愛是不疾道,不自誇,不張狂,不再害羞的事,你會發覺愛其實很多時候在聖經裡面講的是一些行動,是一些對人的態度,是實實在在可以看到的。
[00:03:05.000 --> 00:03:32.000]  當然也有些情況在聖經裡面講的是一種內心的感受,不過多數的情況都是指行動,如果不是行動你怎樣去教人做?怎樣去教人實踐?所以羅馬書這裡我相信保羅講的依然是一種愛的行動,保羅他要我們去做一些愛的行動,但是原來那些行為可以是假的,愛的行動可以是假的,為什麼?
[00:03:32.000 --> 00:03:50.000]  事實上有一些愛心的行動,那件事是很有愛心但是未必是出於真誠,有時候可能是出於面子,面子上面我是有頭有臉,或者我掛著基督徒的身份,於是乎我總要做一些事是符合這個身份的。
[00:03:50.000 --> 00:04:09.000]  有人看到的時候,那麼多人看著就裝有愛心,但是沒有人看到的時候就黏著關外坐不肯起來,有時候有沒有人看到有沒有人去看到,或者對我們有沒有好處,這些是在推動我們去做那個行為的一個重要原因。
[00:04:09.000 --> 00:04:25.000]  保羅就是提醒我們,你這些行為雖然要做,但是你要留意背後的動機,你做這些行為的時候的動機是什麼呢?你的愛的行動是不是虛假的呢?是不是出於真誠的呢?
[00:04:25.000 --> 00:04:49.000]  你愛人是不是真誠的呢?但是我們怎麼知道是不是真誠呢?我都做出面子了,都做出來了,還不真誠?其實我覺得很簡單,看一個行動是否真誠,就視乎你做這件事的時候,你有沒有想過有沒有回報,如果你是不求回報地去做的,那我相信你是真誠的。
[00:04:49.000 --> 00:05:00.000]  或者不只是某人這樣,我才會去幫他,其他人發生在其他人身上,我一樣會這樣做的,那我相信這個是出於真誠的。
[00:05:00.000 --> 00:05:29.000]  特別是在教會的場景,我們現在要說的是家庭文化,我們要自然流露這種愛的行動,而不是虛假,當我們稱呼我們的肢體,我們在一起的基督徒為弟兄姊妹的時候,我們更加要注意那種真誠的態度。
[00:05:29.000 --> 00:05:40.000]  之後那句,惡要厭惡,善要親近,又是說得很清楚明白,其實有時候很怕說這些經文,都說得這麼白了,那還怎麼說下去呢?
[00:05:40.000 --> 00:05:51.000]  但是我們現在都在想,善通常都是好的,你叫得善的東西,善事是好的,善人是容易親近的。
