
[00:00:00.000 --> 00:00:04.000]  在若澗河裡受了若翰的洗
[00:00:04.000 --> 00:00:09.000]  他從水裡一上來就看見天裂開了
[00:00:09.000 --> 00:00:14.000]  聖靈彷彿甲子降在他身上
[00:00:14.000 --> 00:00:17.000]  又有聲音從天上來說
[00:00:17.000 --> 00:00:21.000]  「你是我的愛子,我喜歡你」
[00:00:21.000 --> 00:00:26.000]  聖靈立刻把耶穌催促到曠野裡去
[00:00:26.000 --> 00:00:31.000]  他在曠野四十天受撒旦的試探
[00:00:31.000 --> 00:00:33.000]  並與野獸同在一起
[00:00:33.000 --> 00:00:37.000]  且有天使來侍候他
[00:00:37.000 --> 00:00:40.000]  若翰下監以後
[00:00:40.000 --> 00:00:44.000]  耶穌來到加里利宣講神的福音
[00:00:44.000 --> 00:00:48.000]  說「日期滿了,神的國近了
[00:00:48.000 --> 00:00:52.000]  你們要悔改,順福音」
[00:00:52.000 --> 00:00:58.000]  感謝神,今天晚上有處穎華牧師在我們當中正道
[00:00:58.000 --> 00:01:01.000]  處牧師是香港神學院院長
[00:01:01.000 --> 00:01:04.000]  中華傳道會的總幹事
[00:01:04.000 --> 00:01:09.000]  今天晚上的講題是生命的本相
[00:01:09.000 --> 00:01:11.000]  現在恭請處牧師
[00:01:11.000 --> 00:01:13.000]  各位弟兄姊妹平安
[00:01:13.000 --> 00:01:17.000]  願意上帝在新的一年裡賜福給大家
[00:01:17.000 --> 00:01:19.000]  讓我們可以一起努力
[00:01:19.000 --> 00:01:22.000]  完成上帝交託給我們的工作
[00:01:22.000 --> 00:01:27.000]  我們剛剛所讀的這段聖經
[00:01:27.000 --> 00:01:34.000]  也是經常在教會這個特別的時節裡
[00:01:34.000 --> 00:01:35.000]  我們叫做
[00:01:35.000 --> 00:01:37.000]  有些教會叫做大齋期
[00:01:37.000 --> 00:01:40.000]  或者有些叫做禦苦期
[00:01:40.000 --> 00:01:42.000]  今天是第二個星期
[00:01:42.000 --> 00:01:44.000]  中間有四十天
[00:01:44.000 --> 00:01:46.000]  那中間的四十天過完之後
[00:01:46.000 --> 00:01:48.000]  就到復活節了
[00:01:48.000 --> 00:01:50.000]  所以復活節之前的四十天裡
[00:01:50.000 --> 00:01:52.000]  叫做禦苦期
[00:01:52.000 --> 00:01:54.000]  讓大家可以一起來生命之中
[00:01:54.000 --> 00:01:56.000]  檢視一下我們自己的生活
[00:01:56.000 --> 00:01:58.000]  想一想我們自己的生活
[00:01:58.000 --> 00:02:00.000]  不單止是復活節的時候
[00:02:00.000 --> 00:02:04.000]  紀念主耶穌基督為我們受洗復活的歡樂
[00:02:04.000 --> 00:02:06.000]  也能夠在這段時間裡
[00:02:06.000 --> 00:02:07.000]  思想一下自己的生命
[00:02:07.000 --> 00:02:09.000]  思想一下自己的生活
[00:02:09.000 --> 00:02:11.000]  怎樣可以和主耶穌基督的受洗
[00:02:11.000 --> 00:02:16.000]  能夠相當的配合
[00:02:16.000 --> 00:02:19.000]  我們剛剛所讀的這段聖經
[00:02:19.000 --> 00:02:21.000]  是很熟悉的聖經
[00:02:21.000 --> 00:02:23.000]  也是我們每一個人都經歷到的
[00:02:23.000 --> 00:02:24.000]  我希望,我深信
[00:02:24.000 --> 00:02:26.000]  我們每一個人都經過這樣的經歷
[00:02:26.000 --> 00:02:28.000]  我們經過洗禮
[00:02:28.000 --> 00:02:31.000]  我們經過生命裡很多的試探
[00:02:31.000 --> 00:02:34.000]  或者很多的試煉
[00:02:34.000 --> 00:02:38.000]  我們也經歷過宣揚上帝自己國度的福音
[00:02:38.000 --> 00:02:41.000]  但是當我們見到這些事情的時候
[00:02:41.000 --> 00:02:44.000]  就是熟口熟面的事情
[00:02:44.000 --> 00:02:46.000]  或者我們的言經
[00:02:46.000 --> 00:02:47.000]  我們的讀經
[00:02:47.000 --> 00:02:48.000]  我們的查經
[00:02:48.000 --> 00:02:49.000]  我們的靈修裡
[00:02:49.000 --> 00:02:51.000]  見到這些經文的時候
[00:02:51.000 --> 00:02:53.000]  我們怎樣去領悟它
[00:02:53.000 --> 00:02:56.000]  我們怎樣去領受它呢?
[00:02:56.000 --> 00:02:58.000]  有些傳道人
[00:02:58.000 --> 00:03:02.000]  在一些宗派裡面工作
[00:03:02.000 --> 00:03:05.000]  那些宗派就會用三代經文
[00:03:05.000 --> 00:03:07.000]  或者五代經文
