
[00:00:00.000 --> 00:00:02.000]  有一種關係
[00:00:02.000 --> 00:00:06.000]  而這些關係是非常之重要
[00:00:06.000 --> 00:00:09.000]  你會發覺聖經裏面有很多定位
[00:00:09.000 --> 00:00:11.000]  已經跟你講得很清楚
[00:00:11.000 --> 00:00:12.000]  如果我經常都說
[00:00:12.000 --> 00:00:14.000]  當你問我聖經究竟是甚麼
[00:00:14.000 --> 00:00:16.000]  聖經是上主的說話
[00:00:16.000 --> 00:00:19.000]  而透過很多故事跟大家去講
[00:00:19.000 --> 00:00:22.000]  究竟天國的價值觀是甚麼
[00:00:22.000 --> 00:00:27.000]  所以裏面有很多關係的定位是很清晰的
[00:00:27.000 --> 00:00:31.000]  你會發覺今天在地上這麼多的混亂
[00:00:31.000 --> 00:00:37.000]  就是因為有很多關係的搗亂或破損
[00:00:37.000 --> 00:00:40.000]  我舉個例子
[00:00:40.000 --> 00:00:41.000]  我經常都說
[00:00:41.000 --> 00:00:43.000]  爸爸媽媽就是爸爸媽媽
[00:00:43.000 --> 00:00:45.000]  子女就是子女
[00:00:45.000 --> 00:00:47.000]  你記住我這樣說的
[00:00:47.000 --> 00:00:50.000]  我不是說中國人傳統那種
[00:00:50.000 --> 00:00:51.000]  爸爸媽媽高高在上
[00:00:51.000 --> 00:00:52.000]  有我講沒你講
[00:00:52.000 --> 00:00:54.000]  不是 我不是說這件事
[00:00:54.000 --> 00:00:55.000]  而是聖經裏面講得很清楚
[00:00:55.000 --> 00:00:57.000]  爸爸媽媽就是爸爸媽媽
[00:00:57.000 --> 00:00:58.000]  子女就是子女
[00:00:58.000 --> 00:00:59.000]  所以你會發覺
[00:00:59.000 --> 00:01:02.000]  爸爸媽媽有她的角色
[00:01:02.000 --> 00:01:04.000]  有她需要做
[00:01:04.000 --> 00:01:08.000]  而子女亦都有她需要回應
[00:01:08.000 --> 00:01:10.000]  你會發覺今天很多時候我們搗亂了
[00:01:10.000 --> 00:01:12.000]  特別在西方傳入來的時候
