
[00:00:00.000 --> 00:00:03.400]  各位弟兄姊妹早安,主佬們平安
[00:00:03.400 --> 00:00:07.920]  今天說的題目
[00:00:07.920 --> 00:00:10.320]  富嫂說好像有點玄機
[00:00:10.320 --> 00:00:11.720]  其實不是的
[00:00:11.720 --> 00:00:13.960]  已經很清楚了
[00:00:13.960 --> 00:00:15.720]  當每個人都去做保羅
[00:00:15.720 --> 00:00:17.920]  或者我們每個人都想著
[00:00:17.920 --> 00:00:19.320]  學校保羅的時候
[00:00:19.320 --> 00:00:21.320]  其實有沒有人去做巴拿巴呢?
[00:00:21.320 --> 00:00:23.200]  巴拿巴是誰呢?
[00:00:23.200 --> 00:00:27.400]  其實保羅我相信大家會比較熟悉
[00:00:27.400 --> 00:00:29.400]  有沒有人不知道誰是保羅呢?
[00:00:29.400 --> 00:00:32.200]  不知道的話我們可以惡補一下
[00:00:32.200 --> 00:00:34.200]  不過其實我也會說一說
[00:00:34.200 --> 00:00:36.000]  保羅是誰呢?
[00:00:36.000 --> 00:00:39.200]  其實保羅在新約裏面
[00:00:39.200 --> 00:00:41.800]  大部分的書信都是他寫的
[00:00:41.800 --> 00:00:45.000]  在聖經裏面我們很多東西都是看保羅的
[00:00:45.000 --> 00:00:49.600]  甚至可以說我們的信仰是保羅的傳息
[00:00:49.600 --> 00:00:53.800]  因為是他怎樣去傳息這個信仰
[00:00:53.800 --> 00:00:55.200]  怎樣去傳息基督信仰
[00:00:55.200 --> 00:00:57.000]  然後寫下來去教導
[00:00:57.000 --> 00:00:58.000]  去建立教會
[00:00:58.000 --> 00:00:59.800]  他留下的屬靈傳統
[00:00:59.800 --> 00:01:03.200]  因此保羅對我們來說是很重要的人物
[00:01:03.200 --> 00:01:07.400]  保羅建立了我們教會
[00:01:07.400 --> 00:01:09.000]  保羅是重要的
[00:01:09.000 --> 00:01:12.000]  但他不是一下子就飆出來的
[00:01:12.000 --> 00:01:14.000]  一個人總是會有他的背景
[00:01:14.000 --> 00:01:15.400]  有他的過去
[00:01:15.400 --> 00:01:19.200]  有他為甚麼會變成今時今日這樣的人
[00:01:19.200 --> 00:01:22.000]  我們就可以在聖經的記載裏面
[00:01:22.000 --> 00:01:24.000]  知道一些關於保羅的東西
[00:01:24.000 --> 00:01:28.000]  保羅自稱自己是法理賽人中的法理賽人
[00:01:28.000 --> 00:01:30.400]  那知不知道法理賽人是甚麼人呢?
[00:01:30.400 --> 00:01:32.400]  我印象中在講道也有說過
[00:01:32.400 --> 00:01:35.000]  法理賽人是甚麼人呢?
[00:01:35.000 --> 00:01:37.000]  法理賽人是一個宗派
[00:01:37.000 --> 00:01:38.800]  一個信仰的教派
[00:01:38.800 --> 00:01:41.800]  並且其實當時來說
[00:01:41.800 --> 00:01:44.000]  信仰和政治是分不開的
[00:01:44.000 --> 00:01:49.200]  他們在皇帝都是由神去到揀選的
[00:01:49.200 --> 00:01:51.400]  所謂君權神授
