
[00:00:00.000 --> 00:00:02.600]  我們祈禱開始吧
[00:00:02.600 --> 00:00:04.500]  再一次我們感謝主
[00:00:04.500 --> 00:00:06.600]  讓我們今天晚上
[00:00:06.600 --> 00:00:09.700]  來去再研讀神的話語
[00:00:09.700 --> 00:00:13.000]  看這個施洗約翰
[00:00:13.000 --> 00:00:15.600]  讓我們能夠從祂的生命
[00:00:15.600 --> 00:00:17.100]  祂的見證
[00:00:17.100 --> 00:00:18.800]  祂的故事
[00:00:18.800 --> 00:00:20.900]  成為我們的激勵
[00:00:20.900 --> 00:00:23.200]  也讓我們在這個時代
[00:00:23.200 --> 00:00:26.200]  怎樣去為耶穌作見證
[00:00:26.200 --> 00:00:28.300]  求祢帶領我們大家
[00:00:28.300 --> 00:00:31.000]  讓我們能夠從福音書
[00:00:31.000 --> 00:00:33.300]  對約翰的描述
[00:00:33.300 --> 00:00:35.800]  我們能夠可以重組
[00:00:35.800 --> 00:00:37.400]  一些祂的生平
[00:00:37.400 --> 00:00:39.600]  使我們能夠了解
[00:00:39.600 --> 00:00:41.700]  祂在不同的時段
[00:00:41.700 --> 00:00:44.700]  那個信心和傳道
[00:00:44.700 --> 00:00:46.000]  求祢幫助
[00:00:46.000 --> 00:00:47.500]  我們這樣禱告
[00:00:47.500 --> 00:00:49.800]  奉耶穌基督的名
[00:00:49.800 --> 00:00:51.600]  阿們
[00:00:51.600 --> 00:00:54.100]  好 今晚應該是最後一次
[00:00:54.100 --> 00:00:56.500]  我們講施洗約翰
[00:00:56.500 --> 00:00:58.400]  看看大家
[00:00:58.400 --> 00:01:01.400]  你有什麼聖經人物
[00:01:01.400 --> 00:01:03.900]  很想很想快點
[00:01:03.900 --> 00:01:05.700]  又一起大家研讀
[00:01:05.700 --> 00:01:07.600]  你可以告訴我
[00:01:07.600 --> 00:01:09.700]  或者你可以
[00:01:09.700 --> 00:01:10.800]  無論是WhatsApp
[00:01:10.800 --> 00:01:13.200]  或者是可以表達
[00:01:13.200 --> 00:01:14.700]  如果不是
[00:01:14.700 --> 00:01:16.800]  就變成我們下個星期
[00:01:16.800 --> 00:01:19.400]  就可能要開摩西了
[00:01:19.400 --> 00:01:23.500]  摩西一講就會相當長的
[00:01:23.500 --> 00:01:28.000]  我們可以說說停一下
[00:01:28.000 --> 00:01:31.300]  又選擇一些另外的人物
[00:01:31.300 --> 00:01:33.400]  我們可以間歇性地
[00:01:33.400 --> 00:01:35.400]  去舒緩一下
[00:01:35.400 --> 00:01:36.700]  如果全部夠弱
[00:01:36.700 --> 00:01:38.300]  有時大家可能會覺得
[00:01:38.300 --> 00:01:41.500]  有些心和悶
[00:01:41.500 --> 00:01:45.900]  都可以嘗試交替地說
[00:01:45.900 --> 00:01:49.200]  用了兩次講約翰
[00:01:49.200 --> 00:01:52.000]  上個星期就有機會
[00:01:52.000 --> 00:01:54.000]  因為約翰福音都算是
[00:01:54.000 --> 00:01:56.900]  相當正面講施洗約翰
[00:01:56.900 --> 00:01:58.900]  他的傳道
[00:01:58.900 --> 00:02:00.300]  他的見證
[00:02:00.300 --> 00:02:02.900]  和尤其是作者
[00:02:02.900 --> 00:02:06.500]  用一些結論性的評價
[00:02:06.500 --> 00:02:07.900]  對約翰
[00:02:07.900 --> 00:02:11.500]  就份外值得我們去關注
[00:02:11.500 --> 00:02:14.800]  耶穌怎樣評價施洗約翰
[00:02:14.800 --> 00:02:16.800]  他是點著的明燈
[00:02:16.800 --> 00:02:20.200]  和作者使徒約翰
[00:02:20.200 --> 00:02:22.300]  他在約翰的福音裏面
[00:02:22.300 --> 00:02:25.300]  怎樣評價施洗約翰這位人物
[00:02:25.300 --> 00:02:29.200]  都是很值得我們去留心的
[00:02:29.200 --> 00:02:32.000]  因為福音書主要是敘述
[00:02:32.000 --> 00:02:34.600]  約翰一些事情
[00:02:34.600 --> 00:02:37.400]  很少對他有一些評價
[00:02:37.400 --> 00:02:39.900]  但約翰福音都多的
[00:02:39.900 --> 00:02:42.700]  所以如果我們去研讀施洗約翰
[00:02:42.700 --> 00:02:46.700]  我們就需要有這樣的觸覺
[00:02:46.700 --> 00:02:50.100]  上個星期我漏了幾樣東西沒講
[00:02:50.100 --> 00:02:52.900]  看約翰福音
[00:02:52.900 --> 00:02:54.900]  關於施洗約翰
