
[00:00:00.000 --> 00:00:06.600]  有四個人被困在一間細小的房間裏面
[00:00:06.600 --> 00:00:08.600]  四邊都是牆壁
[00:00:08.600 --> 00:00:12.840]  在房間最高最高的地方有一隻小窗
[00:00:12.840 --> 00:00:15.960]  他們在這個房間裏面
[00:00:15.960 --> 00:00:23.960]  他們很想去看看上帝是否在牆外
[00:00:23.960 --> 00:00:25.960]  因為覺得困在這個房間裏面
[00:00:25.960 --> 00:00:28.960]  他們好像甚麼都沒有經歷
[00:00:28.960 --> 00:00:31.960]  於是他們想到一個辦法
[00:00:31.960 --> 00:00:35.960]  就是一個一個疊上去
[00:00:35.960 --> 00:00:39.960]  最高那個就可以爬出去
[00:00:39.960 --> 00:00:43.960]  爬到窗外面就看到外面發生甚麼事
[00:00:43.960 --> 00:00:46.960]  看看能否找到上帝
[00:00:46.960 --> 00:00:52.960]  就想想誰站在最低那個
[00:00:52.960 --> 00:00:55.960]  等了一段時間之後
[00:00:55.960 --> 00:00:59.960]  A就說好 我站在最低
[00:00:59.960 --> 00:01:04.960]  沒多久B就說我疊第二個
[00:01:04.960 --> 00:01:07.960]  剩下C和D
[00:01:07.960 --> 00:01:12.960]  C就說我來第三個
[00:01:12.960 --> 00:01:16.960]  到最後D就最幸運
[00:01:16.960 --> 00:01:19.960]  騎上去他們三個人上高
[00:01:19.960 --> 00:01:22.960]  就站到頂
[00:01:22.960 --> 00:01:24.960]  經過一番努力之後
[00:01:24.960 --> 00:01:27.960]  他們很辛苦
[00:01:27.960 --> 00:01:29.960]  特別是下低的三個
[00:01:29.960 --> 00:01:30.960]  很辛苦
[00:01:30.960 --> 00:01:32.960]  支撐了十幾二十秒之後
[00:01:32.960 --> 00:01:35.960]  就全部倒下來了
[00:01:35.960 --> 00:01:39.960]  A、B、C都很想知道
[00:01:39.960 --> 00:01:42.960]  究竟D能否看到外面
[00:01:42.960 --> 00:01:45.960]  能否看到上帝
[00:01:45.960 --> 00:01:50.960]  但D透了一口氣之後
[00:01:50.960 --> 00:01:54.960]  我看到外面很多東西
[00:01:54.960 --> 00:01:57.960]  但我看不到上帝
[00:01:57.960 --> 00:02:02.960]  四個人就覺得很難過
[00:02:02.960 --> 00:02:04.960]  用了這麼多的力
[00:02:04.960 --> 00:02:07.960]  竟然看不到上帝
[00:02:07.960 --> 00:02:10.960]  沉靜了一段時間之後
[00:02:10.960 --> 00:02:13.960]  在最低的A就說
[00:02:13.960 --> 00:02:16.960]  在剛才的經歷裡
[00:02:16.960 --> 00:02:18.960]  我經歷到上帝
[00:02:18.960 --> 00:02:21.960]  說我是最下低的那個
[00:02:21.960 --> 00:02:23.960]  被你們踩得很辛苦
[00:02:23.960 --> 00:02:25.960]  頂不住的時候
