
[00:00:00.000 --> 00:00:02.400]  貝心姑娘在我們當中的正徒
[00:00:02.400 --> 00:00:05.680]  她是館堂的傳導人
[00:00:05.680 --> 00:00:07.000]  她今天要講的題是
[00:00:07.000 --> 00:00:09.600]  必然與不必然的關係
[00:00:09.600 --> 00:00:11.440]  經文是記載在
[00:00:11.440 --> 00:00:14.880]  約翰福音十五章一至八節
[00:00:14.880 --> 00:00:19.400]  新約聖經的第一百六十六至一百六十七頁
[00:00:19.400 --> 00:00:25.680]  經文是記載在約翰福音十五章一至八節
[00:00:26.480 --> 00:00:31.000]  新約聖經的第一百六十六至一百六十七頁
[00:00:31.000 --> 00:00:33.320]  稟各位請聽我讀出
[00:00:33.320 --> 00:00:36.160]  我就是真葡萄樹
[00:00:36.160 --> 00:00:38.360]  我富士栽培的人
[00:00:38.360 --> 00:00:42.040]  凡屬我不結果子的枝子
[00:00:42.040 --> 00:00:43.320]  他就剪掉
[00:00:43.320 --> 00:00:45.040]  凡結果子的
[00:00:45.040 --> 00:00:47.360]  他就收剪乾淨
[00:00:47.360 --> 00:00:51.200]  枝子結果了更多
[00:00:52.160 --> 00:00:56.600]  現在你們因我講給你們的道已經結證了
[00:00:56.600 --> 00:00:58.800]  你們要常在我裡面
[00:00:58.800 --> 00:01:00.680]  我也常在你們裡面
[00:01:00.680 --> 00:01:03.160]  枝子若不常在葡萄樹上
[00:01:03.160 --> 00:01:05.040]  自己就不能結果子
[00:01:05.040 --> 00:01:07.360]  你們若不常在我裡面
[00:01:07.360 --> 00:01:08.640]  也是這樣
[00:01:08.640 --> 00:01:09.960]  第五節
[00:01:09.960 --> 00:01:11.600]  我就是葡萄樹
[00:01:11.600 --> 00:01:13.160]  你們是枝子
[00:01:13.160 --> 00:01:14.800]  常在我裡面的
[00:01:14.800 --> 00:01:16.640]  我也常在他裡面
[00:01:16.640 --> 00:01:19.200]  這人就多結果子了
[00:01:19.680 --> 00:01:22.880]  因為來了我你們就不能做什麼
[00:01:22.880 --> 00:01:25.640]  人若不常在我裡面
[00:01:25.640 --> 00:01:28.160]  就像枝子被雕在外面
[00:01:28.160 --> 00:01:29.160]  枯乾了
[00:01:29.160 --> 00:01:30.480]  人掩起來
[00:01:30.480 --> 00:01:32.840]  掉進火裡燒了
[00:01:32.840 --> 00:01:35.560]  你們若常在我裡面
[00:01:35.560 --> 00:01:37.880]  我的話也常在你們裡面
[00:01:37.880 --> 00:01:39.520]  凡你們想要的
[00:01:39.520 --> 00:01:41.840]  祈求就給你們成全
[00:01:41.840 --> 00:01:44.440]  你們多結果子
[00:01:44.440 --> 00:01:46.360]  我富就因此得榮耀
[00:01:46.360 --> 00:01:48.560]  你們也就是我的門徒了
[00:01:48.760 --> 00:01:50.760]  恭敬將時間交給林貴雅
[00:01:50.760 --> 00:02:02.080]  各位靈姐妹主內平安
[00:02:02.080 --> 00:02:05.760]  開始之先讓我們同心祈禱
[00:02:05.760 --> 00:02:09.120]  慈悲仁愛的天父
[00:02:09.120 --> 00:02:10.640]  我們來到你的面前
[00:02:10.640 --> 00:02:12.320]  我們要多謝你
[00:02:12.320 --> 00:02:15.160]  因為經過一個星期很多的事情
[00:02:15.160 --> 00:02:16.760]  今天的早上
[00:02:16.880 --> 00:02:18.360]  你以你的慈愛
[00:02:18.360 --> 00:02:20.360]  焦聚我們來到你的殿裡
[00:02:20.360 --> 00:02:21.640]  一同來敬拜
[00:02:21.640 --> 00:02:24.280]  享受主你所賜福給我們
[00:02:24.280 --> 00:02:25.520]  這個屬靈的現質
[00:02:25.520 --> 00:02:27.200]  我們要獻上感恩
[00:02:27.200 --> 00:02:29.360]  父啊求你幫助孩子
[00:02:29.360 --> 00:02:31.720]  能夠將你從你而來的訊息
[00:02:31.720 --> 00:02:33.320]  能夠講得清楚
[00:02:33.320 --> 00:02:34.200]  講得明白
[00:02:34.200 --> 00:02:37.480]  由主啊有願意你幫助我們的會眾
[00:02:37.480 --> 00:02:39.240]  預備我們柔軟的心
[00:02:39.240 --> 00:02:40.480]  我們將你的道
[00:02:40.480 --> 00:02:42.160]  傾盡生命的裡面
[00:02:42.160 --> 00:02:43.800]  成為我們屬靈的糧
[00:02:43.800 --> 00:02:45.640]  我們在你面前的祈禱
[00:02:45.640 --> 00:02:48.000]  靠耶穌基督你得聖的名
[00:02:48.000 --> 00:02:49.000]  阿們
[00:02:49.000 --> 00:03:04.720]  這個是一個尋找領袖的時代
[00:03:04.720 --> 00:03:08.840]  這句話是我信了耶穌沒多久
[00:03:08.840 --> 00:03:12.520]  第一次聽蔡元文醫生講道的時候
[00:03:12.520 --> 00:03:13.480]  聽到的
[00:03:13.480 --> 00:03:15.000]  當時聽到的時候
[00:03:15.000 --> 00:03:17.000]  我內心真的很滾動
[00:03:17.000 --> 00:03:18.320]  為什麼呢?
[00:03:18.320 --> 00:03:21.360]  因為我那時候出社會做事沒多久
[00:03:21.360 --> 00:03:24.080]  心裡面就很想
[00:03:24.080 --> 00:03:26.440]  很想有人帶領自己
[00:03:26.440 --> 00:03:28.040]  幫助自己
[00:03:28.040 --> 00:03:29.400]  教一下自己
[00:03:29.400 --> 00:03:33.800]  怎樣去到進入人生新的階段
[00:03:33.800 --> 00:03:35.400]  所以當蔡依她說
[00:03:35.400 --> 00:03:38.040]  這是一個尋找領袖的時代
[00:03:38.040 --> 00:03:41.560]  哇!我的心真的滾動到不得了
[00:03:42.680 --> 00:03:47.880]  領袖是她所帶領群體裡面的核心人物
[00:03:47.880 --> 00:03:51.720]  是一個跟隨者的典範
