
[00:00:00.000 --> 00:00:05.000]  今晚有老師園導師為我們去正道
[00:00:05.000 --> 00:00:07.500]  他是我們本堂的實習神學生
[00:00:07.500 --> 00:00:10.000]  也是中華神學院的同學
[00:00:10.000 --> 00:00:13.000]  他今天的講題是「試煉人生」
[00:00:13.000 --> 00:00:20.000]  經文是《雅各書》一章二到十二節
[00:00:20.000 --> 00:00:22.000]  請聽我讀出
[00:00:22.000 --> 00:00:26.000]  我的弟兄們,你們遭受各種試煉時
[00:00:26.000 --> 00:00:29.000]  都要認為是大喜樂
[00:00:29.000 --> 00:00:34.000]  因為知道你們的信心經過考驗就生忍耐
[00:00:34.000 --> 00:00:38.000]  但要讓忍耐發揮完全的功用
[00:00:38.000 --> 00:00:43.000]  使你們能又完全又完整一無所缺
[00:00:43.000 --> 00:00:46.000]  你們中間若有缺少智慧的
[00:00:46.000 --> 00:00:51.000]  該求那口似於眾人又不斥擇人的神
[00:00:51.000 --> 00:00:53.000]  神必似及他
[00:00:53.000 --> 00:00:57.000]  只要憑著信心一點也不疑惑
[00:00:57.000 --> 00:00:59.000]  因為那疑惑的人
[00:00:59.000 --> 00:01:04.000]  就像海中的波浪被風吹翻騰
[00:01:04.000 --> 00:01:09.000]  這樣的人不要想從主那裡得到什麼
[00:01:09.000 --> 00:01:11.000]  三心二意的人
[00:01:11.000 --> 00:01:15.000]  在他一切所行的路上都要擺不定
[00:01:15.000 --> 00:01:19.000]  卑微的弟兄要因高聲而誇耀
[00:01:19.000 --> 00:01:23.000]  富足的卻要因被降卑而誇耀
[00:01:23.000 --> 00:01:26.000]  因為富足的人要消逝
[00:01:26.000 --> 00:01:29.000]  如同草上的花一樣
[00:01:29.000 --> 00:01:35.000]  太陽出來,熱風刮起,草就枯乾,花也凋謝
[00:01:35.000 --> 00:01:38.000]  他美麗的樣子就消失了
[00:01:38.000 --> 00:01:44.000]  那富足的人在他一生的奔波中也要這樣衰殘
[00:01:44.000 --> 00:01:47.000]  忍受試煉的人有福了
[00:01:47.000 --> 00:01:49.000]  因為他經過考驗以後
[00:01:49.000 --> 00:01:51.000]  必得生命的冠冕
[00:01:51.000 --> 00:01:56.000]  這時主應許給他,給愛他之人的
[00:01:56.000 --> 00:01:58.000]  這時間交給老師園導師
[00:01:59.000 --> 00:02:01.000]  弟兄姊妹主乃平安
[00:02:01.000 --> 00:02:03.000]  願我們一同低頭到高
[00:02:03.000 --> 00:02:06.000]  擦天火地感謝你
