
[00:00:00.000 --> 00:00:02.000]  宣讀的時間
[00:00:02.000 --> 00:00:04.000]  今天的講題是
[00:00:04.000 --> 00:00:07.000]  貼近上主美善國道
[00:00:07.000 --> 00:00:09.000]  講完是本堂
[00:00:09.000 --> 00:00:11.000]  堂主任曾蕊桂牧師
[00:00:11.000 --> 00:00:12.000]  經文是記載在
[00:00:12.000 --> 00:00:13.000]  《聖經新約》
[00:00:13.000 --> 00:00:15.000]  《哥羅西書》第一章
[00:00:15.000 --> 00:00:17.000]  九至十四節
[00:00:17.000 --> 00:00:18.000]  《新約聖經》
[00:00:18.000 --> 00:00:21.000]  《哥羅西書》第一章
[00:00:21.000 --> 00:00:22.000]  第九至十四節
[00:00:22.000 --> 00:00:24.000]  如果是教會聖經
[00:00:24.000 --> 00:00:26.000]  就是《新約》第三百零七頁
[00:00:26.000 --> 00:00:29.000]  那你從後面展示就容易很多了
[00:00:29.000 --> 00:00:32.000]  很接近後面的三百零七頁
[00:00:32.000 --> 00:00:36.000]  講道之先請聽我讀出《聖經》章節
[00:00:37.000 --> 00:00:40.000]  因此我們自從聽見的日子
[00:00:40.000 --> 00:00:43.000]  就不住地為你們禱告和祈求
[00:00:43.000 --> 00:00:48.000]  願你們滿有一切屬靈的智慧和悟性
[00:00:48.000 --> 00:00:51.000]  真正知道神的旨意
[00:00:51.000 --> 00:00:53.000]  好使你們行事為人
[00:00:53.000 --> 00:00:55.000]  對得起主
[00:00:55.000 --> 00:00:57.000]  凡事蒙他喜悅
[00:00:57.000 --> 00:01:00.000]  在一切善事上結果子
[00:01:00.000 --> 00:01:03.000]  對神的認識更有獎盡
[00:01:03.000 --> 00:01:05.000]  第十一節
[00:01:05.000 --> 00:01:08.000]  願你們從他榮耀的權能中
[00:01:08.000 --> 00:01:12.000]  得以在一切事上力上加力
[00:01:12.000 --> 00:01:15.000]  好使你們凡事歡歡喜喜地
[00:01:15.000 --> 00:01:18.000]  忍耐寬容又感謝父
[00:01:18.000 --> 00:01:20.000]  使你們配與眾聖徒
[00:01:20.000 --> 00:01:23.000]  在光明中分享基業
[00:01:23.000 --> 00:01:27.000]  他救了我們脫離黑暗的權勢
[00:01:27.000 --> 00:01:30.000]  遷移到他愛子的國度裡
[00:01:30.000 --> 00:01:32.000]  藉著他的愛子
[00:01:32.000 --> 00:01:34.000]  我們得蒙救贖
[00:01:34.000 --> 00:01:36.000]  聚得赦免
[00:01:36.000 --> 00:01:38.000]  請嘉賓接話
[00:01:38.000 --> 00:01:48.000]  請我們同心祈禱
[00:01:48.000 --> 00:01:52.000]  我們的救贖主耶穌基督
[00:01:52.000 --> 00:01:54.000]  我們能夠認識你
[00:01:54.000 --> 00:01:56.000]  是莫大的恩典
[00:01:56.000 --> 00:02:00.000]  我們能夠進入神愛子的國度
[00:02:00.000 --> 00:02:02.000]  雖然未發生
[00:02:02.000 --> 00:02:04.000]  我們仍然是住在
[00:02:04.000 --> 00:02:06.000]  我們的感受社區
[00:02:06.000 --> 00:02:07.000]  香港
[00:02:07.000 --> 00:02:12.000]  我們仍然在地上過著地上的生活
[00:02:12.000 --> 00:02:15.000]  我們要面對很多的思慮
[00:02:15.000 --> 00:02:17.000]  也要面對很多的困難
[00:02:17.000 --> 00:02:18.000]  但我們知道
[00:02:18.000 --> 00:02:21.000]  我們是屬於神的
[00:02:21.000 --> 00:02:23.000]  我們很盼望今早
[00:02:23.000 --> 00:02:25.000]  透過小路保羅的祈禱
[00:02:25.000 --> 00:02:27.000]  讓我們能夠開啟
[00:02:27.000 --> 00:02:31.000]  對永恆真實的國度的認識
[00:02:31.000 --> 00:02:33.000]  讓我們有一個羨慕
[00:02:33.000 --> 00:02:35.000]  尤其是我們看到地上
[00:02:35.000 --> 00:02:37.000]  真的不會有太平
[00:02:37.000 --> 00:02:39.000]  真的不會有真正的公義
[00:02:39.000 --> 00:02:41.000]  讓我們看到
[00:02:41.000 --> 00:02:43.000]  我們是屬神的兒女
[00:02:43.000 --> 00:02:45.000]  我們是光明國度的子民
