
[00:00:00.000 --> 00:00:04.000]  第八章一至十三節 哥倫多前說
[00:00:04.000 --> 00:00:08.000]  關於祭過偶像的食物
[00:00:08.000 --> 00:00:11.000]  我們曉得我們都有知識
[00:00:11.000 --> 00:00:13.000]  但知識使人自高自大
[00:00:13.000 --> 00:00:16.000]  唯有愛心能造就人
[00:00:16.000 --> 00:00:19.000]  若有人自以為知道什麼
[00:00:19.000 --> 00:00:23.000]  他其實仍不知道他所應當知道的
[00:00:23.000 --> 00:00:25.000]  若有人愛神
[00:00:25.000 --> 00:00:28.000]  他就是神所認識的人了
[00:00:28.000 --> 00:00:30.000]  八章四節
[00:00:30.000 --> 00:00:32.000]  關於吃祭過偶像的食物
[00:00:32.000 --> 00:00:36.000]  我們知道偶像在世上算不得什麼
[00:00:36.000 --> 00:00:40.000]  也知道神只有一位沒有別的
[00:00:40.000 --> 00:00:44.000]  雖然在天上或地上有許多所謂的神明
[00:00:44.000 --> 00:00:47.000]  就如他們中間有許多的神明
[00:00:47.000 --> 00:00:48.000]  許多的主
[00:00:48.000 --> 00:00:51.000]  但是我們只有一位神
[00:00:51.000 --> 00:00:54.000]  就似乎萬物都出於他
[00:00:54.000 --> 00:00:56.000]  我們也歸於他
[00:00:56.000 --> 00:00:58.000]  並只有一位主
[00:00:58.000 --> 00:01:00.000]  就是耶穌基督
[00:01:00.000 --> 00:01:02.000]  萬物都是藉著他而有
[00:01:02.000 --> 00:01:05.000]  我們也是藉著他而有
[00:01:05.000 --> 00:01:08.000]  可知不是人人都有這知識
[00:01:08.000 --> 00:01:11.000]  有人到現在因拜慣了偶像
[00:01:11.000 --> 00:01:15.000]  仍以為所吃的是祭過偶像的食物
[00:01:15.000 --> 00:01:17.000]  既然他們的良心軟弱
[00:01:17.000 --> 00:01:19.000]  也就污穢了
[00:01:19.000 --> 00:01:21.000]  八章八節
[00:01:21.000 --> 00:01:24.000]  其實食物不能使我們更接近神
[00:01:24.000 --> 00:01:26.000]  因為我們吃也無損
[00:01:26.000 --> 00:01:28.000]  吃也無益
[00:01:28.000 --> 00:01:30.000]  可是你們要謹慎
[00:01:30.000 --> 00:01:31.000]  免得你們的自由
[00:01:31.000 --> 00:01:34.000]  變成了弱人的絆腳石
[00:01:34.000 --> 00:01:36.000]  若有人見你這有知識的
[00:01:36.000 --> 00:01:39.000]  在偶像的廟裡坐直
[00:01:39.000 --> 00:01:42.000]  而這人的良心是軟弱的
[00:01:42.000 --> 00:01:46.000]  他豈不放膽去吃那祭過偶像的食物嗎?
[00:01:46.000 --> 00:01:50.000]  因此偶祭為他死的那軟弱弟兄
[00:01:50.000 --> 00:01:53.000]  也就因你的知識沉淪了
[00:01:53.000 --> 00:01:56.000]  你們這樣得罪弟兄
[00:01:56.000 --> 00:01:58.000]  傷了他們軟弱的良心
[00:01:58.000 --> 00:02:00.000]  就是得罪基督
[00:02:00.000 --> 00:02:03.000]  所以食物若使我的弟兄跌倒
[00:02:03.000 --> 00:02:05.000]  我就永遠不吃肉
[00:02:05.000 --> 00:02:08.000]  免得使我的弟兄跌倒了
[00:02:08.000 --> 00:02:10.000]  現在恭請陳導師靜禮
[00:02:10.000 --> 00:02:29.000]  (主席)
[00:02:29.000 --> 00:02:31.000]  弟兄姊妹午安
[00:02:31.000 --> 00:02:33.000]  雖然還未過十二點
[00:02:33.000 --> 00:02:35.000]  不過我想既然是午堂
[00:02:35.000 --> 00:02:37.000]  還是跟大家說聲午安好些
[00:02:37.000 --> 00:02:40.000]  可能大家會發覺講題不同了
[00:02:40.000 --> 00:02:41.000]  不好意思
[00:02:41.000 --> 00:02:44.000]  是我自己昨晚準備講章的時候
[00:02:44.000 --> 00:02:45.000]  我想了想
[00:02:45.000 --> 00:02:48.000]  覺得這個好像會好些
[00:02:48.000 --> 00:02:52.000]  感謝教會給我這個自由
[00:02:52.000 --> 00:02:55.000]  可以臨時改了這個講題
[00:02:55.000 --> 00:02:58.000]  其實說起自由和權利
[00:02:58.000 --> 00:03:01.000]  我想我自己都會反思
[00:03:01.000 --> 00:03:03.000]  近來香港發生的事
[00:03:03.000 --> 00:03:04.000]  其實我自己覺得
[00:03:04.000 --> 00:03:08.000]  背後都是和自由和權利很有關係
[00:03:08.000 --> 00:03:10.000]  所以其實對於基督徒來說
[00:03:10.000 --> 00:03:13.000]  究竟自由和權利是怎樣的呢
[00:03:13.000 --> 00:03:16.000]  我覺得都好值得去想
[00:03:16.000 --> 00:03:19.000]  我自己以前是在一個福音機構的侍奉
[00:03:19.000 --> 00:03:21.000]  我在大學那裏就專門去做一些
[00:03:21.000 --> 00:03:24.000]  就是和大學生傳福音
[00:03:24.000 --> 00:03:28.000]  我記得那時候曾經和一個大學生傳福音
[00:03:28.000 --> 00:03:30.000]  他是一個跟我年紀差不多
[00:03:30.000 --> 00:03:33.000]  都是二十多歲的一個年輕人
[00:03:33.000 --> 00:03:36.000]  為甚麼我會特別記得這個人呢
[00:03:36.000 --> 00:03:38.000]  我記得那時候和他聊完天
[00:03:38.000 --> 00:03:40.000]  我邀請他去決志
[00:03:40.000 --> 00:03:42.000]  他就這樣回答我
[00:03:42.000 --> 00:03:45.000]  他說我覺得信耶穌是很好的
[00:03:45.000 --> 00:03:47.000]  我也很想信的
