
[00:00:00.000 --> 00:00:04.000]  這段經文其實是很特別的
[00:00:04.000 --> 00:00:08.000]  因為裡面有很多你不明白的字
[00:00:08.000 --> 00:00:10.000]  因為在很早期去翻譯
[00:00:10.000 --> 00:00:12.000]  就算現在來到這個版本也好
[00:00:12.000 --> 00:00:14.000]  其實也有些大家不太明白的
[00:00:14.000 --> 00:00:16.000]  譬如在和合本那裡
[00:00:16.000 --> 00:00:17.000]  要一味的款待
[00:00:17.000 --> 00:00:19.000]  我們以前經常都說笑
[00:00:19.000 --> 00:00:21.000]  接待客人你煮一味就行了
[00:00:21.000 --> 00:00:23.000]  是正經的
[00:00:23.000 --> 00:00:25.000]  又或者反過來
[00:00:25.000 --> 00:00:28.000]  眾人以為美的事你要留心去做
[00:00:28.000 --> 00:00:30.000]  有時這裡有很多不同的解釋
[00:00:30.000 --> 00:00:32.000]  我想今天嘗試用另一個版本
[00:00:32.000 --> 00:00:34.000]  我覺得是一個比較現代的版本
[00:00:34.000 --> 00:00:36.000]  會譯得好一點
[00:00:36.000 --> 00:00:37.000]  大家會明白多一點
[00:00:37.000 --> 00:00:39.000]  上帝的子民有需要時
[00:00:39.000 --> 00:00:41.000]  要樂於幫助他們
[00:00:41.000 --> 00:00:43.000]  總要熱情好客
[00:00:43.000 --> 00:00:45.000]  要為逼迫你們的人祝福
[00:00:45.000 --> 00:00:47.000]  不要就坐他們
[00:00:47.000 --> 00:00:49.000]  都要祈求上帝祝福他們
[00:00:49.000 --> 00:00:51.000]  要跟喜樂的人一同喜樂
[00:00:51.000 --> 00:00:54.000]  跟哭泣的人一同哭泣
[00:00:54.000 --> 00:00:56.000]  要彼此和睦相處
[00:00:56.000 --> 00:00:58.000]  不可心高氣傲
[00:00:58.000 --> 00:01:01.000]  都要樂於跟平凡的人相處
[00:01:01.000 --> 00:01:03.000]  不要自以為通曉萬事
[00:01:03.000 --> 00:01:05.000]  絕對不要以惡報惡
[00:01:05.000 --> 00:01:09.000]  要讓眾人看見你們的行事為人
[00:01:09.000 --> 00:01:11.000]  是高尚正直的
[00:01:11.000 --> 00:01:16.000]  也要竭盡全力跟每個人和平共相處
[00:01:16.000 --> 00:01:18.000]  親愛的朋友
[00:01:18.000 --> 00:01:20.000]  絕不要自己報仇
[00:01:20.000 --> 00:01:22.000]  要把他留給上帝的兒奴
[00:01:22.000 --> 00:01:24.000]  因為聖經上說
[00:01:24.000 --> 00:01:26.000]  我會報復
[00:01:26.000 --> 00:01:28.000]  會讓他們得到報應
[00:01:28.000 --> 00:01:30.000]  相反 你的仇敵餓了
[00:01:30.000 --> 00:01:32.000]  就給他們吃
[00:01:32.000 --> 00:01:34.000]  渴了就給他們的水喝
[00:01:34.000 --> 00:01:35.000]  你這樣做
[00:01:35.000 --> 00:01:39.000]  就是把羞愧的炭火堆在他們的頭上
[00:01:39.000 --> 00:01:41.000]  不要讓惡勝過你
[00:01:41.000 --> 00:01:44.000]  都要以善勝過惡
[00:01:44.000 --> 00:01:49.000]  這個版本比較容易讓大家了解這段經文的意思
[00:01:49.000 --> 00:01:52.000]  整個羅馬書裡面的第十二章
[00:01:52.000 --> 00:01:56.000]  第十一至十一章講了很多論述關於罪的問題
[00:01:56.000 --> 00:01:58.000]  用很多關於哲學
[00:01:58.000 --> 00:02:00.000]  用很多不同的角度去講關於罪
[00:02:00.000 --> 00:02:02.000]  讓當時的人都明白
[00:02:02.000 --> 00:02:03.000]  無論你是猶太人也好
[00:02:03.000 --> 00:02:04.000]  你是外邦人也好
[00:02:04.000 --> 00:02:06.000]  我們都是有罪的
[00:02:06.000 --> 00:02:07.000]  我們都是在罪的裡面
[00:02:07.000 --> 00:02:10.000]  我們只可以靠主耶穌能夠成國
[00:02:10.000 --> 00:02:13.000]  這是保羅在羅馬書裡面
[00:02:13.000 --> 00:02:15.000]  所以當大家要去研究罪的問題
[00:02:15.000 --> 00:02:17.000]  你就看羅馬書
[00:02:17.000 --> 00:02:19.000]  而到了第十二章開始的時候
[00:02:19.000 --> 00:02:24.000]  你就會發覺其實保羅就開始很實際去教信徒
[00:02:24.000 --> 00:02:27.000]  我們應該怎樣去過一個信徒的生活
[00:02:27.000 --> 00:02:29.000]  所有講任何一支詩
[00:02:29.000 --> 00:02:31.000]  他第一節第二節
[00:02:31.000 --> 00:02:32.000]  十二章第一節第二節
[00:02:32.000 --> 00:02:34.000]  他有一個很重要的
[00:02:34.000 --> 00:02:37.000]  就是要將你全人獻給上帝
[00:02:37.000 --> 00:02:38.000]  弟兄姊妹
[00:02:38.000 --> 00:02:39.000]  這個是我們作為基督徒
[00:02:39.000 --> 00:02:41.000]  我們很重要的起點
[00:02:41.000 --> 00:02:43.000]  你說你信耶穌
[00:02:43.000 --> 00:02:46.000]  其實我要再扭正這個字
[00:02:46.000 --> 00:02:48.000]  不是信這麼簡單
[00:02:48.000 --> 00:02:53.000]  信就是將你整個人完全奉獻給上帝
[00:02:53.000 --> 00:02:55.000]  就是說你不再屬於自己
[00:02:55.000 --> 00:02:57.000]  你是屬於上帝
[00:02:57.000 --> 00:02:59.000]  這個是起始點
[00:02:59.000 --> 00:03:00.000]  所以我鼓勵大家
[00:03:00.000 --> 00:03:03.000]  你不是要花很多的努力
[00:03:03.000 --> 00:03:04.000]  很大的力氣
[00:03:04.000 --> 00:03:06.000]  我怎樣扭轉我的生命
[00:03:06.000 --> 00:03:07.000]  我怎樣去
[00:03:07.000 --> 00:03:09.000]  我以前有什麼不好的習慣
[00:03:09.000 --> 00:03:11.000]  我怎樣很努力去戒掉
[00:03:11.000 --> 00:03:12.000]  我可以告訴大家
[00:03:12.000 --> 00:03:15.000]  其實很多時候都是徒勞無功
[00:03:15.000 --> 00:03:18.000]  我以前所認識的
[00:03:18.000 --> 00:03:19.000]  我以前侍奉的教會
[00:03:19.000 --> 00:03:20.000]  有一位弟兄
[00:03:20.000 --> 00:03:22.000]  他很坦白和我分享
[00:03:22.000 --> 00:03:24.000]  他年青又年少
[00:03:24.000 --> 00:03:27.000]  一路被性這個問題一直困擾著他
[00:03:27.000 --> 00:03:29.000]  他有他自己一些不好的習慣
[00:03:29.000 --> 00:03:32.000]  他會看色情的事情
[00:03:32.000 --> 00:03:34.000]  所以現在很多時候
[00:03:34.000 --> 00:03:36.000]  他一有這些困惑
