
[00:00:00.000 --> 00:00:02.200]  各位弟兄姊妹主女們平安
[00:00:02.200 --> 00:00:05.600]  我們又可以回來耕耘這個位置做直播
[00:00:05.600 --> 00:00:07.480]  都有親切感
[00:00:07.480 --> 00:00:10.360]  多虧同工協助
[00:00:10.360 --> 00:00:13.880]  我今天跟大家說的題目是
[00:00:13.880 --> 00:00:15.640]  將所有的投進去
[00:00:15.640 --> 00:00:18.040]  剛才大家都聽過一個經文
[00:00:18.040 --> 00:00:20.760]  是關於奉獻的經文
[00:00:20.760 --> 00:00:23.880]  其實早前教會有財政危機
[00:00:23.880 --> 00:00:26.640]  所以我們呼籲大家奉獻
[00:00:26.640 --> 00:00:30.360]  很感恩很多弟兄姊妹立即回應
[00:00:30.360 --> 00:00:35.280]  雖然教會的財政危機不算完全解決
[00:00:35.280 --> 00:00:37.400]  但起碼都可以支薪
[00:00:37.400 --> 00:00:41.160]  亦沒有拖欠給孫教士的奉獻
[00:00:41.160 --> 00:00:43.360]  所以都要多謝弟兄姊妹
[00:00:43.360 --> 00:00:46.160]  不過引發了我一個思考
[00:00:46.160 --> 00:00:48.320]  其實信了二十多年
[00:00:48.320 --> 00:00:50.720]  我發現很多教會
[00:00:50.720 --> 00:00:54.200]  其實不是怎樣說金錢奉獻的問題
[00:00:54.200 --> 00:00:56.200]  是傾向少去提
[00:00:56.200 --> 00:00:57.800]  為何會少說呢
[00:00:57.800 --> 00:01:02.280]  可能我們傳統都覺得說錢就失感情
[00:01:02.280 --> 00:01:05.920]  於是會比較少提金錢奉獻的事
[00:01:05.920 --> 00:01:10.440]  亦都為免教會被人覺得是使賄或斂財
[00:01:10.440 --> 00:01:12.200]  因為教外人
[00:01:12.200 --> 00:01:14.280]  其實有時對奉獻的看法
[00:01:14.280 --> 00:01:15.600]  起碼我接觸的
[00:01:15.600 --> 00:01:20.040]  都會覺得可能是一種斂財的手段
[00:01:20.040 --> 00:01:22.200]  我剛剛回教會的時候
[00:01:22.200 --> 00:01:24.120]  我家人千叮萬囑
[00:01:24.120 --> 00:01:26.320]  你千萬不要去奉獻
[00:01:26.320 --> 00:01:27.920]  你回教會就回教會
[00:01:27.920 --> 00:01:30.920]  不要去捐錢
[00:01:30.920 --> 00:01:33.200]  教外人這樣看我們
[00:01:33.200 --> 00:01:34.840]  我們都不能怪他
[00:01:34.840 --> 00:01:38.160]  其實你說奉獻
[00:01:38.160 --> 00:01:39.680]  你說需不需要說呢
[00:01:39.680 --> 00:01:40.840]  我覺得是需要說的
[00:01:40.840 --> 00:01:42.480]  但又不是需要經常說
[00:01:42.480 --> 00:01:44.200]  所以藉著今次
[00:01:44.200 --> 00:01:46.760]  剛剛我們有經濟危機的時候
[00:01:46.760 --> 00:01:49.160]  我就順便去提一提
