
[00:00:00.000 --> 00:00:03.800]  現在將時間交給林淑敏姐妹分享她的見證
[00:00:03.800 --> 00:00:06.600]  頂姐妹平安 主日 早晨
[00:00:06.600 --> 00:00:14.000]  我覺得人很多事情都是自己的智慧之外
[00:00:14.000 --> 00:00:17.500]  我告訴你 我今早因為我講完見證
[00:00:17.500 --> 00:00:18.700]  我要立刻去開工
[00:00:18.700 --> 00:00:24.200]  我第一次搞成這樣來講見證
[00:00:24.200 --> 00:00:26.800]  我又不懂得整個頭
[00:00:26.800 --> 00:00:29.100]  通常都是人家幫我整的
[00:00:29.100 --> 00:00:32.500]  我自己整 糟了整到回去
[00:00:32.500 --> 00:00:34.700]  一定被罵 整成這樣
[00:00:34.700 --> 00:00:38.500]  這是放在我身上
[00:00:38.500 --> 00:00:40.500]  但我能力之外的東西
[00:00:40.500 --> 00:00:43.300]  我開車很厲害的
[00:00:43.300 --> 00:00:44.700]  我是警犬來的
[00:00:44.700 --> 00:00:46.900]  我像的士司機一樣
[00:00:46.900 --> 00:00:48.700]  去到一個地方
[00:00:48.700 --> 00:00:51.100]  我去過就可以繼續去
[00:00:51.100 --> 00:00:53.700]  我又不用看地圖 什麼都不用
[00:00:53.700 --> 00:00:57.700]  上次去了村道會錦繡堂講見證
[00:00:57.700 --> 00:01:01.100]  我停泊在消防局
[00:01:01.100 --> 00:01:02.900]  我很聰明 只要開車
[00:01:02.900 --> 00:01:06.100]  很神勇 去到一邊開
[00:01:06.100 --> 00:01:08.900]  難不倒我的 搭車一定去到
[00:01:08.900 --> 00:01:11.900]  去到消防局
[00:01:11.900 --> 00:01:16.700]  招待我的司徒長
[00:01:16.700 --> 00:01:19.500]  不在的 看一看手機
[00:01:19.500 --> 00:01:21.100]  「下下交車快遠」
[00:01:21.100 --> 00:01:22.700]  「天圖尼卡」
[00:01:22.700 --> 00:01:26.700]  幸好我住在蘇寶壽
[00:01:26.700 --> 00:01:29.100]  人就是每一天不停犯錯
[00:01:29.100 --> 00:01:30.500]  有些是大錯 有些是小錯
[00:01:30.500 --> 00:01:31.700]  有些是你不想發生
[00:01:31.700 --> 00:01:33.300]  有些是你能力之外
[00:01:33.300 --> 00:01:34.700]  我聽
[00:01:34.700 --> 00:01:37.500]  我好像今天起床 刷牙洗臉
[00:01:37.500 --> 00:01:39.300]  這麼平穩來到這裡講見證
[00:01:39.300 --> 00:01:42.900]  我中間也發生了這麼多事
[00:01:42.900 --> 00:01:45.500]  有個弟兄有一天起床
[00:01:45.500 --> 00:01:49.300]  突然起床 想坐 坐不到
[00:01:49.300 --> 00:01:51.500]  原來他一起床
[00:01:51.500 --> 00:01:53.900]  他的追監盤突出了
[00:01:53.900 --> 00:01:57.500]  他跟我分享
[00:01:57.500 --> 00:02:01.300]  我才知道原來每一天能夠刷牙洗臉
[00:02:01.300 --> 00:02:02.500]  拿起牙刷
[00:02:02.500 --> 00:02:05.100]  原來已經是一個很大的恩典
[00:02:05.100 --> 00:02:07.700]  所以很多人追求神蹟
[00:02:07.700 --> 00:02:10.300]  尤其是我們基督徒
[00:02:10.300 --> 00:02:13.300]  我自己也曾經有過這樣的階段
[00:02:13.300 --> 00:02:15.900]  但原來發生在我們身上的神蹟
[00:02:15.900 --> 00:02:18.100]  不是跛了可以走得快
[00:02:18.100 --> 00:02:20.100]  盲了可以開眼
[00:02:20.100 --> 00:02:23.700]  這些很低層次 我現在覺得很低層次
[00:02:23.700 --> 00:02:26.100]  是我們每一天平安地過
[00:02:26.100 --> 00:02:28.900]  每一天主耶穌不斷在我們生命裏報仇
[00:02:28.900 --> 00:02:30.700]  修正我們的錯
[00:02:30.700 --> 00:02:33.700]  饒恕我們所做的不是
[00:02:33.700 --> 00:02:36.100]  包括我們蠢蠢地
[00:02:36.100 --> 00:02:37.900]  又經常冷靜
[00:02:37.900 --> 00:02:38.900]  好像我這樣
[00:02:38.900 --> 00:02:40.100]  我是警犬來的
