
[00:00:00.000 --> 00:00:05.000]  我們一起禱告下
[00:00:05.000 --> 00:00:09.000]  多謝主讓我們能夠再一次在晚上聚集
[00:00:09.000 --> 00:00:12.000]  來研讀聖經的真理
[00:00:12.000 --> 00:00:17.000]  我們會再看啟示錄關於末後的大災難
[00:00:17.000 --> 00:00:19.000]  幫助我們能夠明白
[00:00:19.000 --> 00:00:23.000]  心靈裏面都能夠有共鳴感
[00:00:23.000 --> 00:00:27.000]  看到將來敵黨神的人
[00:00:27.000 --> 00:00:30.000]  會遭受一個很大的審判
[00:00:30.000 --> 00:00:32.000]  都幫助我們看到
[00:00:32.000 --> 00:00:34.000]  公義的主
[00:00:34.000 --> 00:00:37.000]  是真的會伸張公義
[00:00:37.000 --> 00:00:41.000]  來將罪惡去清除
[00:00:41.000 --> 00:00:44.000]  和來施行審判
[00:00:44.000 --> 00:00:47.000]  而且是一個終極公義的審判
[00:00:47.000 --> 00:00:50.000]  幫助我們能夠明白
[00:00:50.000 --> 00:00:53.000]  以致我們自己在我們自己的世代
[00:00:53.000 --> 00:00:56.000]  能夠傳一個敬畏神的心
[00:00:56.000 --> 00:00:59.000]  來過一個基督徒的生活
[00:00:59.000 --> 00:01:01.000]  我們這樣來仰望禱告
[00:01:01.000 --> 00:01:03.000]  奉耶穌基督的名
[00:01:03.000 --> 00:01:05.000]  阿門
[00:01:05.000 --> 00:01:10.000]  如果有什麼問題就提一提我
[00:01:10.000 --> 00:01:14.000]  因為我用了另外一部電腦
[00:01:14.000 --> 00:01:17.000]  所以我怕那些連結大家找不回
[00:01:17.000 --> 00:01:19.000]  我們回來開始
[00:01:19.000 --> 00:01:33.000]  (音樂停止)
[00:01:33.000 --> 00:01:37.000]  Yoyo有些東西要告訴我
[00:01:37.000 --> 00:01:41.000]  現在我要退出
[00:01:41.000 --> 00:01:44.000]  因為教會的連結
[00:01:44.000 --> 00:01:48.000]  和現在我給大家的連結有點不同
[00:01:48.000 --> 00:01:51.000]  待會在WhatsApp重新開一個
