
[00:00:00.000 --> 00:00:02.000]  全人的敬拜
[00:00:02.000 --> 00:00:05.000]  現在封請僧侶桂木師
[00:00:05.000 --> 00:00:21.000]  我們同心祈禱
[00:00:21.000 --> 00:00:24.000]  親愛的主,多謝祢
[00:00:24.000 --> 00:00:26.000]  讓我們今天晚上
[00:00:26.000 --> 00:00:29.000]  仍然可以透過直播
[00:00:29.000 --> 00:00:33.000]  和在禮堂裏的弟兄姊妹的服侍
[00:00:33.000 --> 00:00:37.000]  我們可以讓這個聚會繼續
[00:00:37.000 --> 00:00:41.000]  讓你的恩典透過網路
[00:00:41.000 --> 00:00:43.000]  透過你的話語被宣講
[00:00:43.000 --> 00:00:46.000]  可以來到被人認識
[00:00:46.000 --> 00:00:48.000]  被人接受
[00:00:48.000 --> 00:00:50.000]  人來到跟隨你
[00:00:50.000 --> 00:00:51.000]  敬畏你
[00:00:51.000 --> 00:00:53.000]  來到經歷你的同在
[00:00:53.000 --> 00:00:55.000]  和你的依治
[00:00:55.000 --> 00:00:57.000]  和你的憐憫
[00:00:57.000 --> 00:00:59.000]  祈禱大衛這篇詩篇
[00:00:59.000 --> 00:01:01.000]  讓我們了解
[00:01:01.000 --> 00:01:03.000]  如何來到去敬拜、讚美
[00:01:03.000 --> 00:01:06.000]  是神祢所閱立的
[00:01:06.000 --> 00:01:09.000]  求祢帶領我們今天晚上的聚集
[00:01:09.000 --> 00:01:11.000]  我們在祢面前
[00:01:11.000 --> 00:01:13.000]  弟兄姊妹在家中
[00:01:13.000 --> 00:01:15.000]  或者在不同的地方
[00:01:15.000 --> 00:01:19.000]  求祢讓他們格外有一份寧靜的恩典
[00:01:19.000 --> 00:01:22.000]  他們不單只是環境的寧靜
[00:01:22.000 --> 00:01:24.000]  是心靈的寧靜
[00:01:24.000 --> 00:01:25.000]  去等候祢
[00:01:25.000 --> 00:01:27.000]  去敬拜祢
[00:01:27.000 --> 00:01:30.000]  是我們信徒一個很大的福氣
[00:01:30.000 --> 00:01:33.000]  求祢在我們中間來引導
[00:01:33.000 --> 00:01:37.000]  我們這樣禱告奉耶穌基督的名
[00:01:37.000 --> 00:01:38.000]  阿們
[00:01:38.000 --> 00:01:40.000]  選取103篇
[00:01:40.000 --> 00:01:44.000]  相信都是一個很簡單的原因
[00:01:44.000 --> 00:01:47.000]  很想我們每一位弟兄姊妹
[00:01:47.000 --> 00:01:51.000]  來到去學習、讚美、敬拜神
[00:01:51.000 --> 00:01:52.000]  這篇詩篇
[00:01:52.000 --> 00:01:56.000]  差不多都是一篇很重要的典範的詩篇
[00:01:56.000 --> 00:01:57.000]  大衛王
[00:01:57.000 --> 00:01:59.000]  大衛是君王
[00:01:59.000 --> 00:02:01.000]  他更加是一個詩人
[00:02:01.000 --> 00:02:04.000]  甚至乎在這篇詩篇裏面
[00:02:04.000 --> 00:02:06.000]  他是一個傳道者
[00:02:06.000 --> 00:02:09.000]  他將神的心意
[00:02:09.000 --> 00:02:11.000]  來到去講述出來
[00:02:11.000 --> 00:02:13.000]  其中有很重要的地方就是
[00:02:13.000 --> 00:02:16.000]  關於敬拜、關於讚美
[00:02:16.000 --> 00:02:18.000]  第一節就已經浮現
[00:02:18.000 --> 00:02:21.000]  就是他的心靈要稱頌神
[00:02:21.000 --> 00:02:24.000]  凡是在他的裏面
[00:02:24.000 --> 00:02:27.000]  他不是在講那個肉體裏面的器官
[00:02:27.000 --> 00:02:29.000]  這麼簡單
[00:02:29.000 --> 00:02:31.000]  不是在講你的心肺
[00:02:31.000 --> 00:02:33.000]  要有很大的力氣
[00:02:33.000 --> 00:02:34.000]  這麼簡單
[00:02:34.000 --> 00:02:37.000]  是在講裏面和外面
[00:02:37.000 --> 00:02:42.000]  我們的裏面是否充滿了熱誠的敬拜
[00:02:42.000 --> 00:02:44.000]  而在我們的外面
[00:02:44.000 --> 00:02:46.000]  只是很膚淺這樣呢
[00:02:46.000 --> 00:02:48.000]  是不能夠的
[00:02:48.000 --> 00:02:49.000]  大衛認為
[00:02:49.000 --> 00:02:53.000]  他說凡是在我們的裏面都要稱頌他的聖名
[00:02:53.000 --> 00:02:55.000]  然後第二節
[00:02:55.000 --> 00:02:57.000]  他告訴我們
[00:02:57.000 --> 00:03:00.000]  不要忘記他一切的恩典
[00:03:00.000 --> 00:03:01.000]  一切的恩惠
[00:03:01.000 --> 00:03:04.000]  甚麼的恩典、恩惠呢
[00:03:04.000 --> 00:03:06.000]  大衛第一個想到的是
[00:03:06.000 --> 00:03:09.000]  神的赦罪
[00:03:09.000 --> 00:03:11.000]  很難想像
[00:03:11.000 --> 00:03:14.000]  一個信耶穌的弟兄姊妹
[00:03:14.000 --> 00:03:16.000]  問你最近經歷了甚麼恩典
[00:03:16.000 --> 00:03:17.000]  很感恩啊
[00:03:17.000 --> 00:03:19.000]  我的兒子考到大學
[00:03:19.000 --> 00:03:20.000]  讀甚麼系
