
[00:00:00.000 --> 00:00:03.540]  請我們一起同心祈禱
[00:00:03.540 --> 00:00:07.440]  親愛的主,我們再一次打開聖經
[00:00:07.440 --> 00:00:09.820]  我們很盼望羅馬書
[00:00:09.820 --> 00:00:13.200]  使徒保羅他所教導的經文
[00:00:13.200 --> 00:00:16.200]  是成為我們很深的提醒
[00:00:16.200 --> 00:00:19.000]  特別我們在社會裡面
[00:00:19.000 --> 00:00:21.240]  有一個公民的責任
[00:00:21.240 --> 00:00:25.280]  以及我們在保羅所告訴我們的
[00:00:25.280 --> 00:00:27.340]  這個新的身份
[00:00:27.340 --> 00:00:31.340]  就是聖靈更新的一個活祭的生命
[00:00:31.340 --> 00:00:34.640]  是應該怎樣在不同的
[00:00:34.640 --> 00:00:36.500]  我們的關係網絡
[00:00:36.500 --> 00:00:38.340]  社會的責任
[00:00:38.340 --> 00:00:42.000]  我們來滿足神給我們的
[00:00:42.000 --> 00:00:43.700]  這個新的身份
[00:00:43.700 --> 00:00:45.240]  那個要求
[00:00:45.240 --> 00:00:47.080]  求主帶領我們
[00:00:47.080 --> 00:00:49.280]  我們這樣的感恩禱告
[00:00:49.280 --> 00:00:51.780]  奉耶穌基督的名
[00:00:51.780 --> 00:00:52.840]  阿們
[00:00:52.840 --> 00:00:53.980]  我們在這個月
[00:00:53.980 --> 00:00:56.900]  一直在講的一個重要的題目
[00:00:56.900 --> 00:01:00.780]  就是聖靈更新的生命
[00:01:00.780 --> 00:01:05.440]  以羅馬書作為這個藍本
[00:01:05.440 --> 00:01:06.940]  由十二章開始
[00:01:06.940 --> 00:01:10.480]  我們一月第一個主日就已經講了
[00:01:10.480 --> 00:01:12.880]  一個人在主裡面
[00:01:12.880 --> 00:01:13.780]  救恩
[00:01:13.780 --> 00:01:16.140]  帶給我們一個新的身份
[00:01:16.140 --> 00:01:17.800]  就是在神眼中
[00:01:17.800 --> 00:01:20.400]  我們是一個活祭的生命
[00:01:20.400 --> 00:01:21.600]  這個活祭
[00:01:21.600 --> 00:01:24.040]  就是說你要整個的價值觀
[00:01:24.040 --> 00:01:25.640]  改變你自己
[00:01:25.640 --> 00:01:28.940]  你要認定自己是神的兒女
[00:01:28.940 --> 00:01:32.680]  這個不是我們與生俱來的
[00:01:32.680 --> 00:01:33.680]  與生俱來
[00:01:33.680 --> 00:01:36.780]  聖經說我們是罪惡之子
[00:01:36.780 --> 00:01:38.840]  是沉淪之子
[00:01:38.840 --> 00:01:40.980]  是黑暗裡面的人
[00:01:40.980 --> 00:01:43.180]  但是一個新的身份
[00:01:43.180 --> 00:01:45.880]  就是聖靈更新了我們的生命
[00:01:45.880 --> 00:01:49.080]  所以我們要在這個新生命裡面
[00:01:49.080 --> 00:01:51.740]  很多的倫理關係
[00:01:51.740 --> 00:01:54.480]  一開始第三節十二章
[00:01:54.480 --> 00:01:56.780]  就提到我們要對自己
[00:01:56.780 --> 00:01:59.780]  要看得合乎忠道的信心
[00:01:59.780 --> 00:02:01.680]  這樣去理解自己
[00:02:01.680 --> 00:02:06.740]  然後又在神給我們的不同的恩賜裡面
[00:02:06.740 --> 00:02:08.340]  在教會裡面
[00:02:08.340 --> 00:02:12.880]  如何能夠彼此同心合一的服事
[00:02:12.880 --> 00:02:15.800]  使得我們自己服事的人
[00:02:15.800 --> 00:02:17.540]  得到恩賜的福氣
[00:02:17.540 --> 00:02:19.080]  得到服事的福氣
[00:02:19.080 --> 00:02:21.840]  更加讓其他人
[00:02:21.840 --> 00:02:25.140]  都可以得到那個建立和福氣
[00:02:25.140 --> 00:02:27.740]  這個是十二章所說的
[00:02:27.740 --> 00:02:31.340]  接著人際關係的網絡
[00:02:31.340 --> 00:02:34.340]  要重新調整了
[00:02:34.340 --> 00:02:36.240]  其中一個大的原則
[00:02:36.240 --> 00:02:40.940]  就是十二章的二十一節
[00:02:40.940 --> 00:02:42.700]  不單止是這樣
[00:02:42.700 --> 00:02:45.840]  你的仇敵如果飢餓
[00:02:45.840 --> 00:02:47.400]  就要給他吃
[00:02:47.400 --> 00:02:48.500]  他飢渴
[00:02:48.500 --> 00:02:50.140]  你就要給他喝
[00:02:50.140 --> 00:02:52.640]  因為當你這樣去做的時候
[00:02:52.640 --> 00:02:57.040]  就是把炭火堆在他的頭上
