
[00:00:00.000 --> 00:00:04.000]  我们一起同心祈祷
[00:00:04.000 --> 00:00:09.000]  在一次聚集中,等候聆听你的圣言
[00:00:09.000 --> 00:00:12.000]  求你开开我们心灵的眼睛
[00:00:12.000 --> 00:00:16.000]  也让我们有思辨的能力
[00:00:16.000 --> 00:00:23.000]  将你的话语在我们的生活中实践应用
[00:00:23.000 --> 00:00:27.000]  我们这样祷告奉耶稣基督的名
[00:00:27.000 --> 00:00:35.000]  全章32节有一个很重要的头尾的括弧
[00:00:35.000 --> 00:00:38.000]  帮大家做一做分析
[00:00:38.000 --> 00:00:42.000]  刚才Terence已经读了一个段落
[00:00:42.000 --> 00:00:43.000]  一到第七节
[00:00:43.000 --> 00:00:47.000]  其实这一章圣经有好几个层次
[00:00:47.000 --> 00:00:50.000]  很重要的分段
[00:00:50.000 --> 00:00:57.000]  就是有些事无论如何不能够做
[00:00:57.000 --> 00:00:59.000]  一做就死了
[00:00:59.000 --> 00:01:02.000]  永远不可以做
[00:01:02.000 --> 00:01:05.000]  当然是指当时的希伯来人
[00:01:05.000 --> 00:01:08.000]  与神纳了约的神的选民
[00:01:08.000 --> 00:01:12.000]  大家延伸到今天我们基督徒
[00:01:12.000 --> 00:01:14.000]  属神的群体
[00:01:14.000 --> 00:01:17.000]  这个括弧是很重要的
[00:01:17.000 --> 00:01:20.000]  规范了里面的32节
[00:01:20.000 --> 00:01:23.000]  有些事你要如何做
[00:01:23.000 --> 00:01:26.000]  有些事你要随心所欲去做
[00:01:26.000 --> 00:01:28.000]  分了几个层次
[00:01:28.000 --> 00:01:30.000]  第一节开始
[00:01:30.000 --> 00:01:32.000]  你们活在世上的日子
[00:01:32.000 --> 00:01:36.000]  在耶和华你列祖的神所赐你们为业的地上
[00:01:36.000 --> 00:01:39.000]  你要谨守遵行的这些律例
[00:01:39.000 --> 00:01:40.000]  就是这样
[00:01:40.000 --> 00:01:41.000]  留意第二节
[00:01:41.000 --> 00:01:45.000]  你们占领了国家所侍奉他们众神明的地方
[00:01:45.000 --> 00:01:46.000]  即是迦南地
[00:01:46.000 --> 00:01:49.000]  无论是高山小山
[00:01:49.000 --> 00:01:51.000]  一切的青翠树下
[00:01:51.000 --> 00:01:53.000]  你们要彻底的毁坏
[00:01:53.000 --> 00:01:55.000]  要拆毁他们的祭坛
[00:01:55.000 --> 00:01:57.000]  打碎他们的柱杖
[00:01:57.000 --> 00:02:00.000]  用火焚烧他们的阿赛拉
[00:02:00.000 --> 00:02:02.000]  砍断他们的神明
[00:02:02.000 --> 00:02:03.000]  雕刻的偶像
[00:02:03.000 --> 00:02:07.000]  并要从那地方除去他们的名
[00:02:07.000 --> 00:02:08.000]  第四节
[00:02:08.000 --> 00:02:12.000]  你们不可那样敬拜耶和华
[00:02:12.000 --> 00:02:13.000]  你们的神
[00:02:13.000 --> 00:02:14.000]  接着不读了
[00:02:14.000 --> 00:02:19.000]  我们去看后面31节
[00:02:19.000 --> 00:02:21.000]  或者再长一点
[00:02:21.000 --> 00:02:23.000]  29节
[00:02:23.000 --> 00:02:25.000]  那个阔湖
[00:02:25.000 --> 00:02:26.000]  开阔湖
[00:02:26.000 --> 00:02:27.000]  山阔湖
[00:02:27.000 --> 00:02:31.000]  耶和华你神把你要进去赶出列国
[00:02:31.000 --> 00:02:33.000]  从你面前剪除
[00:02:33.000 --> 00:02:37.000]  并且你得了他们的地为业居住
[00:02:37.000 --> 00:02:39.000]  那时你要谨慎
[00:02:39.000 --> 00:02:43.000]  在他们从你面前被除灭之后
[00:02:43.000 --> 00:02:45.000]  你就不可以受隐忧
[00:02:45.000 --> 00:02:46.000]  随从他们
