
[00:00:00.000 --> 00:00:03.480]  時間差不多了,我們一起祈禱吧
[00:00:03.480 --> 00:00:06.560]  多謝主讓我們在星期五晚
[00:00:06.560 --> 00:00:09.040]  一起來研讀聖經
[00:00:09.040 --> 00:00:10.840]  透過聖經的人物
[00:00:10.840 --> 00:00:14.160]  我們可以從他們的生平
[00:00:14.160 --> 00:00:16.880]  他們如何在他們的時代
[00:00:16.880 --> 00:00:20.440]  去跟隨、去認識我們的主
[00:00:20.440 --> 00:00:23.520]  也幫助我們能夠在我們的時代
[00:00:23.520 --> 00:00:26.200]  我們所面對的現在的環境
[00:00:26.200 --> 00:00:27.640]  我們去跟隨
[00:00:27.640 --> 00:00:30.160]  是有血有肉的跟隨
[00:00:30.160 --> 00:00:35.200]  是真的可能跟我們的信仰、生命有關係的
[00:00:35.200 --> 00:00:38.640]  一個內心裏面的掙扎
[00:00:38.640 --> 00:00:41.680]  以致我們在這個過程
[00:00:41.680 --> 00:00:44.280]  也都是跟過去的人一樣
[00:00:44.280 --> 00:00:47.600]  用信心來等候
[00:00:47.600 --> 00:00:50.440]  以及認定神是那一位
[00:00:50.440 --> 00:00:53.720]  掌管萬有和施恩的主
[00:00:53.720 --> 00:00:56.360]  以致我們的信心是在裏面
[00:00:56.360 --> 00:00:58.800]  帶領我們今天晚上的聚會
[00:00:58.800 --> 00:01:03.360]  也都各邊有支體可能都在進入Zoom的程式
[00:01:03.360 --> 00:01:05.280]  保守這個運作
[00:01:05.280 --> 00:01:08.320]  都不會影響大家的聆聽
[00:01:08.320 --> 00:01:11.440]  或者是一些的聲浪等等
[00:01:11.440 --> 00:01:13.080]  都是恰到好處的
[00:01:13.080 --> 00:01:14.480]  求你帶領我們
[00:01:14.480 --> 00:01:15.760]  我們這樣祈禱
[00:01:15.760 --> 00:01:17.640]  奉耶穌基督的名
[00:01:17.640 --> 00:01:19.320]  阿們
[00:01:19.320 --> 00:01:21.640]  一直都沒有再說
[00:01:21.640 --> 00:01:25.000]  如果你發現譬如聽得不夠清楚
[00:01:25.000 --> 00:01:28.840]  或者是有其他的一些困難
[00:01:28.840 --> 00:01:30.880]  你可以說
[00:01:30.880 --> 00:01:32.800]  我就有時可能停一停
[00:01:32.800 --> 00:01:34.080]  看看什麼原因
[00:01:34.080 --> 00:01:36.720]  有些人譬如你進不來
[00:01:36.720 --> 00:01:38.600]  那又是一個困難的
[00:01:38.600 --> 00:01:41.400]  當然之後我們會錄音放上網的
[00:01:41.400 --> 00:01:43.080]  可以聽回
[00:01:43.080 --> 00:01:45.560]  我們一路說伯拉罕
[00:01:45.560 --> 00:01:47.560]  因為都是一個重要人物
[00:01:47.560 --> 00:01:50.680]  所以都要將他的經文看完
[00:01:50.680 --> 00:01:53.560]  一路去到25章這麼多的
[00:01:53.560 --> 00:01:56.280]  今晚就會是關乎到
[00:01:56.280 --> 00:01:59.000]  他是寄居在這個
[00:01:59.000 --> 00:02:01.200]  基拉爾的地方
[00:02:01.200 --> 00:02:03.200]  變成是他
[00:02:03.200 --> 00:02:05.680]  又去作客旅
[00:02:05.680 --> 00:02:08.760]  寄居在藍地以下的地方
[00:02:08.760 --> 00:02:11.440]  猶大曠野最南面
[00:02:11.440 --> 00:02:14.640]  就有一兩件事是發生的
