
[00:00:00.000 --> 00:00:01.560]  靜姐妹 早安
[00:00:01.560 --> 00:00:05.760]  今天我預備的這篇講章
[00:00:05.760 --> 00:00:10.080]  其實我都是最近在
[00:00:10.080 --> 00:00:14.000]  我想我們這個城市都有一些熱話
[00:00:14.000 --> 00:00:17.880]  有一些話題是提及關於
[00:00:17.880 --> 00:00:21.960]  就是一個大台的電視劇
[00:00:21.960 --> 00:00:23.400]  大家如果有
[00:00:23.400 --> 00:00:26.200]  我不知道有多少人有看過這套電視劇
[00:00:26.200 --> 00:00:28.720]  叫《婚後事》
[00:00:28.720 --> 00:00:30.720]  聽清楚 不是「身後事」
[00:00:30.720 --> 00:00:33.200]  是《婚後事》
[00:00:33.200 --> 00:00:37.920]  這個劇其實
[00:00:37.920 --> 00:00:42.400]  我看到那些編劇可能都用了一些心思
[00:00:42.400 --> 00:00:44.640]  用三個家庭的
[00:00:44.640 --> 00:00:47.240]  那些夫妻的問題
[00:00:47.240 --> 00:00:49.400]  甚至我們看到
[00:00:49.400 --> 00:00:52.440]  今天現代人的生活處境
[00:00:52.440 --> 00:00:55.720]  很多時候給了自己藉口
[00:00:55.720 --> 00:00:58.720]  就是來到在婚姻以外
[00:00:58.720 --> 00:01:02.720]  他們尋求一些所謂感情的滿足
[00:01:02.720 --> 00:01:05.120]  這是很危險的一件事
[00:01:05.120 --> 00:01:07.120]  這個危險的地方是什麼呢
[00:01:07.120 --> 00:01:09.120]  其中這套劇裡面
[00:01:09.120 --> 00:01:12.240]  我覺得它滲透了一個思想
[00:01:12.240 --> 00:01:16.640]  是和我們聖經的原則是很不同的
[00:01:16.640 --> 00:01:20.640]  據說婚姻出軌
[00:01:20.640 --> 00:01:25.440]  你不要真的去有肉體的關係
[00:01:25.440 --> 00:01:26.840]  這樣就OK了
[00:01:26.840 --> 00:01:28.840]  精神出軌沒有問題
[00:01:28.840 --> 00:01:31.840]  耶穌是不是這樣教導我們的
[00:01:31.840 --> 00:01:33.240]  耶穌說什麼
[00:01:33.240 --> 00:01:35.840]  你在街上見到一個婦女
[00:01:35.840 --> 00:01:37.640]  你動淫亂
[00:01:37.640 --> 00:01:39.640]  這就等於什麼
[00:01:39.640 --> 00:01:42.840]  就和她發生了淫亂的關係
[00:01:42.840 --> 00:01:45.840]  原來上帝看我們人
[00:01:45.840 --> 00:01:50.840]  祂知道我們有這種情感
[00:01:50.840 --> 00:01:54.240]  但上帝要我們去控制
[00:01:54.240 --> 00:01:56.240]  我們要好好去管理
[00:01:56.240 --> 00:01:57.640]  等於我們健康一樣
[00:01:57.640 --> 00:01:59.640]  上帝給我們有個身體
[00:01:59.640 --> 00:02:02.640]  是要我們好好去做管家管理
[00:02:02.640 --> 00:02:05.640]  上帝給我們有財富一樣
[00:02:05.640 --> 00:02:07.640]  我們要怎樣去理財
[00:02:07.640 --> 00:02:12.640]  但是如果我們來到是很隨便
[00:02:12.640 --> 00:02:15.640]  和亂七八糟的時候
[00:02:15.640 --> 00:02:18.640]  我們不用聖經神給我們的原則
[00:02:18.640 --> 00:02:21.640]  就一定會出很大很大的問題
[00:02:21.640 --> 00:02:23.640]  而這些問題在這套劇裡面
[00:02:23.640 --> 00:02:24.640]  上帝都帶出來
[00:02:24.640 --> 00:02:27.640]  不單止破壞夫妻的關係
[00:02:27.640 --> 00:02:30.640]  拆毀家庭甚至怎樣
[00:02:30.640 --> 00:02:32.640]  甚至連我們的兒女
[00:02:32.640 --> 00:02:33.640]  我們的下一代
[00:02:33.640 --> 00:02:37.640]  都會影響他們
[00:02:37.640 --> 00:02:40.640]  所以這件事帶來很重要
[00:02:40.640 --> 00:02:44.640]  今天我是用參宣他的人生
[00:02:44.640 --> 00:02:46.640]  給我們來看
[00:02:46.640 --> 00:02:48.640]  他這個典故
[00:02:48.640 --> 00:02:50.640]  我相信大家都會熟悉的
[00:02:50.640 --> 00:02:51.640]  在《史詩記》
[00:02:51.640 --> 00:02:54.640]  而《史詩記》也是讓我們看到
[00:02:54.640 --> 00:02:57.640]  神在起初《史詩記》裡面
[00:02:57.640 --> 00:03:02.640]  這21章其實就是很多聖經學者
[00:03:02.640 --> 00:03:04.640]  都來和我們分析
[00:03:04.640 --> 00:03:08.640]  就是一個好像墮落的循環
[00:03:08.640 --> 00:03:11.640]  那三章裡面
[00:03:11.640 --> 00:03:14.640]  由第一章到第三章六節
[00:03:14.640 --> 00:03:17.640]  是說到第二代的領袖離世
[00:03:17.640 --> 00:03:20.640]  就是約書亞和一班長老
[00:03:20.640 --> 00:03:24.640]  他們是見證神怎樣帶領他們出埃及
[00:03:24.640 --> 00:03:26.640]  過紅海的
