
[00:00:00.000 --> 00:00:02.000]  各位大英姐妹平安
[00:00:02.000 --> 00:00:04.400]  相信大家安坐家中
[00:00:04.400 --> 00:00:08.400]  面對著電腦或者是手機
[00:00:08.400 --> 00:00:10.600]  或者是電視
[00:00:10.600 --> 00:00:12.600]  一起來看直播
[00:00:12.600 --> 00:00:18.560]  對著一個智慧型手機來聽半個小時
[00:00:18.560 --> 00:00:20.560]  是很痛苦的事情
[00:00:20.560 --> 00:00:23.280]  真的很辛苦
[00:00:23.280 --> 00:00:26.920]  願以今天晚上我們專心的聆聽
[00:00:26.920 --> 00:00:31.400]  願上帝用祂自己的話語來餵養我們
[00:00:31.400 --> 00:00:33.800]  我相信過去這段時間裡面
[00:00:33.800 --> 00:00:36.840]  尤其是我今天晚上講道
[00:00:36.840 --> 00:00:38.840]  可以不用戴口罩
[00:00:38.840 --> 00:00:40.360]  遵照牧師吩咐
[00:00:40.360 --> 00:00:41.880]  可以不用戴口罩講道
[00:00:41.880 --> 00:00:43.880]  真是很開心的一件事
[00:00:43.880 --> 00:00:45.280]  戴著口罩講道
[00:00:45.280 --> 00:00:46.280]  我有一次試過
[00:00:46.280 --> 00:00:48.800]  真的要悶到快要暈了
[00:00:48.800 --> 00:00:50.800]  真的很厲害
[00:00:50.800 --> 00:00:54.800]  今天我們所選讀這段聖經
[00:00:54.800 --> 00:00:57.400]  是保羅的一個經驗
[00:00:57.400 --> 00:01:00.000]  很多的戒經家都告訴我們
[00:01:00.000 --> 00:01:03.720]  在這短短的十節聖經裡面
[00:01:03.720 --> 00:01:07.600]  是保羅一個很獨特的經驗
[00:01:07.600 --> 00:01:09.600]  將耶穌基督
[00:01:09.600 --> 00:01:13.280]  一個很猶太化的信息
[00:01:13.280 --> 00:01:16.480]  一位上帝之子道成肉身
[00:01:16.480 --> 00:01:18.480]  住在我們中間
[00:01:18.480 --> 00:01:20.800]  從中往外有因典有真理的
[00:01:20.800 --> 00:01:22.800]  上帝的兒子的
[00:01:22.800 --> 00:01:24.800]  這個很猶太的福音
[00:01:24.800 --> 00:01:27.800]  帶到希臘
[00:01:27.800 --> 00:01:29.800]  帶到雅典
[00:01:29.800 --> 00:01:34.200]  一個充滿哲學的演說
[00:01:34.200 --> 00:01:37.200]  哲學的理論的世界裡面
[00:01:37.200 --> 00:01:41.200]  他怎樣將這個這麼猶太的福音
[00:01:41.200 --> 00:01:43.800]  帶到他們中間
[00:01:43.800 --> 00:01:46.600]  讓人能夠明白這個福音呢
[00:01:46.600 --> 00:01:48.600]  他是用了很淺顯的語句
[00:01:48.600 --> 00:01:52.200]  晚上我直接用他的題目
[00:01:52.200 --> 00:01:53.600]  「遺跡之神」
[00:01:53.600 --> 00:01:55.600]  來跟大家思想一下
[00:01:55.600 --> 00:01:57.600]  在這個疫情之下
[00:01:57.600 --> 00:01:59.600]  我們今天做基督徒的人
[00:01:59.600 --> 00:02:01.600]  怎樣能夠在這樣的時段裡面
[00:02:01.600 --> 00:02:04.600]  將世人所不認識
[00:02:04.600 --> 00:02:08.600]  或者甚麽我們基督徒隱約認識
[00:02:08.600 --> 00:02:11.600]  的這位上帝再次擺在我們眼前
[00:02:11.600 --> 00:02:15.600]  用保羅的這段經文再次提醒我們
[00:02:15.600 --> 00:02:18.600]  經文在這裏講得很清楚
[00:02:18.600 --> 00:02:24.600]  保羅在雅典等候他的同工來的時候
[00:02:24.600 --> 00:02:28.600]  看見滿城都是偶像
[00:02:28.600 --> 00:02:33.600]  他心裏為他們非常難過
[00:02:33.600 --> 00:02:35.600]  非常難過呢
[00:02:35.600 --> 00:02:38.600]  這個難過是否會令到他們哭
[00:02:38.600 --> 00:02:42.600]  或者是感情裏面的激動呢
[00:02:42.600 --> 00:02:45.600]  對於滿城的偶像
[00:02:45.600 --> 00:02:48.600]  這個大素出身的保羅
[00:02:48.600 --> 00:02:51.600]  應該是師兄見慣的東西
[00:02:51.600 --> 00:02:53.600]  因為他自己所出身的地方
