
[00:00:00.000 --> 00:00:02.000]  頂姐妹,早安
[00:00:02.000 --> 00:00:08.000]  我帶了一些禮物來,送給一些新朋友
[00:00:08.000 --> 00:00:12.000]  有哪位是新朋友的?請舉手,好嗎?
[00:00:12.000 --> 00:00:17.000]  我知道你們今早有家長的聚會
[00:00:17.000 --> 00:00:24.000]  我和我太太兩輯在影音使團做了喜樂家庭
[00:00:25.000 --> 00:00:32.000]  你離開時可以免費拿這份禮物來祝福,好嗎?
[00:00:32.000 --> 00:00:39.000]  另外你上Youtube也有的,你打黑警牧師做爺爺
[00:00:39.000 --> 00:00:43.000]  其實我做了爺爺,你看我的款式也像爺爺,是嗎?
[00:00:43.000 --> 00:00:50.000]  我帶了一本自傳來,因為我今早不可能在幾個節內說完我一生的故事
[00:00:51.000 --> 00:00:59.000]  這本是我的自傳《黑夜進駐時黎明》,已經絕版了
[00:00:59.000 --> 00:01:03.000]  在香港圖書館也有初版,這是再版
[00:01:03.000 --> 00:01:08.000]  我來到這間教會時有很深刻很大的印象
[00:01:08.000 --> 00:01:13.000]  我以為去到外國才會見到這一類的教會
[00:01:13.000 --> 00:01:17.000]  就是國際性的International Church
[00:01:18.000 --> 00:01:25.000]  他們有英語,國語,可能沒有印尼語,例如我去加拿大
[00:01:25.000 --> 00:01:32.000]  但這裏很厲害,看看旁邊的人告訴你,這間教會真的厲害
[00:01:32.000 --> 00:01:38.000]  為甚麼聽不到?告訴你旁邊的人,這間教會真的厲害
[00:01:38.000 --> 00:01:43.000]  不單是International Church,還是一個Community Church
[00:01:44.000 --> 00:01:50.000]  我們都是一些淪陷社,我走進來時發覺這間教會真是無福
[00:01:50.000 --> 00:01:55.000]  天父將這些祝福賜給我們
[00:01:55.000 --> 00:01:58.000]  我今天來講道是講你的心願
[00:01:58.000 --> 00:02:03.000]  我想問大家,你有沒有心願?有的話請舉手
[00:02:03.000 --> 00:02:08.000]  你有沒有試過有些心願是不能說的?
[00:02:08.000 --> 00:02:13.000]  有沒有試過?跟你最親的人,你可能也不能說
[00:02:14.000 --> 00:02:17.000]  我一會兒賣個關子告訴你,為甚麼我不能說?
[00:02:17.000 --> 00:02:23.000]  我講個小小背景,很多人都知道我的見證
[00:02:23.000 --> 00:02:27.000]  我很簡單,讀二年級,臨班,中一踢出校
[00:02:27.000 --> 00:02:35.000]  十五歲我加入黑社會,之後我很想改過自新
[00:02:35.000 --> 00:02:42.000]  希望當警察執法就不犯法,於是我找爸爸幫忙
[00:02:43.000 --> 00:02:46.000]  爸爸是反罪惡委員會的社區主席
[00:02:46.000 --> 00:02:53.000]  1973年我入了警察學堂,因著他幫我入到
[00:02:53.000 --> 00:02:58.000]  其實我正常是入不到的,但當年是可以的
[00:02:58.000 --> 00:03:03.000]  我入了學堂其實解決了我一個人生最大的問題
[00:03:03.000 --> 00:03:09.000]  我十五歲已經加入黑社會吸毒,吸了不久
[00:03:10.000 --> 00:03:14.000]  頭達尾,吸了十三年,不是很久
[00:03:14.000 --> 00:03:18.000]  但到我十八歲我很想改過自新,執法不犯法
[00:03:18.000 --> 00:03:23.000]  於是我去當警察,我在警察學堂中解除我的毒癮
[00:03:23.000 --> 00:03:28.000]  我五年在警察學堂駐守在油麻地南澳寺
[00:03:28.000 --> 00:03:31.000]  但五年我都是駐守在西九龍
[00:03:31.000 --> 00:03:36.000]  即是廟街油麻地是我第二任做警察駐守
[00:03:37.000 --> 00:03:42.000]  長大後我很不幸地,或者應該接受自己的後果
[00:03:42.000 --> 00:03:44.000]  犯罪帶來的後果
[00:03:44.000 --> 00:03:48.000]  1977年ICAC拘捕了我,平安夜
[00:03:48.000 --> 00:03:53.000]  自此我的生涯有很大的轉變
[00:03:53.000 --> 00:03:56.000]  我被拘捕後坐監,即是上法庭
[00:03:56.000 --> 00:03:59.000]  坐完之後又再坐,又再坐
[00:03:59.000 --> 00:04:02.000]  我不是坐了很多次監,只是坐了三次
[00:04:02.000 --> 00:04:06.000]  我不是去了很多次自願戒毒所,去了五次
[00:04:07.000 --> 00:04:10.000]  我很感謝神,人的盡頭是基督的開始
[00:04:10.000 --> 00:04:18.000]  1983年初,我在戒毒所信了主
[00:04:18.000 --> 00:04:23.000]  我信了主之後,我就開始進入科林戒毒
[00:04:23.000 --> 00:04:28.000]  後期我的牧師就差派我去Youth Reformation,YWAM
