
[00:00:00.000 --> 00:00:01.400]  (陳志全) 頂姐妹你好
[00:00:01.400 --> 00:00:07.000]  我們今天會一起看一段有關馬利亞的禱告經文
[00:00:07.000 --> 00:00:08.500]  大家都應該很熟悉
[00:00:08.500 --> 00:00:14.500]  今天我們會再一次思考有關禱告的課題
[00:00:14.500 --> 00:00:17.000]  禱告是一件很簡單的事
[00:00:17.000 --> 00:00:20.500]  大家可能在信主的時候
[00:00:20.500 --> 00:00:24.000]  很快就有人教你如何去祈禱
[00:00:24.000 --> 00:00:27.000]  第一天上教會就有人跟你說
[00:00:27.000 --> 00:00:30.000]  如何去祈禱 我們可能會說上款
[00:00:30.000 --> 00:00:35.000]  親愛的天父 讚美他 感謝他
[00:00:35.000 --> 00:00:39.000]  然後去認罪 說出你的代求
[00:00:39.000 --> 00:00:42.000]  為人的祈求 奉主名求阿門
[00:00:42.000 --> 00:00:44.000]  我自己十多年前在錦書院教會裡
[00:00:44.000 --> 00:00:49.000]  信主也是這樣 有個導師教我
[00:00:49.000 --> 00:00:52.000]  我想大家都很熟悉如何去祈禱
[00:00:52.000 --> 00:00:58.000]  不過同時間禱告可能是大家太熟悉的一件事
[00:00:58.000 --> 00:01:01.000]  往往一些很熟悉的事
[00:01:01.000 --> 00:01:05.000]  讓我們很容易忽略甚至誤解
[00:01:05.000 --> 00:01:10.000]  所以今天我們就來看一看馬利亞的禱告
[00:01:10.000 --> 00:01:12.000]  我們一起來祈禱吧
[00:01:12.000 --> 00:01:15.000]  主宰我們去求你幫助我們
[00:01:15.000 --> 00:01:19.000]  在崇拜裡我們一起來學習你的說話
[00:01:19.000 --> 00:01:22.000]  求主你直處不配的僕人
[00:01:22.000 --> 00:01:27.000]  求你親自來對我們每一位在家裡的弟妹來說話
[00:01:27.000 --> 00:01:30.000]  願意再一次教導我們如何去祈禱
[00:01:30.000 --> 00:01:35.000]  如何去為自己 為這個世界去祈禱
[00:01:35.000 --> 00:01:39.000]  求主你來幫助我們 奉主名求阿門
[00:01:39.000 --> 00:01:42.000]  今天看一段經文是專注重
[00:01:42.000 --> 00:01:46.000]  我想這段大家可能往往在聖誕節裡
[00:01:46.000 --> 00:01:49.000]  都會再讀一次經文
[00:01:49.000 --> 00:01:53.000]  這段有關耶穌出生之前馬利亞的禱告
[00:01:53.000 --> 00:01:57.000]  不過這段經文不單單是聖誕節的經文
[00:01:57.000 --> 00:01:59.000]  我們一起讀吧
[00:01:59.000 --> 00:02:02.000]  從46節開始讀起
[00:02:02.000 --> 00:02:04.000]  馬利亞說:我心專主為大
[00:02:04.000 --> 00:02:06.000]  我寧以上帝我的救主為樂
[00:02:06.000 --> 00:02:09.000]  因為他顧念他使律的卑微
[00:02:09.000 --> 00:02:12.000]  從今以後萬代要稱我為有福
[00:02:12.000 --> 00:02:15.000]  那有權柄的為我成就了大事
[00:02:15.000 --> 00:02:19.000]  他憐憫敬愛他的人直到世世代代
[00:02:19.000 --> 00:02:21.000]  他用傍臂施展大能
[00:02:21.000 --> 00:02:25.000]  那狂我的人正心裡妄想就被他驅散了
[00:02:25.000 --> 00:02:27.000]  他叫有權柄的失位
[00:02:27.000 --> 00:02:29.000]  叫卑賤的升高
[00:02:29.000 --> 00:02:31.000]  叫飢餓的得飽美食
[00:02:31.000 --> 00:02:33.000]  叫枯燥的空手回去
