
[00:00:00.000 --> 00:00:02.000]  第一節,早安
[00:00:02.000 --> 00:00:08.000]  剛才很感謝敬拜隊和我們去敬拜唱詩歌
[00:00:08.000 --> 00:00:11.000]  當他唱的時候,詩歌裡面他說
[00:00:11.000 --> 00:00:16.000]  「阿神啊,我們在面前,我要忠心,我要看世事如糞土」
[00:00:16.000 --> 00:00:20.000]  當他唱到這句的時候,說了一句,我心裡面突然間一沉
[00:00:20.000 --> 00:00:23.000]  我會覺得實在很慚愧
[00:00:23.000 --> 00:00:29.000]  未能夠可以像詩歌裡面那麼好的達到這個目標
[00:00:29.000 --> 00:00:34.000]  我更加會看到原來上帝選擇了我們這些軟弱的人
[00:00:34.000 --> 00:00:37.000]  上帝不是看我們有多好
[00:00:37.000 --> 00:00:41.000]  而是上帝祂只是想你盡你的能力
[00:00:41.000 --> 00:00:44.000]  好好地成長和去侍奉
[00:00:44.000 --> 00:00:47.000]  所以求上帝讓我們一起努力
[00:00:47.000 --> 00:00:49.000]  在神的面前我們一起學習
[00:00:49.000 --> 00:00:52.000]  今天和大家一起分享這個的時候
[00:00:52.000 --> 00:00:56.000]  其實我相信如果上了教會一段日子的弟兄姊妹
[00:00:56.000 --> 00:00:58.000]  你都不會覺得陌生
[00:00:58.000 --> 00:01:01.000]  因為巴別塔是其中一個很重要的
[00:01:01.000 --> 00:01:05.000]  在創世記當中一個很重要的象徵
[00:01:05.000 --> 00:01:08.000]  也是一個很重要的地方的一個分水嶺
[00:01:08.000 --> 00:01:10.000]  因為為什麼呢?你會發覺
[00:01:10.000 --> 00:01:12.000]  由第一章到第十一章的時候
[00:01:12.000 --> 00:01:15.000]  基本上它是很大範圍地
[00:01:15.000 --> 00:01:20.000]  將上帝所創造的人大概的發展
[00:01:20.000 --> 00:01:23.000]  是怎樣的時候去呈現給大家看
[00:01:23.000 --> 00:01:27.000]  你也可以說巴別塔是第十一章作為一個總結
[00:01:27.000 --> 00:01:32.000]  然後到第十二章就開始去說阿伯拉罕被蒙召
[00:01:32.000 --> 00:01:35.000]  一個群族裡面上帝蒙召的故事
[00:01:35.000 --> 00:01:39.000]  或者說舊因開始的一個出現
[00:01:39.000 --> 00:01:41.000]  所以你就會發覺其實看這段經文的時候
[00:01:41.000 --> 00:01:44.000]  有趣的地方為什麼要和大家說巴別塔呢?
[00:01:44.000 --> 00:01:48.000]  如果剛才我說如果這個呈現
[00:01:48.000 --> 00:01:51.000]  是讓我們看到作為一個總結的話
[00:01:51.000 --> 00:01:54.000]  你就會看到一個情況
[00:01:54.000 --> 00:02:01.000]  原來人在一個總結的位置的時候
[00:02:01.000 --> 00:02:06.000]  我們看到的是軟弱
[00:02:06.000 --> 00:02:07.000]  你恕我這樣說
[00:02:07.000 --> 00:02:11.000]  今天我是作為傳道人
[00:02:11.000 --> 00:02:12.000]  我去鼓勵弟兄姊妹
[00:02:12.000 --> 00:02:14.000]  當然我們要愛弟兄姊妹
[00:02:14.000 --> 00:02:19.000]  我們要繼續去欣賞我們身邊的弟兄姊妹
[00:02:19.000 --> 00:02:21.000]  他們的努力和付出
[00:02:21.000 --> 00:02:23.000]  但我想強調
[00:02:23.000 --> 00:02:33.000]  我們今天絕對絕對不可以對人有任何任何的期望
[00:02:33.000 --> 00:02:34.000]  為什麼呢?
[00:02:34.000 --> 00:02:37.000]  因為你會發覺如果我們將重點放在人裡面
[00:02:37.000 --> 00:02:40.000]  因為人有罪性
[00:02:40.000 --> 00:02:42.000]  所以到最後的時候
[00:02:42.000 --> 00:02:44.000]  我們所換來或者我們所得到的時候
[00:02:44.000 --> 00:02:48.000]  你會看到結果其實可以很可怕
[00:02:48.000 --> 00:02:50.000]  所以弟兄姊妹
