
[00:00:00.000 --> 00:00:02.000]  請姐妹早晨平安
[00:00:02.000 --> 00:00:05.000]  能夠在今天是第一次
[00:00:05.000 --> 00:00:08.000]  早堂我們經過了疫情
[00:00:08.000 --> 00:00:10.000]  都差不多有三個多月了
[00:00:10.000 --> 00:00:12.000]  由過年一直到現在
[00:00:12.000 --> 00:00:14.000]  大家都仍然健在
[00:00:14.000 --> 00:00:16.000]  我們在神的恩典裏面
[00:00:16.000 --> 00:00:19.000]  我們恢復這個實體的崇拜
[00:00:19.000 --> 00:00:22.000]  盼望我們能夠一直都在神的恩典裏面
[00:00:22.000 --> 00:00:24.000]  繼續去成長
[00:00:24.000 --> 00:00:26.000]  先和大家先有個祈禱
[00:00:26.000 --> 00:00:28.000]  再一次多謝主
[00:00:28.000 --> 00:00:31.000]  我們剛才來到去有聖餐
[00:00:31.000 --> 00:00:34.000]  真的讓我們能夠看到
[00:00:34.000 --> 00:00:37.000]  主耶穌的愛是多麼真實
[00:00:37.000 --> 00:00:39.000]  多謝你用你的補血
[00:00:39.000 --> 00:00:41.000]  洗乾淨我們的罪
[00:00:41.000 --> 00:00:44.000]  使我們成為一個新的族群
[00:00:44.000 --> 00:00:46.000]  天國的兒女
[00:00:46.000 --> 00:00:50.000]  而且是等候神國度的顯明
[00:00:50.000 --> 00:00:53.000]  我們將來就可以在永恆裏面
[00:00:53.000 --> 00:00:55.000]  一同的來和主耶穌
[00:00:55.000 --> 00:00:57.000]  來去坐寂
[00:00:57.000 --> 00:00:59.000]  獻上我們的感謝
[00:00:59.000 --> 00:01:01.000]  今早我們要探討
[00:01:01.000 --> 00:01:03.000]  相當嚴肅的課題
[00:01:03.000 --> 00:01:07.000]  就是我們要為信仰有所堅持
[00:01:07.000 --> 00:01:09.000]  要為信仰
[00:01:09.000 --> 00:01:10.000]  為我們的主
[00:01:10.000 --> 00:01:11.000]  我們的神
[00:01:11.000 --> 00:01:14.000]  在地上為你作見證
[00:01:14.000 --> 00:01:17.000]  求你帶領我們大家的心靈
[00:01:17.000 --> 00:01:19.000]  使我們能夠真是有一個
[00:01:19.000 --> 00:01:20.000]  好像彼得所說的
[00:01:20.000 --> 00:01:22.000]  受苦的心智
[00:01:22.000 --> 00:01:24.000]  作為兵器
