
[00:00:00.000 --> 00:00:06.720]  港仔姐妹好,有次恢復敬拜的時候能夠去到更樓跟大家一起敬拜,很感恩
[00:00:06.720 --> 00:00:09.360]  代表見到的同工一起問候大家
[00:00:09.360 --> 00:00:14.320]  今天選了一個題目就是求神興起更多好男人
[00:00:14.320 --> 00:00:18.680]  時代很多題目,想說一下家庭
[00:00:18.680 --> 00:00:24.000]  剛剛五月就會有母親節,六月有父親節
[00:00:24.000 --> 00:00:30.160]  回到一個男士的角度,以前有些教會很重視男士侍工
[00:00:30.160 --> 00:00:34.160]  因為教會真的需要很多好男人,越多越好
[00:00:34.160 --> 00:00:38.400]  所以教會需要,社會也需要
[00:00:38.400 --> 00:00:44.720]  但反過題目看,假如出現一個惡男人
[00:00:44.720 --> 00:00:46.600]  其實有時也挺恐怖的
[00:00:46.600 --> 00:00:55.320]  前陣子在加州,有個台灣背景的男人衝到教會射死很多人
[00:00:55.320 --> 00:00:59.720]  有一個暴躁的男人,不受控制
[00:00:59.720 --> 00:01:04.600]  有時在歷史裏面,在家庭,在社會,也有很多衝擊
[00:01:04.600 --> 00:01:08.240]  如果你是比較同情烏克蘭的話
[00:01:08.240 --> 00:01:13.040]  如果出現了普京,也會搞到世界大亂
[00:01:13.040 --> 00:01:20.280]  有時一個不受控制的男人,有時社會也會很混亂
[00:01:20.280 --> 00:01:22.800]  剛剛這星期,美國有一個很大的新聞
[00:01:22.800 --> 00:01:28.280]  有個年輕的男子,在美國十八歲買槍
[00:01:28.280 --> 00:01:34.040]  買槍之後,家裏有很多故事,看回一些新聞
[00:01:34.040 --> 00:01:43.200]  最特別的是,他一邊發脾氣,一邊跟網上的朋友發訊息
[00:01:43.200 --> 00:01:48.800]  第一句話,我阿媽很煩,用我的電話
[00:01:48.800 --> 00:01:51.040]  第二句話,很煩
[00:01:51.040 --> 00:01:54.320]  第三句話,我剛剛在阿媽的頭上開了槍
[00:01:54.320 --> 00:02:00.880]  然後去學校殺了很多小孩,打了老師
[00:02:00.880 --> 00:02:05.920]  他家裏看一些報告,都是一些很破碎的
[00:02:05.920 --> 00:02:08.520]  他爸爸似乎也是,他家裏也一般般
[00:02:08.520 --> 00:02:14.920]  記者找到他,他說應該射我,不要射那些人
[00:02:14.920 --> 00:02:18.080]  因為他一向都跟我不太好朋友,或者在吵架
[00:02:18.080 --> 00:02:23.080]  總之就是一個小小的例證
[00:02:23.080 --> 00:02:27.720]  世界裏面的憤怒、變化、艱難是很多的
[00:02:27.720 --> 00:02:31.080]  這個世界充滿了很多的艱難
[00:02:31.080 --> 00:02:34.680]  整個世界觀有很大的演變
[00:02:34.680 --> 00:02:37.720]  我最近在某教會講過一個例子
[00:02:37.720 --> 00:02:43.080]  我試過問過兩三個家庭,他們都說可能有這樣的現象
[00:02:43.080 --> 00:02:47.400]  我講一個例子,現在大概兩三歲的小孩
[00:02:47.400 --> 00:02:51.640]  當他要戴口罩的時候,可能是很開心的
[00:02:51.640 --> 00:02:56.560]  因為兩三歲的小孩在這個世界裏面,戴口罩就是代表出街
[00:02:56.560 --> 00:02:58.800]  我試過問過幾個家庭都是這樣
[00:02:58.800 --> 00:03:02.400]  他拿口罩就知道爸爸媽媽都帶他出街
[00:03:02.400 --> 00:03:06.440]  所以拿口罩我們是很想脫的
[00:03:06.440 --> 00:03:09.360]  可能他們的部分,不敢說每一個
[00:03:09.360 --> 00:03:12.840]  部分就相反,拿口罩就代表出街
[00:03:12.840 --> 00:03:15.720]  他的世界觀就進了腦
[00:03:15.720 --> 00:03:18.480]  我不知道將來會怎樣,他的世界觀進了腦
[00:03:18.480 --> 00:03:20.480]  他的時代就是這樣
[00:03:20.480 --> 00:03:23.960]  其實我們很多的世界觀是在動的
[00:03:23.960 --> 00:03:29.920]  可以在家中Zoom是代表什麼呢?很抽象
[00:03:29.920 --> 00:03:34.520]  我記得一年多前,我遇到一個四十幾五十歲的弟子妹
[00:03:34.520 --> 00:03:38.640]  他對敬拜是有要求的,是認真的
[00:03:38.640 --> 00:03:42.920]  但是他對自己的教會的敬拜,Zoom的時候就全都倒了
[00:03:42.920 --> 00:03:46.200]  很隨便,做一個YouTube行貨
[00:03:46.200 --> 00:03:52.080]  所以他最後決定敬拜就去某個教會的Zoom
[00:03:52.080 --> 00:03:55.960]  聽到後就轉台去某個教會的講道
[00:03:55.960 --> 00:03:59.440]  現在有些小組,又是某個教會的小組
[00:03:59.440 --> 00:04:01.440]  一個人可以分三份嗎?
[00:04:01.440 --> 00:04:04.320]  這個時代以前是沒有什麼可能的
[00:04:04.320 --> 00:04:07.160]  聽主學,去某個團體的聽主學
[00:04:07.160 --> 00:04:13.360]  以前我們很難想像的,現在很強
[00:04:13.360 --> 00:04:17.160]  最近有一個課程是教教目博士
[00:04:17.160 --> 00:04:20.600]  有一個牧師是在韓國的
[00:04:20.600 --> 00:04:25.400]  他是一個哈爾濱背景,在韓國很久的牧師
[00:04:25.400 --> 00:04:28.000]  他講到韓國的現象,我聽他講而已
[00:04:28.000 --> 00:04:30.600]  我沒有調查,因為我韓文不是很強
[00:04:30.600 --> 00:04:33.760]  他說韓國有五萬多間教會
[00:04:33.760 --> 00:04:36.280]  在疫情裡面可能倒閉了一萬間
[00:04:36.280 --> 00:04:39.040]  倒閉的意思可能是收縮
[00:04:39.040 --> 00:04:42.760]  或者我們少了教會,奉獻等等的情況
[00:04:42.760 --> 00:04:46.560]  那個動盪,似乎世界的經濟
[00:04:46.560 --> 00:04:49.680]  冷戰的動盪,還是有很長時間的
[00:04:49.680 --> 00:04:52.680]  當然今天我們不是去到社會大題目
[00:04:52.680 --> 00:04:55.080]  而是去到一個人物的故事
[00:04:55.080 --> 00:04:58.840]  其中一個人物就是叫做伊利米勒
[00:04:58.840 --> 00:05:01.400]  這個伊利米勒的人物的故事
[00:05:01.400 --> 00:05:03.400]  其實已經講得不是很詳細
[00:05:03.400 --> 00:05:05.720]  如果看希伯來文的讀音
[00:05:05.720 --> 00:05:08.520]  就叫做Elelec
[00:05:08.520 --> 00:05:13.960]  Elec這個字在聖經裡面翻譯成神
[00:05:13.960 --> 00:05:16.640]  Melec這個字就是王的意思
[00:05:16.640 --> 00:05:20.920]  這個字拼起來就可以說My God is King
[00:05:20.920 --> 00:05:24.600]  就是我的神是王,你明白嗎
[00:05:24.600 --> 00:05:28.240]  如果一個人的父母的名字是我的神是王
[00:05:28.240 --> 00:05:31.240]  那他的父母算不算是敬虔呢
[00:05:31.240 --> 00:05:32.840]  應該都是頗為信仰
[00:05:32.840 --> 00:05:36.040]  還有可能這個有些猶太人傳統
[00:05:36.040 --> 00:05:42.920]  就認為他是在伯來行出生於比較有錢的
[00:05:42.920 --> 00:05:46.360]  當然這個傳統在聖經裡面是沒有講的
[00:05:46.360 --> 00:05:47.640]  所以是真假很難講
[00:05:47.640 --> 00:05:49.640]  只是一個猶太人的傳統
[00:05:49.640 --> 00:05:51.640]  就說在饑荒的時候
[00:05:51.640 --> 00:05:54.840]  他就怕窮的親友向他搶錢
[00:05:54.840 --> 00:05:57.440]  不如拿著很多錢走
[00:05:57.440 --> 00:05:59.800]  這個就不太準確
[00:05:59.800 --> 00:06:01.360]  這個只是一個傳統的說法
[00:06:01.360 --> 00:06:05.040]  但無論如何他家裡都有很多奸男
[00:06:05.040 --> 00:06:09.600]  先講到他的兒子叫做馬倫和基連
[00:06:09.600 --> 00:06:14.400]  如果看猶太人的字根有意思
[00:06:14.400 --> 00:06:17.960]  就好像我認識的那些去大陸的時候
[00:06:17.960 --> 00:06:19.920]  有些什麼愛華
[00:06:19.920 --> 00:06:20.920]  很多華字的
[00:06:20.920 --> 00:06:22.920]  有些一代下有很多華字
[00:06:22.920 --> 00:06:25.360]  有些是基層的人
[00:06:25.360 --> 00:06:28.680]  古代的阿一阿二阿三阿四
[00:06:28.680 --> 00:06:30.360]  排一二三四
[00:06:30.360 --> 00:06:32.360]  每個代的名字都有意思
[00:06:32.360 --> 00:06:35.560]  馬倫這個字的翻譯
[00:06:35.560 --> 00:06:39.160]  其中一個可能性就是病或者藥
[00:06:39.160 --> 00:06:42.280]  基連的翻譯叫殘
[00:06:42.280 --> 00:06:46.440]  我真的很難想像你幫兒子改名叫藥這個殘
[00:06:46.440 --> 00:06:48.800]  其實不是好名字
[00:06:48.800 --> 00:06:51.200]  但有一個可能性就是
[00:06:51.200 --> 00:06:53.000]  可能很真實
[00:06:53.000 --> 00:06:55.000]  他生出來相對弱
[00:06:55.000 --> 00:06:58.200]  舉例我以前在美國讀博士的時候
[00:06:58.200 --> 00:06:59.200]  在一個教育委員會
[00:06:59.200 --> 00:07:01.400]  有台灣的弟兄家庭
[00:07:01.400 --> 00:07:03.400]  他是做餐飲業的
[00:07:03.400 --> 00:07:07.800]  他的大女兒是唐氏中學症
[00:07:07.800 --> 00:07:10.000]  小兒子很健康
[00:07:10.000 --> 00:07:11.600]  在台灣讀書也好
[00:07:11.600 --> 00:07:14.200]  如果是很直的生個女兒
[00:07:14.200 --> 00:07:16.600]  身體多病
[00:07:16.600 --> 00:07:18.200]  他改名叫病
