
[00:00:00.000 --> 00:00:05.000]  今天的經文是記載在有兩個出處
[00:00:05.000 --> 00:00:11.000]  第一個出處是在《創世紀》第一章26至31節
[00:00:11.000 --> 00:00:17.000]  第二個出處是在《詩篇》八章四至八節
[00:00:17.000 --> 00:00:19.000]  第一章26節
[00:00:19.000 --> 00:00:23.000]  「神說我們要照著我們的形象
[00:00:23.000 --> 00:00:26.000]  按著我們的樣式做人
[00:00:26.000 --> 00:00:29.000]  使他們管理海裡的魚
[00:00:29.000 --> 00:00:30.000]  天空的鳥
[00:00:30.000 --> 00:00:33.000]  地上的生畜和全地
[00:00:33.000 --> 00:00:37.000]  以及地上爬的一切爬行動物
[00:00:37.000 --> 00:00:42.000]  神就照著他的形象創造人
[00:00:42.000 --> 00:00:45.000]  照著神的形象創造他們
[00:00:45.000 --> 00:00:49.000]  他創造了他們有男有女
[00:00:49.000 --> 00:00:52.000]  神賜福給他們
[00:00:52.000 --> 00:00:54.000]  神對他們說
[00:00:54.000 --> 00:00:56.000]  要生養眾多
[00:00:56.000 --> 00:00:58.000]  遍滿這地
[00:00:58.000 --> 00:00:59.000]  自理他
[00:00:59.000 --> 00:01:02.000]  要管理海裡的魚
[00:01:02.000 --> 00:01:03.000]  天空的鳥
[00:01:03.000 --> 00:01:07.000]  和地上各樣活動的生物
[00:01:07.000 --> 00:01:09.000]  神說
[00:01:09.000 --> 00:01:10.000]  看那
[00:01:10.000 --> 00:01:16.000]  我把全地一切含種子的五穀菜蔬和一切會結果子
[00:01:16.000 --> 00:01:20.000]  果子裡有種子的樹都賜給你們
[00:01:20.000 --> 00:01:24.000]  這些都可作食物
[00:01:24.000 --> 00:01:27.000]  至於地上一切的走獸
[00:01:27.000 --> 00:01:29.000]  天空一切的飛鳥
[00:01:29.000 --> 00:01:35.000]  並一切在地上爬行的有生命的動物
[00:01:35.000 --> 00:01:39.000]  我把綠色植物賜給他們作食物
[00:01:39.000 --> 00:01:43.000]  事就這樣成了
[00:01:43.000 --> 00:01:46.000]  神看一切所做的
[00:01:46.000 --> 00:01:49.000]  看那都非常好
[00:01:49.000 --> 00:01:52.000]  有晚上有早晨
[00:01:52.000 --> 00:01:55.000]  這是第六日
[00:01:55.000 --> 00:01:57.000]  第二個出處是
[00:01:57.000 --> 00:02:02.000]  記載於詩篇八章第四節
[00:02:02.000 --> 00:02:05.000]  人算甚麼你竟顧念他
[00:02:05.000 --> 00:02:09.000]  世人算甚麼你竟眷顧他
[00:02:09.000 --> 00:02:12.000]  你視他比神尼少一點
[00:02:12.000 --> 00:02:16.000]  視他榮耀尊貴為冠冕
[00:02:16.000 --> 00:02:20.000]  你派他管理你所所做的
[00:02:20.000 --> 00:02:23.000]  使萬物就是一切的牛羊
[00:02:23.000 --> 00:02:25.000]  田野的牲畜
[00:02:25.000 --> 00:02:26.000]  空中的鳥
[00:02:26.000 --> 00:02:28.000]  海裡的魚
[00:02:28.000 --> 00:02:30.000]  凡有在水裡的
[00:02:30.000 --> 00:02:33.000]  都伏在他的腳下
[00:02:33.000 --> 00:02:34.000]  感謝神
[00:02:34.000 --> 00:02:37.000]  我們今天早上有陳一華牧師在我們當中正讀
[00:02:37.000 --> 00:02:39.000]  今天的講題是
[00:02:39.000 --> 00:02:40.000]  喜樂的秘訣
[00:02:40.000 --> 00:02:42.000]  懂得愛己
[00:02:42.000 --> 00:02:44.000]  現在恭請陳牧師正讀
[00:02:44.000 --> 00:02:46.000]  感謝每一位早神
[00:02:46.000 --> 00:02:49.000]  今早看到這個題目的時候
[00:02:49.000 --> 00:02:51.000]  可能你會覺得
[00:02:51.000 --> 00:02:53.000]  陳一華師傅寫錯了甚麼呢?
[00:02:53.000 --> 00:02:56.000]  為甚麼會是愛己?
[00:02:56.000 --> 00:03:00.000]  因為在我們成長過程當中
[00:03:00.000 --> 00:03:04.000]  我們通常聽到的訊息都是甚麼呢?
[00:03:04.000 --> 00:03:07.000]  寫己比較多一點
[00:03:07.000 --> 00:03:09.000]  我們為主寫己
[00:03:09.000 --> 00:03:11.000]  為福音寫己
[00:03:11.000 --> 00:03:13.000]  或者為別人寫己
[00:03:13.000 --> 00:03:16.000]  我們很多時候所領受的就是寫己
[00:03:16.000 --> 00:03:18.000]  但今天好像是甚麼呢?
[00:03:18.000 --> 00:03:19.000]  是愛己
[00:03:19.000 --> 00:03:21.000]  是不是有很大的矛盾呢?
