
[00:00:00.000 --> 00:00:07.000]  多謝天父讓今天晚上我們可以一起去研讀啟示錄
[00:00:07.000 --> 00:00:11.000]  盼望裡面的經文成為我們很大的提醒
[00:00:11.000 --> 00:00:15.000]  裡面的一些預言讓我們的心都能夠看到
[00:00:15.000 --> 00:00:21.000]  將來末後的日子地上發生的事情
[00:00:21.000 --> 00:00:26.000]  神用意象讓使徒約翰可以看到
[00:00:26.000 --> 00:00:29.000]  也寫在聖經裡面
[00:00:29.000 --> 00:00:33.000]  讓我們後世的人來去研讀
[00:00:33.000 --> 00:00:36.000]  帶著一份不是好奇的心
[00:00:36.000 --> 00:00:39.000]  是一份敬畏的心靈來等待
[00:00:39.000 --> 00:00:42.000]  還有我們在有限的人生
[00:00:42.000 --> 00:00:45.000]  努力地去傳揚上主的福音
[00:00:45.000 --> 00:00:46.000]  求主帶領我們
[00:00:46.000 --> 00:00:49.000]  今天晚上我們等候在你的面前
[00:00:49.000 --> 00:00:52.000]  我們這樣禱告奉耶穌基督的名
[00:00:52.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:59.000]  弟兄姊妹我們開始啟示錄的研讀
[00:00:59.000 --> 00:01:06.000]  我們剛剛講完四和五章
[00:01:06.000 --> 00:01:09.000]  和大家先溫習一點
[00:01:09.000 --> 00:01:11.000]  第四章告訴我們
[00:01:11.000 --> 00:01:13.000]  天上的寶座
[00:01:13.000 --> 00:01:18.000]  這一位耿古長存的造物的主
[00:01:18.000 --> 00:01:21.000]  其中第四章要帶進
[00:01:21.000 --> 00:01:22.000]  就是敬拜
[00:01:22.000 --> 00:01:24.000]  接著出現了第五章
[00:01:24.000 --> 00:01:28.000]  就是羔羊的出現
[00:01:28.000 --> 00:01:34.000]  因為兩章中間一個很重要的
[00:01:34.000 --> 00:01:35.000]  就是書卷
[00:01:35.000 --> 00:01:37.000]  沒有一個活物
[00:01:37.000 --> 00:01:39.000]  天上的使者
[00:01:39.000 --> 00:01:41.000]  是配揭開書卷
[00:01:41.000 --> 00:01:46.000]  這個書卷也是往後的審判
[00:01:46.000 --> 00:01:50.000]  就是七印七號七碗的審判
[00:01:50.000 --> 00:01:53.000]  其實一直延展到十八章
[00:01:53.000 --> 00:01:56.000]  之後再是一些末後的事
[00:01:56.000 --> 00:01:58.000]  接著就是新天新地
