
[00:00:00.000 --> 00:00:08.000]  羅馬書14章14至19節
[00:00:08.000 --> 00:00:18.000]  我憑著主耶穌確知心信
[00:00:18.000 --> 00:00:22.000]  凡物本來沒有不潔淨的
[00:00:22.000 --> 00:00:26.000]  除非人以為不潔淨的
[00:00:26.000 --> 00:00:29.000]  在他就不潔淨了
[00:00:29.000 --> 00:00:33.000]  你若因食物使弟兄憂愁
[00:00:33.000 --> 00:00:37.000]  就不是按著愛心行事
[00:00:37.000 --> 00:00:40.000]  基督已經為他死
[00:00:40.000 --> 00:00:44.000]  你不可因你的食物使他敗壞
[00:00:44.000 --> 00:00:50.000]  所以不可讓你們的善被人毀旁
[00:00:50.000 --> 00:00:54.000]  因為神的國不在乎飲食
[00:00:54.000 --> 00:01:00.000]  而在乎公義和平及正能中的喜樂
[00:01:00.000 --> 00:01:03.000]  凡這樣服侍基督的
[00:01:03.000 --> 00:01:08.000]  就為神所喜悅又為人所讚許
[00:01:08.000 --> 00:01:16.000]  所以我們無要追求和平與彼此造就的事
[00:01:16.000 --> 00:01:18.000]  今日我們很開心有本堂
[00:01:18.000 --> 00:01:23.000]  堂主任曾銳貴牧師在我們中間靜悟
[00:01:23.000 --> 00:01:28.000]  他的講題是「在愛中服侍基督」
[00:01:28.000 --> 00:01:32.000]  現在恭敬的將時間交給曾牧師
[00:01:32.000 --> 00:01:47.000]  曾牧師:我們一起祈禱
[00:01:47.000 --> 00:01:51.000]  我們的主耶穌,我們感謝、讚美祢
[00:01:51.000 --> 00:01:55.000]  今早我們一班弟兄姊妹來到神的家
[00:01:55.000 --> 00:01:59.000]  神的聖殿去朝見、敬拜
[00:01:59.000 --> 00:02:03.000]  我們用詩歌、用頌禱來到祢的面前
[00:02:03.000 --> 00:02:06.000]  在這一刻我們來聆聽祢的真道
[00:02:06.000 --> 00:02:08.000]  但願我們能夠明白
[00:02:08.000 --> 00:02:10.000]  我們願意有一個遵行的心
[00:02:10.000 --> 00:02:12.000]  求主加我們力量
[00:02:12.000 --> 00:02:16.000]  讓我們知道我們要求的生命
[00:02:16.000 --> 00:02:19.000]  是應該怎樣來為主、為人而活
[00:02:19.000 --> 00:02:24.000]  我們這樣禱告奉耶穌基督的名,阿們
[00:02:24.000 --> 00:02:26.000]  今日選取這十四章
[00:02:26.000 --> 00:02:28.000]  尤其是第十七節、十八節
[00:02:28.000 --> 00:02:31.000]  是相當要緊的一節經文
[00:02:31.000 --> 00:02:33.000]  神的國追求的
[00:02:33.000 --> 00:02:37.000]  在乎是公義、和平
[00:02:37.000 --> 00:02:39.000]  和聖靈裏面的喜樂
[00:02:39.000 --> 00:02:42.000]  在這幾樣上去服侍基督
[00:02:42.000 --> 00:02:46.000]  就是神所喜悅、人所稱許
[00:02:46.000 --> 00:02:49.000]  想用一個例子
[00:02:49.000 --> 00:02:54.000]  大引出這段經文的重要
[00:02:54.000 --> 00:02:57.000]  在去年一百年
[00:02:57.000 --> 00:03:01.000]  英國有一個實驗
[00:03:01.000 --> 00:03:09.000]  試試教育用另一個方式會否有效
[00:03:09.000 --> 00:03:13.000]  找了五個十八歲的男孩
[00:03:13.000 --> 00:03:17.000]  全部來自英國的低下階層
[00:03:17.000 --> 00:03:22.000]  而且供應、讀書真的無可救藥
[00:03:22.000 --> 00:03:26.000]  十八歲,全部考得不好
[00:03:26.000 --> 00:03:29.000]  在學校裏面極之頑劣
[00:03:29.000 --> 00:03:32.000]  已經供應是無可救藥的學生
[00:03:32.000 --> 00:03:35.000]  因為來自基層家庭,很多問題
[00:03:35.000 --> 00:03:38.000]  教育局就找了這五個人出來
[00:03:38.000 --> 00:03:41.000]  他們的家人又願意接受這個考驗
[00:03:41.000 --> 00:03:47.000]  去到印度一間貴族學校
[00:03:47.000 --> 00:03:54.000]  而且是標榜非常嚴格來訓練學生
[00:03:54.000 --> 00:03:57.000]  甚至這間道因中學
[00:03:57.000 --> 00:04:05.000]  是印度領袖、政治、商界人物的未來搖籃
[00:04:05.000 --> 00:04:10.000]  即是已經是供應這間學校出類拔萃
[00:04:10.000 --> 00:04:13.000]  有這樣的實驗,都頗有趣
[00:04:13.000 --> 00:04:16.000]  這五個人就無所謂
[00:04:16.000 --> 00:04:20.000]  免費去一個貴族學校讀書
[00:04:20.000 --> 00:04:26.000]  三個月,一個受不了,立即離開
[00:04:26.000 --> 00:04:28.000]  因為太辛苦了
[00:04:28.000 --> 00:04:31.000]  每天規律地上課
[00:04:31.000 --> 00:04:34.000]  不准玩電話,什麼都不可以
[00:04:34.000 --> 00:04:39.000]  很辛苦,其中一個就退出,不肯了
[00:04:39.000 --> 00:04:45.000]  另外四個經過很多掙扎之後
[00:04:45.000 --> 00:04:50.000]  被校長Ratner,我不懂讀那個字
[00:04:50.000 --> 00:04:52.000]  我不知道怎樣拼
[00:04:52.000 --> 00:04:56.000]  Ratner
[00:04:56.000 --> 00:05:02.000]  這位校長,他們不是單純說是嚴厲的棒打
