
[00:00:00.000 --> 00:00:02.000]  我們一姐妹晚安
[00:00:02.000 --> 00:00:07.000]  是在晚上我們一起去安靜
[00:00:07.000 --> 00:00:09.000]  一起有詩歌一起祈禱
[00:00:09.000 --> 00:00:11.000]  能夠去見拜神
[00:00:11.000 --> 00:00:14.000]  都是上帝給我們很大的恩典
[00:00:14.000 --> 00:00:16.000]  正如剛才主席跟我們禱告
[00:00:16.000 --> 00:00:21.000]  我們都可能在這段時間當中有很多的經歷
[00:00:21.000 --> 00:00:24.000]  我們可能有很多的失去
[00:00:24.000 --> 00:00:29.000]  有很多好像不在我們手中可以控制的事情
[00:00:30.000 --> 00:00:32.000]  但我們相信在我們信仰當中
[00:00:32.000 --> 00:00:37.000]  其實是上帝給我們的恩典
[00:00:37.000 --> 00:00:39.000]  或者我們能夠繼續去相信
[00:00:39.000 --> 00:00:41.000]  去服侍我們的神
[00:00:41.000 --> 00:00:43.000]  其實這件事
[00:00:43.000 --> 00:00:46.000]  其實是我們可以很好的去把握
[00:00:46.000 --> 00:00:48.000]  即是說我們的信仰
[00:00:48.000 --> 00:00:55.000]  其實是雖然在很多的世界環境當中
[00:00:55.000 --> 00:00:59.000]  很多事情的起跌當中
[00:00:59.000 --> 00:01:01.000]  不在我們人的手中
[00:01:01.000 --> 00:01:05.000]  但如果我們從信仰的角度來想的時候
[00:01:05.000 --> 00:01:10.000]  其實上帝也很願意我們能夠好好把握住
[00:01:10.000 --> 00:01:14.000]  好像我們今天讀的一段經文當中
[00:01:14.000 --> 00:01:18.000]  我們上帝給了我們福分
[00:01:18.000 --> 00:01:21.000]  或者給我們生命的一份
[00:01:21.000 --> 00:01:24.000]  或者再講得具體一點
[00:01:24.000 --> 00:01:27.000]  或者從一個服侍的角度來講
[00:01:27.000 --> 00:01:30.000]  其實就是我們生命的一個照明
[00:01:30.000 --> 00:01:32.000]  我們一個上帝
[00:01:32.000 --> 00:01:36.000]  擺了我們在這個世界當中
[00:01:36.000 --> 00:01:38.000]  一個很特別的角色
[00:01:38.000 --> 00:01:41.000]  一個是屬於你或者我自己
[00:01:41.000 --> 00:01:44.000]  一個生命當中一個很獨特的
