
[00:00:01.000 --> 00:00:04.000]  請姐妹們平安
[00:00:04.000 --> 00:00:07.000]  請我們一起同心祈禱
[00:00:07.000 --> 00:00:09.700]  再一次感謝我們的主
[00:00:09.700 --> 00:00:15.000]  讓我們今早能夠來到禮拜堂敬拜祢
[00:00:15.000 --> 00:00:18.200]  其實真的有很多事情不是必然的
[00:00:18.200 --> 00:00:21.000]  既然我們能夠聚集
[00:00:21.000 --> 00:00:23.200]  我們的心就敞開
[00:00:23.200 --> 00:00:25.800]  來對三一的上主
[00:00:25.800 --> 00:00:29.300]  表達我們的重陽、我們的敬拜
[00:00:29.300 --> 00:00:34.800]  使我們的心靈常常火熱、活潑
[00:00:34.800 --> 00:00:38.500]  能夠彼此達到的眷念
[00:00:38.500 --> 00:00:43.000]  使我們能夠跟隨走這條人生的路
[00:00:43.000 --> 00:00:46.400]  在主還沒回來之前
[00:00:46.400 --> 00:00:50.300]  我們繼續守住基督徒的身份
[00:00:50.300 --> 00:00:56.000]  將榮耀寶貴的福音向人有力的講說
[00:00:56.000 --> 00:01:02.000]  因為我們自己也在享用救恩帶給我們的生命改變
[00:01:02.000 --> 00:01:05.700]  我們感謝奉耶穌基督的名
[00:01:05.700 --> 00:01:06.700]  阿們
[00:01:06.700 --> 00:01:09.700]  剛才主席讀的這段聖經
[00:01:09.700 --> 00:01:15.000]  你們已經看到有很特別的結構
[00:01:15.000 --> 00:01:19.200]  頭尾也引了詩篇的95篇
[00:01:19.200 --> 00:01:21.800]  從第7到19節
[00:01:21.800 --> 00:01:25.700]  真正的勸勉是12、13、14節
[00:01:25.700 --> 00:01:28.700]  接著有兩段都是那個括弧
[00:01:28.700 --> 00:01:31.200]  都是詩篇的95篇
[00:01:31.200 --> 00:01:36.200]  都是第7到21節的警告的說話
[00:01:36.200 --> 00:01:40.700]  詩篇的95篇很工整地分了兩段
[00:01:40.700 --> 00:01:43.700]  頭那段作者完全沒有引述
[00:01:43.700 --> 00:01:48.200]  那段聖經就是經常領唱的
[00:01:48.200 --> 00:01:52.000]  或者是詩班經常都會用的經文
[00:01:52.000 --> 00:01:57.900]  就是呼籲以色列人現在要去朝見三一上主
[00:01:57.900 --> 00:01:59.200]  敬拜祂
[00:01:59.200 --> 00:02:05.200]  因為祂是長存永活有能力的真神
[00:02:05.200 --> 00:02:08.200]  接著突然間詩篇的作者
[00:02:08.200 --> 00:02:10.400]  從第7節的下半節
[00:02:10.400 --> 00:02:13.700]  突然間就轉變了口風
[00:02:13.700 --> 00:02:19.200]  就是警告如果我們的信心
[00:02:19.200 --> 00:02:23.700]  不能夠堅持到底就會退後
[00:02:23.700 --> 00:02:28.500]  所以詩篇的作者這一番警告說話
[00:02:28.500 --> 00:02:31.900]  成為了希伯來書的作者
[00:02:31.900 --> 00:02:35.200]  在這裡尤其是第3、第4章
[00:02:35.200 --> 00:02:39.700]  有10次說到進入安息
[00:02:39.700 --> 00:02:44.900]  這樣去作警告的引述
