
[00:00:00.000 --> 00:00:03.400]  你們要用堅固的信心抵擋它
[00:00:03.400 --> 00:00:07.200]  因為知道你們在世上的眾弟兄
[00:00:07.200 --> 00:00:10.400]  也正在經歷這樣的苦難
[00:00:10.400 --> 00:00:15.300]  那似一切恩典的神曾在基督裡照料你們
[00:00:15.300 --> 00:00:18.100]  得享祂永遠的榮耀
[00:00:18.100 --> 00:00:20.900]  在你們戰受苦難之後
[00:00:20.900 --> 00:00:23.400]  必要親自成全你們
[00:00:23.400 --> 00:00:24.700]  堅固你們
[00:00:24.700 --> 00:00:26.600]  賜力量給你們
[00:00:26.600 --> 00:00:28.300]  建立你們
[00:00:28.300 --> 00:00:30.400]  願權能歸給他
[00:00:30.400 --> 00:00:32.400]  直到永永遠遠
[00:00:32.400 --> 00:00:33.200]  阿們
[00:00:33.200 --> 00:00:34.400]  請曾姑娘
[00:00:34.400 --> 00:00:45.000]  弟兄姊妹晚安
[00:00:45.000 --> 00:00:48.400]  今晚很需要大家一起看聖經
[00:00:48.400 --> 00:00:53.000]  所以如果剛才你們手裡還沒有拿著聖經
[00:00:53.000 --> 00:00:55.700]  想請你現在跟我一起翻開
[00:00:55.700 --> 00:00:59.500]  因為有些位置要切開,還有經文有小許不同
[00:00:59.500 --> 00:01:02.500]  我們開始的時候再一同有個禱告
[00:01:02.500 --> 00:01:08.300]  天父上帝
[00:01:08.300 --> 00:01:12.200]  求祢今晚開啟我們的眼睛
[00:01:12.200 --> 00:01:14.500]  讓我們看見祢
[00:01:14.500 --> 00:01:16.700]  求祢同樣開我們的耳朵
[00:01:16.700 --> 00:01:18.900]  讓我們聽見祢
[00:01:18.900 --> 00:01:22.400]  有願意聖靈在我們心裡去工作
[00:01:22.400 --> 00:01:26.500]  感動我們去回應上帝你自己
[00:01:26.500 --> 00:01:30.500]  我們這樣的禱告是奉耶穌基督的名字
[00:01:30.500 --> 00:01:31.500]  阿們
[00:01:31.500 --> 00:01:35.200]  我想今天的經文多一節
[00:01:35.200 --> 00:01:38.300]  大家打開彼得前書第五章
[00:01:38.300 --> 00:01:41.800]  其實我們應該由第六節開始
[00:01:41.800 --> 00:01:45.900]  多謝主席剛才幫我們讀了七到十一節
[00:01:45.900 --> 00:01:48.300]  但是當我再看的時候
[00:01:48.300 --> 00:01:54.900]  其實我們整段經文應該是由第六節開始的
[00:01:54.900 --> 00:01:57.000]  回到那裡之後
[00:01:57.000 --> 00:02:00.400]  請大家一同去讀第六節
[00:02:00.400 --> 00:02:03.000]  彼得前書五章六節
[00:02:03.000 --> 00:02:05.000]  預備起
[00:02:17.000 --> 00:02:21.500]  今天我們的講題是生命的海歌
[00:02:21.500 --> 00:02:23.300]  最近很特別
[00:02:23.300 --> 00:02:25.000]  很特別就是
[00:02:25.000 --> 00:02:30.500]  我的小學同學找人去找我
[00:02:30.500 --> 00:02:34.400]  找人找到我姐姐去找我
[00:02:34.400 --> 00:02:35.200]  為什麼呢
[00:02:35.200 --> 00:02:38.300]  就說已經很久沒有和我聯絡
[00:02:38.300 --> 00:02:39.700]  真的很久了
[00:02:39.700 --> 00:02:42.300]  自問我自己都一把年紀了
[00:02:42.300 --> 00:02:46.100]  所以說這幾十年
[00:02:46.100 --> 00:02:48.600]  已經很久沒有聯絡小學同學
[00:02:48.600 --> 00:02:51.100]  現在隨著科技的進步
[00:02:51.100 --> 00:02:54.000]  他們開始有不同的群組
[00:02:54.000 --> 00:02:56.600]  很想找回小學時期的人
[00:02:56.600 --> 00:02:59.100]  一把年紀都還是很想見面
[00:02:59.100 --> 00:03:01.200]  於是他們就找人來問我
[00:03:01.200 --> 00:03:03.900]  你要不要加入群組呢
[00:03:03.900 --> 00:03:06.500]  心裡有點興奮
[00:03:06.500 --> 00:03:09.300]  這麼久之前的人還記得我
[00:03:09.300 --> 00:03:10.800]  很開心
[00:03:10.800 --> 00:03:12.700]  然後我就在想
[00:03:12.700 --> 00:03:16.300]  如果有一天同學們有機會見面
[00:03:16.300 --> 00:03:19.900]  那幾十年我們會說些什麼呢
[00:03:19.900 --> 00:03:23.100]  我相信一定很快就會說到
[00:03:23.100 --> 00:03:24.600]  人生的轉變
[00:03:24.600 --> 00:03:27.100]  現在他們說結了婚
[00:03:27.100 --> 00:03:28.300]  有子女
[00:03:28.300 --> 00:03:30.100]  事業在做些什麼
[00:03:30.100 --> 00:03:33.600]  可能已經有房有車等等
[00:03:33.600 --> 00:03:35.700]  說很多很多轉變
[00:03:35.700 --> 00:03:37.700]  這是其中一方面
[00:03:37.700 --> 00:03:40.100]  另一方面
[00:03:40.100 --> 00:03:41.600]  我就在想
[00:03:41.600 --> 00:03:44.200]  會不會反過來說
[00:03:44.200 --> 00:03:45.900]  一把年紀
[00:03:45.900 --> 00:03:49.100]  其實我們都遇到很多困難
[00:03:49.100 --> 00:03:51.200]  可能就開始數一下
[00:03:51.200 --> 00:03:53.800]  工作上有什麼困難
[00:03:53.800 --> 00:03:56.600]  家人健康的問題
[00:03:56.600 --> 00:03:58.800]  他們可能會說一下子女
[00:03:58.800 --> 00:04:01.600]  現在的情況如何
[00:04:01.600 --> 00:04:05.400]  自己的一些挑戰等等
[00:04:05.400 --> 00:04:06.900]  我都在想
[00:04:06.900 --> 00:04:10.200]  這個會不會是我們的主題呢
[00:04:10.200 --> 00:04:12.500]  我同樣問自己
[00:04:12.500 --> 00:04:15.300]  我又會說些什麼呢
[00:04:15.300 --> 00:04:19.100]  難道我只會說一些我自己很信任的東西
[00:04:19.100 --> 00:04:21.100]  還是我都會有機會跟他們說
[00:04:21.100 --> 00:04:26.600]  我生命裡遇到的種種挑戰和困難呢
[00:04:26.600 --> 00:04:29.300]  無論信徒或非信徒也好
[00:04:29.300 --> 00:04:31.900]  其實我們都不能避免生命裡
[00:04:31.900 --> 00:04:35.800]  種種的困難和挑戰
[00:04:35.800 --> 00:04:38.300]  但是分別在於
[00:04:38.300 --> 00:04:40.400]  我們去面對的時候
[00:04:40.400 --> 00:04:42.300]  有沒有不同
[00:04:42.300 --> 00:04:44.700]  態度上有沒有不同
[00:04:44.700 --> 00:04:47.700]  或者方法上有沒有不同呢
