
[00:00:00.000 --> 00:00:06.440]  多謝主再次招聚我們去研讀神的話語
[00:00:06.440 --> 00:00:12.080]  多謝祢讓我們能夠有這份對屬靈的事物渴求的心靈
[00:00:12.080 --> 00:00:14.080]  我們可以來研讀
[00:00:14.080 --> 00:00:22.880]  幫助我們今晚再看關於羅亞、洪水、方舟的敘事
[00:00:22.880 --> 00:00:27.600]  幫助我們能夠在這一大段落裏面找到一些重點
[00:00:27.600 --> 00:00:32.440]  以及讓我們對造物主有更深的認識
[00:00:32.440 --> 00:00:35.080]  特別在這個大段落裏面
[00:00:35.080 --> 00:00:42.920]  神的憤怒彰顯在毀滅世界的情況
[00:00:42.920 --> 00:00:45.320]  亦都讓我們看到將來
[00:00:45.320 --> 00:00:47.800]  好像啟示錄我們一直在看的就是
[00:00:47.800 --> 00:00:52.080]  將來的戰爭、饑荒、瘟疫
[00:00:52.080 --> 00:00:56.200]  都是普遍性地在地上發生
[00:00:56.200 --> 00:01:01.440]  而且都是從上主的憤怒、刑罰那裏而來的
[00:01:01.440 --> 00:01:05.920]  所以我們懇求祢也給我們一個對祢有認識的敬畏
[00:01:05.920 --> 00:01:08.160]  我們今天晚上在祢面前等候
[00:01:08.160 --> 00:01:09.360]  我們這樣禱告
[00:01:09.360 --> 00:01:11.440]  奉耶穌基督的名
[00:01:11.440 --> 00:01:13.440]  阿們
[00:01:13.440 --> 00:01:16.960]  第二講的羅亞
[00:01:16.960 --> 00:01:22.080]  上個星期已經講了
[00:01:22.080 --> 00:01:26.520]  很重要的第六章一到第四節
[00:01:26.520 --> 00:01:32.200]  怎樣去解構神的兒子和人的女子
[00:01:32.200 --> 00:01:36.680]  另外一個就是都需要去留心一下
[00:01:36.680 --> 00:01:38.640]  我再補充一點
[00:01:38.640 --> 00:01:41.040]  六章頭這一段聖經
[00:01:41.040 --> 00:01:43.400]  有些新約的補充
[00:01:43.400 --> 00:01:49.480]  接著我們就會看神為什麼要去毀滅世界
[00:01:49.480 --> 00:01:54.720]  和祂又去揀選哪一個和祂同心的人
[00:01:54.720 --> 00:02:00.320]  來有在審判、刑罰裏面的因典
[00:02:00.320 --> 00:02:04.320]  所以我們就要看
[00:02:04.320 --> 00:02:07.920]  馬太福音這一段
[00:02:07.920 --> 00:02:10.800]  我補充上個星期講得不夠
[00:02:10.800 --> 00:02:13.200]  因為時間上個星期比較晚
[00:02:13.200 --> 00:02:16.320]  馬太福音的二十二章
[00:02:16.320 --> 00:02:18.320]  不是六章,是二十二章
[00:02:19.320 --> 00:02:26.320]  其實不同的場合都有機會讀過
