
[00:00:00.000 --> 00:00:12.000]  經文是在《馬太福音》九章35至38節
[00:00:12.000 --> 00:00:19.500]  在大家手上《商行本聖經》新約第十六頁
[00:00:19.500 --> 00:00:24.000]  《馬太福音》第九章35節
[00:00:25.000 --> 00:00:38.000]  耶穌走遍各城各鄉,在他們的會堂裡教導人,宣講天國的福音,又醫治各樣的病症。
[00:00:38.000 --> 00:00:50.000]  他看見一大群人就憐憫他們,因為他們困苦無助,如同楊末有木人一樣。
[00:00:51.000 --> 00:00:59.000]  於是他對門徒說:「要收的莊家多,做工的人少。」
[00:00:59.000 --> 00:01:07.000]  所以你們要求莊家的主差以做工的人出去收他的莊家。
[00:01:07.000 --> 00:01:11.000]  公正地把時間交給曾博士。
[00:01:18.000 --> 00:01:21.000]  各位弟兄姊妹,早晨!
[00:01:21.000 --> 00:01:27.000]  我們開始聚會之前一起祈禱,再一次感謝讚美主。
[00:01:27.000 --> 00:01:35.000]  我們可以在早晨真是有清晨明亮的日光來照耀。
[00:01:35.000 --> 00:01:43.000]  我們知道掌管萬有的仍然是我們這一位創造萬物的天父。
[00:01:43.000 --> 00:01:52.000]  我們這一位曾經降世,為我們成為在十字架上寫命的耶穌基督,
[00:01:52.000 --> 00:01:59.000]  更加是住在每一個聖徒心裡的聖靈,三一的真神,我們要敬拜祢。
[00:01:59.000 --> 00:02:04.000]  今早我們去思想主耶穌的一番說話,
[00:02:04.000 --> 00:02:13.000]  讓我們能夠對明白什麼叫做憐憫和禱告的關係,我們都能夠有一個掌握。
[00:02:13.000 --> 00:02:17.000]  特別每一個時代都有每一個時代的困難,
[00:02:17.000 --> 00:02:22.000]  我們既然活在現在香港一個動亂的時代,
[00:02:22.000 --> 00:02:30.000]  求主讓我們能夠真是有主的心腸去看,我們不是要去談論政治,
[00:02:30.000 --> 00:02:39.000]  反而是我們要在神的恩典裡面去禱告,去求師恩的主,去改變人心,
[00:02:39.000 --> 00:02:47.000]  去將那個平安,免於恐懼的平安,盼望重生的,
[00:02:47.000 --> 00:02:53.000]  來給我們每一個人,每一個香港人都來去有,求主帶領我們,
[00:02:53.000 --> 00:02:59.000]  一起在你面前等候禱告奉耶穌基督的名,阿們。
[00:02:59.000 --> 00:03:09.000]  這一段聖經剛才主席讀,大家都已經很清楚是作者馬太在這裡做一個總結,
[00:03:09.000 --> 00:03:13.000]  相信應該是由第八章,比較近的上文,
[00:03:13.000 --> 00:03:21.000]  因為第五到第七章稱為登山部分的八福,
[00:03:21.000 --> 00:03:27.000]  然後有一些的形容,然後第八章就是主耶穌下山之後,
[00:03:27.000 --> 00:03:34.000]  就說祂在各處去傳道,所以你看到第九章35到38節,
[00:03:34.000 --> 00:03:42.000]  明顯是一個總結,就是說主耶穌在祂傳道這段時間,祂做過什麼,
