
[00:00:00.000 --> 00:00:06.000]  今天跟大家講這段經文的時候,我還沒講之前,我要先做一些聲明。聲明什麼呢?
[00:00:06.000 --> 00:00:12.000]  因為我發覺我們做基督徒做得久了,有時會玻璃心。
[00:00:12.000 --> 00:00:17.000]  什麼叫玻璃心呢?就是我一講的時候就像我在說你一樣,
[00:00:17.000 --> 00:00:22.000]  然後裡面有很多反應,就是「不是啊,我不是這樣的,你誤會了我。」
[00:00:22.000 --> 00:00:27.000]  為什麼我這麼肯定呢?因為我聽過不少這樣的回應。
[00:00:27.000 --> 00:00:35.000]  我想強調,鄧全道是絕對不會用講台變炮台的,OK?
[00:00:35.000 --> 00:00:43.000]  並不是我見到任何現象,我藉著講道去責備任何人,我從來都不會做這件事。
[00:00:43.000 --> 00:00:48.000]  我只是按著聖經裡面,聖經怎麼教我們,我們就怎麼說。
[00:00:48.000 --> 00:00:54.000]  聖經的信息裡面怎麼說,如果你心裡面覺得責心,
[00:00:54.000 --> 00:01:00.000]  甚至你會覺得那些經文好像在說自己,請你留意,不是鄧全道見到任何東西,
[00:01:00.000 --> 00:01:04.000]  然後我在說你,而是聖靈在提醒你。
[00:01:04.000 --> 00:01:11.000]  好不好?這個很重要,不然我們聽再多的道都沒用的,因為你要不斷反彈。
[00:01:11.000 --> 00:01:16.000]  今天跟大家講這些,為什麼我要這麼閃聲明這件事呢?
[00:01:16.000 --> 00:01:27.000]  因為今天這篇道是重的,為什麼呢?你會發覺題目是「究竟是賊魔還是神的電?」
[00:01:27.000 --> 00:01:37.000]  是很重要的,因為這段經文其實是直接指向於教會和基督徒生命。
[00:01:37.000 --> 00:01:43.000]  一間教會最讓人擔心的是什麼呢?是虛有其表。
[00:01:43.000 --> 00:01:50.000]  基督徒最讓人擔心的是虛有其表的生命。
[00:01:50.000 --> 00:01:57.000]  所以你就會發覺這段經文其實是很工整,很容易看的。
[00:01:57.000 --> 00:02:00.000]  為什麼呢?因為他用了一個三文字的結構。
[00:02:00.000 --> 00:02:06.000]  你會發覺先是耶穌見到這棵無花果樹,然後發生了一些事情,
[00:02:06.000 --> 00:02:14.000]  就在它之後,夾在中間的聖殿,之後再講無花果。
[00:02:14.000 --> 00:02:21.000]  這是一個很典型聖經的格式,是在講一個其實重點是在講什麼呢?
[00:02:21.000 --> 00:02:27.000]  就是中間的聖殿,而透過無花果去講聖殿。
[00:02:27.000 --> 00:02:31.000]  所以核心一定是聖殿所發生的事情。
[00:02:31.000 --> 00:02:36.000]  而這段經文很直接指向於信仰上的虛假。
[00:02:36.000 --> 00:02:40.000]  而在哥倫多前書3:16,他說:
[00:02:40.000 --> 00:02:45.000]  「豈不知你們是神的殿嗎?神的靈就住在你們裡嗎?」
[00:02:45.000 --> 00:02:49.000]  所以這段經文,我今天也會同樣地去反省,
[00:02:49.000 --> 00:02:53.000]  今天除了教會之外,我們自己的生命是如何。
[00:02:53.000 --> 00:02:58.000]  因為你要記住,你信了耶穌之後,聖靈住在你的裡面,
[00:02:58.000 --> 00:03:01.000]  你是上帝的殿。
[00:03:01.000 --> 00:03:06.000]  什麼叫做虛假?從這段經文裡面,不說其他地方,什麼叫做虛假?
[00:03:06.000 --> 00:03:12.000]  就是「人餓了,找不到吃的。」
[00:03:12.000 --> 00:03:18.000]  耶穌當時很清楚,我餓了,那我就要吃東西,
[00:03:18.000 --> 00:03:22.000]  很簡單,大家今天餓了,那去哪?
[00:03:22.000 --> 00:03:27.000]  去學校?你不是的,你去找餐廳,對嗎?
[00:03:27.000 --> 00:03:30.000]  你去餐廳當然是想找到你想吃的東西,
[00:03:30.000 --> 00:03:34.000]  是帶著一個很重要的期望的。
[00:03:34.000 --> 00:03:38.000]  但是耶穌現在發生什麼事呢?這裡一定有一點背景,
[00:03:38.000 --> 00:03:43.000]  如果你不明白這段背景和講聖殿的話,你解不通這段話。
[00:03:43.000 --> 00:03:49.000]  從來我不知道大家有沒有發覺,這段經文裡面的耶穌突然間變了。
[00:03:49.000 --> 00:03:54.000]  第一樣被人很誤會的就是,他餓了,看到一棵無花果樹,
[00:03:54.000 --> 00:04:00.000]  沒有果子,還有聖經的作者已經跟你解釋了,
[00:04:00.000 --> 00:04:04.000]  那個時候不是收無花果的時候,合理嗎?
[00:04:04.000 --> 00:04:09.000]  其實很合理的,不是收的時候在樹上找不到果子,
[00:04:09.000 --> 00:04:16.000]  這樣很合理的,但是耶穌就了那棵樹,就了那棵樹死了,
[00:04:16.000 --> 00:04:20.000]  是不是很不正常?
[00:04:20.000 --> 00:04:28.000]  這個絕對不是耶穌,然後到聖經,我想問,有沒有見過耶穌這麼暴躁?
[00:04:28.000 --> 00:04:34.000]  你記住耶穌是直接走去推翻那些桌子,
[00:04:34.000 --> 00:04:38.000]  你從來沒有見過這樣的耶穌,
[00:04:38.000 --> 00:04:46.000]  所以你就會發覺這裡整段經文是帶著耶穌跟你說一些很重要的東西,
[00:04:46.000 --> 00:04:51.000]  而促使這件事發生。為什麼呢?
[00:04:51.000 --> 00:05:01.000]  原來無花果樹的葉子是代表著有果子。
[00:05:01.000 --> 00:05:06.000]  什麼意思呢?在一個不是收果子的時候,
[00:05:06.000 --> 00:05:14.000]  所有的無花果樹上都還沒有葉子,但是突然間有一棵上面有葉子,
[00:05:14.000 --> 00:05:19.000]  然後耶穌就要去找了,
[00:05:19.000 --> 00:05:25.000]  就是說,如果不是收無花果,就是根本沒有果子給人吃,
[00:05:25.000 --> 00:05:31.000]  就拜託你不要生出葉子,你明白我的意思嗎?
[00:05:31.000 --> 00:05:37.000]  就是說這棵樹不知道什麼原因,發生了一個很特殊的情況,
[00:05:37.000 --> 00:05:40.000]  竟然在一個不是收果子的時候,不應該有葉子的時候,
