
[00:00:00.000 --> 00:00:02.000]  現在是正道的時間
[00:00:02.000 --> 00:00:05.000]  今天我們會有本堂的陳勵喬牧師
[00:00:05.000 --> 00:00:07.000]  在我們中間去宣講神的話語
[00:00:07.000 --> 00:00:11.000]  他的講題是「沙漠回歸的人生」
[00:00:11.000 --> 00:00:16.000]  經文是記載在舊約聖經二賽那書三十五章一至十節
[00:00:16.000 --> 00:00:18.000]  請聽我讀出以下的經文
[00:00:18.000 --> 00:00:23.000]  「曠野和乾旱之地必然歡喜
[00:00:23.000 --> 00:00:25.000]  沙漠也必快樂
[00:00:25.000 --> 00:00:31.000]  猶如玫瑰綻放,朵朵繁茂,其樂融融,而且歡呼
[00:00:31.000 --> 00:00:37.000]  黎巴嫩的榮耀,並加密於沙崙的華美,必似及他
[00:00:37.000 --> 00:00:42.000]  人要看見耶和華的榮耀,看見我們神的永美
[00:00:42.000 --> 00:00:47.000]  你們要使軟弱的手強壯,使無力的膝蓋穩固
[00:00:47.000 --> 00:00:52.000]  對心裡焦急的人說,要剛強,不要懼怕
[00:00:52.000 --> 00:00:57.000]  看啊!你們的神要來施暴,要施行極大的報應
[00:00:57.000 --> 00:00:59.000]  他必來拯救你們
[00:00:59.000 --> 00:01:04.000]  那時盲人的眼必睜開,聾子的耳必開通
[00:01:04.000 --> 00:01:09.000]  那時,瓊子必跳躍如鹿,啞巴的舌頭必歡呼
[00:01:09.000 --> 00:01:14.000]  在曠野有水噴出,在沙漠有江河湧流
[00:01:14.000 --> 00:01:19.000]  火熱之地要變為水池,乾渴之地要變為泉源
[00:01:19.000 --> 00:01:25.000]  野狗躺臥,休息之處必長出青草、蘆葦和蒲草
[00:01:25.000 --> 00:01:30.000]  在那裡必有一條大道,就是一條路,稱為聖路
[00:01:30.000 --> 00:01:35.000]  污穢的人不得經過,是專為走路的人預備的
[00:01:35.000 --> 00:01:38.000]  愚昧的人也不會迷路
[00:01:38.000 --> 00:01:42.000]  在那裡沒有獅子,猛獸也不經過
[00:01:42.000 --> 00:01:47.000]  在那裡他們未言中的,只有救贖的民在那裡行走
[00:01:47.000 --> 00:01:52.000]  耶和華救贖的民必歸回,歌唱來到石安
[00:01:52.000 --> 00:01:55.000]  永遠的快樂必歸到他們頭上
[00:01:55.000 --> 00:02:00.000]  他們必得著歡喜快樂,憂傷嘆息盡都逃避
[00:02:00.000 --> 00:02:04.000]  經文讀得,現在恭請陳牧師整讀
[00:02:04.000 --> 00:02:26.000]  (陳志全議員)
[00:02:26.000 --> 00:02:40.000]  (陳志全議員)
[00:02:40.000 --> 00:02:57.000]  (陳志全議員)
[00:02:57.000 --> 00:03:17.000]  (陳志全議員)
[00:03:17.000 --> 00:03:29.000]  (陳志全議員)
[00:03:29.000 --> 00:03:58.000]  (陳志全議員)
[00:03:58.000 --> 00:04:08.000]  (陳志全議員)
[00:04:08.000 --> 00:04:37.000]  (陳志全議員)
[00:04:38.000 --> 00:05:06.000]  (陳志全議員)
[00:05:06.000 --> 00:05:14.000]  (陳志全議員)
[00:05:14.000 --> 00:05:27.000]  (陳志全議員)
[00:05:27.000 --> 00:05:32.000]  (陳志全議員)
[00:05:32.000 --> 00:05:38.000]  (陳志全議員)
[00:05:38.000 --> 00:05:50.000]  (陳志全議員)
[00:05:50.000 --> 00:06:03.000]  (陳志全議員)
[00:06:03.000 --> 00:06:18.000]  (陳志全議員)
[00:06:18.000 --> 00:06:24.000]  (陳志全議員)
[00:06:24.000 --> 00:06:41.000]  (陳志全議員)
[00:06:41.000 --> 00:06:59.000]  (陳志全議員)
[00:06:59.000 --> 00:07:22.000]  (陳志全議員)
[00:07:22.000 --> 00:07:49.000]  (陳志全議員)
[00:07:49.000 --> 00:08:04.000]  (陳志全議員)
[00:08:04.000 --> 00:08:33.000]  (陳志全議員)
[00:08:33.000 --> 00:08:47.000]  (陳志全議員)
[00:08:47.000 --> 00:09:11.000]  (陳志全議員)
[00:09:12.000 --> 00:09:23.000]  (陳志全議員)
[00:09:23.000 --> 00:09:35.000]  (陳志全議員)
[00:09:36.000 --> 00:10:02.000]  (陳志全議員)
[00:10:02.000 --> 00:10:27.000]  (陳志全議員)
[00:10:28.000 --> 00:10:52.000]  (陳志全議員)
[00:10:52.000 --> 00:11:02.000]  (陳志全議員)
[00:11:02.000 --> 00:11:25.000]  (陳志全議員)
[00:11:25.000 --> 00:11:52.000]  (陳志全議員)
[00:11:52.000 --> 00:12:19.000]  (陳志全議員)
[00:12:20.000 --> 00:12:33.000]  (陳志全議員)
[00:12:33.000 --> 00:12:48.000]  (陳志全議員)
[00:12:48.000 --> 00:12:58.000]  (陳志全議員)
[00:12:58.000 --> 00:13:08.000]  (陳志全議員)
[00:13:08.000 --> 00:13:33.000]  (陳志全議員)
[00:13:33.000 --> 00:14:02.000]  (陳志全議員)
[00:14:03.000 --> 00:14:25.000]  (陳志全議員)
[00:14:25.000 --> 00:14:53.000]  (陳志全議員)
[00:14:53.000 --> 00:15:07.000]  (陳志全議員)
[00:15:07.000 --> 00:15:22.000]  (陳志全議員)
