
[00:00:00.000 --> 00:00:04.000]  主奶頂姐妹平安
[00:00:04.000 --> 00:00:06.000]  我們一起祈禱
[00:00:06.000 --> 00:00:09.000]  親愛的主
[00:00:09.000 --> 00:00:10.000]  我們很感謝祢
[00:00:10.000 --> 00:00:13.000]  是因為祢揀選我們
[00:00:13.000 --> 00:00:15.000]  讓我們認識祢
[00:00:15.000 --> 00:00:16.000]  相信祢
[00:00:16.000 --> 00:00:19.000]  能夠成為祢的兒女
[00:00:19.000 --> 00:00:21.000]  作祢兒女這個寶貴的名份
[00:00:21.000 --> 00:00:24.000]  我們衷心的去多謝祢
[00:00:24.000 --> 00:00:28.000]  求天父繼續對我們每個人說話
[00:00:28.000 --> 00:00:31.000]  求祢的靈在我們當中運行
[00:00:31.000 --> 00:00:33.000]  求祢感動我們
[00:00:33.000 --> 00:00:38.000]  明白祢要對我們的旨意是什麼
[00:00:38.000 --> 00:00:41.000]  交託給主獻上的祈禱
[00:00:41.000 --> 00:00:43.000]  奉靠主耶穌基督的聖名
[00:00:43.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:49.000]  因為較早前我跌倒
[00:00:49.000 --> 00:00:51.000]  所以弄傷了膝蓋
[00:00:51.000 --> 00:00:54.000]  我不知道我能夠站多久
[00:00:54.000 --> 00:00:57.000]  所以多謝弟兄姐幫我都預備
[00:00:57.000 --> 00:00:59.000]  隨時都要坐下
[00:00:59.000 --> 00:01:03.000]  所以請大家體諒
[00:01:03.000 --> 00:01:06.000]  今天跟大家讀的經文
[00:01:06.000 --> 00:01:08.000]  已乏所書
[00:01:08.000 --> 00:01:11.000]  由五月開始到七月
[00:01:11.000 --> 00:01:13.000]  按照教會的安排
[00:01:13.000 --> 00:01:15.000]  整本書會讀完
[00:01:15.000 --> 00:01:18.000]  所以我都按照教會的安排
[00:01:18.000 --> 00:01:19.000]  來到今天
[00:01:19.000 --> 00:01:21.000]  它的題目很有趣
[00:01:21.000 --> 00:01:23.000]  有上帝的智慧人
[00:01:23.000 --> 00:01:24.000]  「一」
[00:01:24.000 --> 00:01:26.000]  下次大家再看
[00:01:26.000 --> 00:01:28.000]  應該有上帝的智慧人「二」
[00:01:28.000 --> 00:01:30.000]  不過因為每個同工的領袖不同
[00:01:30.000 --> 00:01:32.000]  所以到時可能會發現
[00:01:32.000 --> 00:01:34.000]  為什麼沒有「二」那個呢
[00:01:34.000 --> 00:01:35.000]  可能會轉了題目
[00:01:35.000 --> 00:01:37.000]  但經文會是一樣的
[00:01:37.000 --> 00:01:40.000]  今天跟大家讀的已乏所書
[00:01:40.000 --> 00:01:42.000]  五章十五到二十字
[00:01:42.000 --> 00:01:44.000]  很簡短的
[00:01:44.000 --> 00:01:46.000]  其實就只有
[00:01:46.000 --> 00:01:48.000]  不用了
[00:01:49.000 --> 00:01:50.000]  多謝弟兄
[00:01:50.000 --> 00:01:52.000]  因為差不多要坐下了
[00:01:52.000 --> 00:01:54.000]  有六節的經文
[00:01:54.000 --> 00:01:56.000]  很簡短的
[00:01:56.000 --> 00:02:00.000]  一開始就多謝主席幫我們讀出了
[00:02:00.000 --> 00:02:02.000]  這些字
[00:02:02.000 --> 00:02:04.000]  好像在考大家的眼
[00:02:04.000 --> 00:02:06.000]  有誰可以看到呢
[00:02:06.000 --> 00:02:10.000]  其實主要是想讓大家知道
[00:02:10.000 --> 00:02:12.000]  原來回過頭來
[00:02:12.000 --> 00:02:14.000]  已乏所書一共有六章
[00:02:14.000 --> 00:02:16.000]  而來到第四到第六章
[00:02:16.000 --> 00:02:17.000]  其實有一個主題
[00:02:17.000 --> 00:02:19.000]  是圍繞著四個字
[00:02:19.000 --> 00:02:21.000]  行事為人
[00:02:21.000 --> 00:02:23.000]  所以其實頭一到三章
[00:02:23.000 --> 00:02:25.000]  特別保羅
[00:02:25.000 --> 00:02:27.000]  如果我們都相信傳統認為
[00:02:27.000 --> 00:02:29.000]  已乏所書是保羅寫的書信
[00:02:29.000 --> 00:02:31.000]  保羅在一到三章
[00:02:31.000 --> 00:02:32.000]  特別講出
[00:02:32.000 --> 00:02:35.000]  到底耶穌基督的救贖計劃是怎樣的
[00:02:35.000 --> 00:02:37.000]  去到第四到第六章
[00:02:37.000 --> 00:02:39.000]  有一個字
[00:02:39.000 --> 00:02:40.000]  行事為人
[00:02:40.000 --> 00:02:42.000]  英文是用walk
[00:02:42.000 --> 00:02:45.000]  或者leave來形容
[00:02:45.000 --> 00:02:48.000]  分別有五次在四章的一節
[00:02:48.000 --> 00:02:49.000]  四章的十七節
[00:02:49.000 --> 00:02:50.000]  五章二節
[00:02:50.000 --> 00:02:51.000]  五章八節
[00:02:51.000 --> 00:02:53.000]  還有今天會看的五章十五節
[00:02:53.000 --> 00:02:55.000]  都有用到這個字眼
[00:02:55.000 --> 00:02:57.000]  特別是四章一節
[00:02:57.000 --> 00:02:58.000]  那裡提到
[00:02:58.000 --> 00:03:02.000]  我為主作酬
[00:03:02.000 --> 00:03:04.000]  作酬的勸你們
[00:03:04.000 --> 00:03:05.000]  既然蒙恩
[00:03:05.000 --> 00:03:06.000]  行事為人
[00:03:06.000 --> 00:03:10.000]  就要與你們所蒙的呼召相請
[00:03:10.000 --> 00:03:11.000]  其實一直發展下去
[00:03:11.000 --> 00:03:13.000]  這幾章都會圍繞
[00:03:13.000 --> 00:03:14.000]  到底平時的信徒
[00:03:14.000 --> 00:03:17.000]  我們有什麼要留意呢
[00:03:17.000 --> 00:03:20.000]  大概傳統都相信
