
[00:00:00.000 --> 00:00:08.000]  今晚我們一起思想基本課題
[00:00:08.000 --> 00:00:10.000]  就是眼淚課題
[00:00:10.000 --> 00:00:14.000]  所以今天選了一段經文
[00:00:14.000 --> 00:00:17.000]  全本聖經裏面最短的經文
[00:00:17.000 --> 00:00:20.000]  只有四個字 耶穌哭了
[00:00:20.000 --> 00:00:21.000]  可能大家未必很熟悉
[00:00:21.000 --> 00:00:24.000]  所以我讀一次整段給大家聽
[00:00:24.000 --> 00:00:26.000]  大家可以自己打開聖經
[00:00:26.000 --> 00:00:28.000]  也可以聽我讀
[00:00:28.000 --> 00:00:30.000]  用第十一章來讀經文
[00:00:31.000 --> 00:00:33.000]  用第十一章
[00:00:33.000 --> 00:00:35.000]  有一個患病的人名叫拉撒路
[00:00:35.000 --> 00:00:36.000]  住在白大利
[00:00:36.000 --> 00:00:38.000]  就是瑪利亞和他子子
[00:00:38.000 --> 00:00:39.000]  馬大的村莊
[00:00:39.000 --> 00:00:42.000]  瑪利亞就是用香膏抹主
[00:00:42.000 --> 00:00:44.000]  又用頭髮擦他腳的
[00:00:44.000 --> 00:00:46.000]  患病的拉撒路是他的兄弟
[00:00:46.000 --> 00:00:50.000]  他姐妹兩個就打發人去見耶穌說
[00:00:50.000 --> 00:00:52.000]  主啊 你所愛的人病了
[00:00:52.000 --> 00:00:53.000]  耶穌聽見就說
[00:00:53.000 --> 00:00:55.000]  這病不至於死
[00:00:55.000 --> 00:00:56.000]  乃是為神的榮耀
[00:00:56.000 --> 00:00:58.000]  叫神的兒子因此得榮耀
[00:00:58.000 --> 00:01:02.000]  耶穌數來愛馬大和他妹子並拉撒路
[00:01:02.000 --> 00:01:04.000]  聽見拉撒路病了
[00:01:04.000 --> 00:01:07.000]  就在所居的地營住了兩天
[00:01:07.000 --> 00:01:09.000]  然後對門徒說
[00:01:09.000 --> 00:01:11.000]  我們再往猶太去吧
[00:01:11.000 --> 00:01:12.000]  門徒說
[00:01:12.000 --> 00:01:15.000]  拉比 猶太人近來要拿石頭打你
[00:01:15.000 --> 00:01:17.000]  你還往那裡去嗎
[00:01:17.000 --> 00:01:18.000]  耶穌回答說
[00:01:18.000 --> 00:01:20.000]  白日不是有十二小時嗎
[00:01:20.000 --> 00:01:22.000]  人在白日走路就不至跌倒
[00:01:22.000 --> 00:01:24.000]  因為看見這世上的光
[00:01:24.000 --> 00:01:28.000]  若在黑暗走路就必跌倒
[00:01:28.000 --> 00:01:29.000]  因為他們有光
[00:01:29.000 --> 00:01:30.000]  耶穌說了話
[00:01:30.000 --> 00:01:32.000]  隨後就對他們說
[00:01:32.000 --> 00:01:34.000]  我們的朋友拉撒路碎了
[00:01:34.000 --> 00:01:35.000]  我去叫醒他
[00:01:35.000 --> 00:01:36.000]  門徒說
[00:01:36.000 --> 00:01:38.000]  主啊 他若碎了就必好了
[00:01:38.000 --> 00:01:40.000]  耶穌說是指著他死亡的
[00:01:40.000 --> 00:01:44.000]  他們卻以為是說照常碎了
[00:01:44.000 --> 00:01:46.000]  耶穌就明明地告訴他們說
[00:01:46.000 --> 00:01:47.000]  拉撒路死了
[00:01:47.000 --> 00:01:49.000]  我們有在那裡就歡喜
[00:01:49.000 --> 00:01:51.000]  這是你們的緣故
[00:01:51.000 --> 00:01:52.000]  我叫他們相信
[00:01:52.000 --> 00:01:54.000]  如今我們可以往那裡去
[00:01:54.000 --> 00:01:56.000]  當馬又稱為大土馬
[00:01:56.000 --> 00:01:58.000]  就對那合作的門徒說
[00:01:58.000 --> 00:02:00.000]  我們也去和他同死吧
[00:02:00.000 --> 00:02:01.000]  耶穌到了
[00:02:01.000 --> 00:02:04.000]  就知道拉撒路在墳墓裡已經四天了
[00:02:04.000 --> 00:02:06.000]  不過來耶路撒冷不遠
[00:02:06.000 --> 00:02:07.000]  若有六里路
[00:02:07.000 --> 00:02:10.000]  有好些猶太人來見馬大和瑪利亞
[00:02:10.000 --> 00:02:12.000]  要看他們的是弟兄
[00:02:12.000 --> 00:02:13.000]  安慰他們
[00:02:13.000 --> 00:02:15.000]  猶太人聽見耶穌就來了
[00:02:15.000 --> 00:02:17.000]  就說出去迎接他
[00:02:17.000 --> 00:02:20.000]  瑪利亞卻仍然在在的家裡
[00:02:20.000 --> 00:02:22.000]  馬大就對耶穌說
[00:02:22.000 --> 00:02:23.000]  主啊 你若早在這裡
[00:02:23.000 --> 00:02:25.000]  我兄弟必不死
[00:02:25.000 --> 00:02:26.000]  就算現在
[00:02:26.000 --> 00:02:29.000]  我也知道你無論向神求什麼
[00:02:29.000 --> 00:02:31.000]  神也必賜給你
[00:02:31.000 --> 00:02:33.000]  耶穌說 你兄弟必然復活
[00:02:33.000 --> 00:02:36.000]  馬大說 我知道在末日復活的時候
[00:02:36.000 --> 00:02:37.000]  他必復活
[00:02:37.000 --> 00:02:38.000]  耶穌對他說
[00:02:38.000 --> 00:02:40.000]  復活在我 生命也在我
[00:02:40.000 --> 00:02:42.000]  信徒的人雖然死了也必復活
[00:02:42.000 --> 00:02:44.000]  凡活著 信徒的人必永遠不死
[00:02:44.000 --> 00:02:45.000]  你信這話嗎
[00:02:45.000 --> 00:02:47.000]  馬大說 主啊 是的
[00:02:47.000 --> 00:02:50.000]  我信你是基督賜神的兒子
[00:02:50.000 --> 00:02:52.000]  就是那要臨到世界的
[00:02:52.000 --> 00:02:53.000]  馬大說了這話
[00:02:53.000 --> 00:02:56.000]  就回去安穩地叫他妹子瑪利亞說
[00:02:56.000 --> 00:02:57.000]  夫子來了 叫你
[00:02:57.000 --> 00:03:00.000]  瑪利亞聽見了 就急忙起來
[00:03:00.000 --> 00:03:02.000]  到那裡去
[00:03:02.000 --> 00:03:04.000]  那時耶穌還沒進到村子
[00:03:04.000 --> 00:03:07.000]  仍在馬大迎接他的地方
[00:03:07.000 --> 00:03:10.000]  那些和瑪利亞在家裡安慰他的猶太人
[00:03:10.000 --> 00:03:11.000]  見他急忙起來出去
[00:03:11.000 --> 00:03:12.000]  就跟著他
[00:03:12.000 --> 00:03:14.000]  以為他要往墳墓那裡去
[00:03:14.000 --> 00:03:15.000]  瑪利亞到了耶穌那裡
[00:03:15.000 --> 00:03:16.000]  看見他
[00:03:16.000 --> 00:03:18.000]  就伏在腳前說
[00:03:18.000 --> 00:03:20.000]  主啊 你若早在這裡
[00:03:20.000 --> 00:03:21.000]  我兄弟必不死
[00:03:21.000 --> 00:03:23.000]  耶穌看見他哭
[00:03:23.000 --> 00:03:26.000]  並看見與他同來的猶太人也哭
[00:03:26.000 --> 00:03:28.000]  就心裡悲嘆 又甚憂愁
[00:03:28.000 --> 00:03:31.000]  便說 你們把他安放在那裡
[00:03:31.000 --> 00:03:34.000]  他們回答說 請主來看
[00:03:34.000 --> 00:03:36.000]  耶穌哭了
[00:03:36.000 --> 00:03:40.000]  我們一起去看這段經文
[00:03:40.000 --> 00:03:44.000]  有關耶穌在這段故事裡的經文
[00:03:44.000 --> 00:03:48.000]  本身打算去選一段
[00:03:48.000 --> 00:03:51.000]  有關聖經裡提及到哭的經文
[00:03:51.000 --> 00:03:53.000]  其實發覺很多
[00:03:53.000 --> 00:03:56.000]  發覺聖經裡有關哭的字
[00:03:56.000 --> 00:03:58.000]  出現過209次
[00:03:58.000 --> 00:04:00.000]  眼淚出現過30次
[00:04:00.000 --> 00:04:02.000]  流淚出現過24次
[00:04:02.000 --> 00:04:05.000]  相反 笑這個字
[00:04:05.000 --> 00:04:08.000]  在聖經裡只不過出現了98次
[00:04:08.000 --> 00:04:10.000]  所以發現聖經裡
[00:04:10.000 --> 00:04:14.000]  哭比笑壓倒性的多
[00:04:14.000 --> 00:04:17.000]  所以要說一篇有關眼淚的信息
[00:04:17.000 --> 00:04:19.000]  其實很容易
[00:04:19.000 --> 00:04:22.000]  我想特別很多經文都提及到
[00:04:22.000 --> 00:04:24.000]  哭泣的時候
[00:04:24.000 --> 00:04:26.000]  不過今天也特意去選這段經文
[00:04:26.000 --> 00:04:28.000]  有關耶穌哭了
[00:04:28.000 --> 00:04:30.000]  經文跟大家分享
[00:04:30.000 --> 00:04:34.000]  這段經文其實我自己在神學院畢業的時候
[00:04:34.000 --> 00:04:38.000]  應該是我自己寫第一篇的講章
[00:04:38.000 --> 00:04:40.000]  很多年前 二十多年前
[00:04:40.000 --> 00:04:42.000]  我神學生的時候寫第一篇講章
[00:04:42.000 --> 00:04:44.000]  今天來到這裡再一次寫的時候
[00:04:44.000 --> 00:04:48.000]  發現其實有很多地方都很值得我們去思考
[00:04:48.000 --> 00:04:52.000]  基本上約翁福音第十一章
[00:04:52.000 --> 00:04:55.000]  是一個有關喪禮的故事
[00:04:55.000 --> 00:04:57.000]  來自於伯大利的家庭
