
[00:00:00.000 --> 00:00:02.000]  丁子敏早安
[00:00:02.000 --> 00:00:09.000]  今天跟大家一齊思考聖經裏面一個很重要的題目
[00:00:09.000 --> 00:00:12.000]  但平時我們很少思考的題目
[00:00:12.000 --> 00:00:14.000]  就是自由的題目
[00:00:14.000 --> 00:00:19.000]  自由是甚麼呢
[00:00:19.000 --> 00:00:23.000]  我想要回答這個問題是不容易的
[00:00:23.000 --> 00:00:26.000]  因為自由其實是一個很廣闊的題目
[00:00:26.000 --> 00:00:29.000]  很多不同的範疇都會討論
[00:00:29.000 --> 00:00:37.000]  它可以牽涉哲學、政治、社會、心理、個人成長、神學的題目
[00:00:37.000 --> 00:00:41.000]  所以今天我們就看看我們的信仰裏面
[00:00:41.000 --> 00:00:43.000]  要去回答這些問題
[00:00:43.000 --> 00:00:53.000]  所以今天我們就簡單從一個神學的角度來講一下自由的題目
[00:00:53.000 --> 00:00:57.000]  所謂自由就是上帝創造我們
[00:00:57.000 --> 00:00:59.000]  我們擁有上帝的形象
[00:00:59.000 --> 00:01:03.000]  我們每個人都擁有自己的想法和意願
[00:01:03.000 --> 00:01:06.000]  這種的自由我們稱之為自由意志
[00:01:06.000 --> 00:01:10.000]  所謂自由意志其實都不是一些很高深難度的事情
[00:01:10.000 --> 00:01:12.000]  每個人都追求自由
[00:01:12.000 --> 00:01:17.000]  因為我們每個人都想去實踐自己的想法和意願
[00:01:17.000 --> 00:01:20.000]  我有一個想法對自己的想法
[00:01:20.000 --> 00:01:23.000]  我能夠實踐這個想法在自己身上
[00:01:23.000 --> 00:01:25.000]  這個就是自由
[00:01:25.000 --> 00:01:29.000]  是一個我們生命裏面與生俱來的一種能力
[00:01:29.000 --> 00:01:33.000]  所以嬰兒生下來就嚮往自由
[00:01:33.000 --> 00:01:35.000]  你知道嬰兒是最萌失的
[00:01:35.000 --> 00:01:38.000]  基本上是要什麼就要什麼
[00:01:38.000 --> 00:01:40.000]  得不到就會哭
[00:01:40.000 --> 00:01:44.000]  所以我們可以說從我們的嬰孩開始
[00:01:44.000 --> 00:01:50.000]  我們對於自由有一種很直接很強烈的控訴在當中
[00:01:50.000 --> 00:01:53.000]  當然小朋友的自由是有限的
[00:01:53.000 --> 00:01:56.000]  因為小朋友是受到父母的管教
[00:01:56.000 --> 00:01:58.000]  當你成為大人後
[00:01:58.000 --> 00:02:00.000]  相比起小朋友來說
[00:02:00.000 --> 00:02:02.000]  你的自由就隨之而增加
[00:02:02.000 --> 00:02:04.000]  基本上作為成年人
