
[00:00:00.000 --> 00:00:09.000]  經文記載在《新約聖經》路加福音第十章第十七至第十七節
[00:00:09.000 --> 00:00:17.000]  那七十二個人歡歡喜喜地回來,說:主啊,因祢的名,就是鬼也服了我們。
[00:00:17.000 --> 00:00:27.000]  耶穌對他們說:我看見撒旦從天上墜落,像閃電一樣,我已經給你們權柄,可以踐踏蛇和蠍子,
[00:00:27.000 --> 00:00:41.000]  又勝過仇敵一切的能力,絕沒有什麼能害你們。然而,不要因靈服了你們就歡喜,而要因你們的名記錄在天上歡喜。
[00:00:41.000 --> 00:00:57.000]  正當那時,耶穌被聖靈感動而歡喜快樂,說:父啊,天地的主,我感謝祢,因為祢把這些事向聰明智慧的人隱藏起來,而向英雄啟示出來。
[00:00:57.000 --> 00:01:13.000]  父啊,是的,因為祢的美意本是如此,一切都是我父交給我的,除了父,沒有人知道子是誰;除了子和子所願意啟示的人,沒有人知道父是誰。
[00:01:13.000 --> 00:01:32.000]  23.耶穌轉身私下對門徒說:「看見你們所看見的,那眼睛有福了。我告訴你們,從前有許多先知和君王,要看你們所看的,卻沒有看見;要聽你們所聽的,卻沒有聽見。」
[00:01:32.000 --> 00:01:35.000]  (主席)謝謝,希文老闆將時間交給陳全力。
[00:01:35.000 --> 00:01:51.000]  (陳全力)請師妹平安,今日講到的講題是快快樂樂全福音,如果你有留意到,這個講題後面加了一個笑的符號,不知道這是否這麼酸,三十年來第一個有加符號講題。
[00:01:51.000 --> 00:02:10.000]  (陳全力)其實是這樣的,星期三的時間,教會幹事Yoyo WhatsApp我,問我今個星期的經文講題如何,我WhatsApp她,經文是《老家福音十章》第17至24章,講題是快快樂樂全福音,我再加一個符號給她。
[00:02:10.000 --> 00:02:35.000]  Yoyo就很好,她就開玩笑,問我是不是變成了這個講題,我回答她說,不錯,她打算說笑,不會認真,不知教會給不給,我說講完是要求,一定要這樣加,成為了今日的講題。
[00:02:35.000 --> 00:02:52.000]  快快樂樂全福音這個題目,其實是取自我讀中學的時間,那個年代有一個軟件叫快快樂樂學倉頡,大家有沒有玩過這個遊戲,這個是一個很經典的程式軟件。
[00:02:52.000 --> 00:03:02.000]  我自己學倉頡是不快樂的,因為我自己不懂倉頡,現在都是不懂得用倉頡,我用廣東話書法打字。
[00:03:02.000 --> 00:03:26.000]  今日我們嘗試思考我們全福音當中的快樂,正如之前講到都講過,老家福音是一卷非常特別的福音書,它除了是一卷非常強調祈禱的方書之外,它更加是一卷很強調快樂的方書。
[00:03:26.000 --> 00:03:37.000]  快樂這個字成為了老家福音非常重要的一個訊息,甚至有學者認為老家福音是一個快樂的方書。
[00:03:37.000 --> 00:03:56.000]  你會發現很多有關的字眼,例如快樂、慶典、讚歌這些字都經常在老家福音出現,大家想想類似的經文,譬如在第一章第七節,我的靈以救主為樂,馬利亞的村主頌。
[00:03:56.000 --> 00:04:16.000]  六章二十三節,當那日你們要歡喜跳躍,十章二十節,不要因鬼符你們就歡喜,要因你們的名記錄在天上歡喜。十三章十七節,耶穌說,看敵人都羞愧了,眾人因他所行一切榮譽的事,就都歡喜了。
[00:04:16.000 --> 00:04:28.000]  最後一章,最後一節,他們就拜他,拜耶穌,大大地歡喜,回到耶路撒冷去,常常在殿裡稱頌神。
[00:04:28.000 --> 00:04:48.000]  所以我們今天就從快樂的角度去理解今天的經文,如果我們去看今天的經文,就會發現快樂成為今天講道的一個很重要的主題,經文是特別去強調門徒的快樂和耶穌的快樂,兩個的比較。
[00:04:48.000 --> 00:05:02.000]  我們先看門徒撒樂,十七節,聖經就強調門徒的快樂,他說那七十個人歡歡喜喜地回來說,主因你的名,就是鬼也服了我們。
