
[00:00:00.000 --> 00:00:09.000]  弟兄姊妹,早晨,平安,大家聽到我的聲音嗎?
[00:00:09.000 --> 00:00:17.000]  今早心情很興奮,很雀躍,因為今早我們紀念耶穌基督,
[00:00:17.000 --> 00:00:21.000]  祂勝過死亡,從死亡中復活過來,
[00:00:21.000 --> 00:00:27.000]  所以我在此鼓勵正在看直播的弟兄姊妹,
[00:00:27.000 --> 00:00:35.000]  我們一起說Hallelujah三次,然後說主復活了,
[00:00:35.000 --> 00:00:44.000]  預備,1,2,3,Hallelujah,Hallelujah,Hallelujah,主復活了,感謝神。
[00:00:44.000 --> 00:00:47.000]  主耶穌的復活的確很不簡單,
[00:00:47.000 --> 00:00:54.000]  因為祂從死裡復活過來是一件石破天驚的喜訊,
[00:00:54.000 --> 00:01:00.000]  耶穌的復活完成了上帝救贖的計劃,
[00:01:00.000 --> 00:01:06.000]  整個過程很不簡單,很不容易,
[00:01:06.000 --> 00:01:13.000]  其實在耶穌遇難,到祂被釘十架獸死,被安葬墳墓,
[00:01:13.000 --> 00:01:20.000]  到今天祂復活,整個過程對很多人來說都是一件很大的喜訊,
[00:01:20.000 --> 00:01:25.000]  但是很可惜,對跟隨耶穌的十二個門徒來說,
[00:01:25.000 --> 00:01:28.000]  卻是一個很大的惡訊,
[00:01:28.000 --> 00:01:35.000]  大家都知道,門徒在耶穌遇難的日子當中,他們很懼怕,
[00:01:35.000 --> 00:01:39.000]  逃跑,躲起來,不想見人,
[00:01:39.000 --> 00:01:43.000]  他們的屬靈的警方可以跌到心谷,
[00:01:43.000 --> 00:01:48.000]  他們的信心也會臨近一個崩潰的邊緣,
[00:01:48.000 --> 00:01:52.000]  在這樣的情況下,頂尖的門徒,
[00:01:52.000 --> 00:01:56.000]  我們發覺到在今天經文裡,
[00:01:56.000 --> 00:02:02.000]  我們看到,在同一個處境,同一個時段裡,
[00:02:02.000 --> 00:02:09.000]  有另一批人相反地很勇敢地站出來,
[00:02:09.000 --> 00:02:12.000]  他們緊隨耶穌的左右,
[00:02:12.000 --> 00:02:17.000]  他們甚至是鍥而不捨地陪伴著耶穌,
[00:02:17.000 --> 00:02:19.000]  是什麼人來的呢?
[00:02:19.000 --> 00:02:24.000]  原來這一班人,就是聖經記載的幾位婦女,
[00:02:24.000 --> 00:02:30.000]  這幾位婦女當中,其中一位特別提到的,
[00:02:30.000 --> 00:02:33.000]  就是叫做「莫大拉的瑪利亞」,
[00:02:33.000 --> 00:02:35.000]  所以剛才大家讀經當中,
[00:02:35.000 --> 00:02:37.000]  都重複提到這個名,
[00:02:37.000 --> 00:02:40.000]  「莫大拉的瑪利亞」有幾次,
[00:02:40.000 --> 00:02:44.000]  「莫大拉的瑪利亞」到底是什麼人來的呢?
[00:02:44.000 --> 00:02:48.000]  她有什麼特別?
[00:02:48.000 --> 00:02:51.000]  我們要問何許人也,
[00:02:51.000 --> 00:02:55.000]  我相信第一,讓我們知道的,
[00:02:55.000 --> 00:02:58.000]  「莫大拉的瑪利亞」是一個普通的婦女,
[00:02:58.000 --> 00:03:01.000]  她不是什麼大戶人家,
[00:03:01.000 --> 00:03:04.000]  也不是什麼顯赫的人物,
[00:03:04.000 --> 00:03:09.000]  所以聖經沒有詳細描述,記載她的出處,
[00:03:09.000 --> 00:03:13.000]  其實她的背景和你和我都差不多,
[00:03:13.000 --> 00:03:16.000]  她是一個普通人,不是很多人認識的,
[00:03:16.000 --> 00:03:19.000]  這是我們知道的第一點,
[00:03:19.000 --> 00:03:22.000]  第二方面,她是一個患病的婦女,
[00:03:22.000 --> 00:03:23.000]  因為聖經記載,
[00:03:23.000 --> 00:03:27.000]  「莫大拉的瑪利亞」曾經在她的身上,
[00:03:27.000 --> 00:03:30.000]  被污鬼纏繞,
[00:03:30.000 --> 00:03:33.000]  甚至有七隻鬼附在她的身上,
[00:03:33.000 --> 00:03:34.000]  大家可以知道,
[00:03:34.000 --> 00:03:37.000]  經年累月這樣的生活是很痛苦,
[00:03:37.000 --> 00:03:44.000]  現在來說,「莫大拉的瑪利亞」應該是一類長期的病患者,
[00:03:44.000 --> 00:03:48.000]  這是我們知道她背景的第二方面,
