
[00:00:00.000 --> 00:00:02.640]  我們開始一起禱告
[00:00:02.640 --> 00:00:05.200]  多謝主讓我們今天晚上
[00:00:05.200 --> 00:00:09.360]  再一次有機會去看啟示錄的經文
[00:00:09.360 --> 00:00:11.920]  我們已經進入第八章
[00:00:11.920 --> 00:00:16.680]  盼望能夠對於七印、七號、七碗
[00:00:16.680 --> 00:00:21.000]  這些災難能夠有相當的掌握
[00:00:21.000 --> 00:00:24.640]  有些是我們難解、不能夠明白的
[00:00:24.640 --> 00:00:28.320]  都幫助我們能夠保持這份謙卑
[00:00:28.320 --> 00:00:30.040]  讓他不明白
[00:00:30.040 --> 00:00:33.760]  但是讓我們能夠掌握到、明白到的
[00:00:33.760 --> 00:00:36.040]  我們就要來去持守
[00:00:36.040 --> 00:00:37.320]  特別是在末世
[00:00:37.320 --> 00:00:40.120]  我們需要為主耶穌作見證的
[00:00:40.120 --> 00:00:42.560]  求祢幫助我們
[00:00:42.560 --> 00:00:44.600]  賜給我們有勇氣
[00:00:44.600 --> 00:00:47.080]  賜給我們有分辨的能力
[00:00:47.080 --> 00:00:49.840]  尤其是去到第十三章之後
[00:00:49.840 --> 00:00:52.480]  特基督的出現
[00:00:52.480 --> 00:00:55.040]  邪惡的三魂一體
[00:00:55.040 --> 00:00:59.880]  都是我們需要留心地上的政權
[00:00:59.880 --> 00:01:03.200]  和宗教、假的宗教
[00:01:03.200 --> 00:01:05.800]  和魔鬼的結合
[00:01:05.800 --> 00:01:09.400]  都幫助我們能夠透過約翰所見到的
[00:01:09.400 --> 00:01:15.520]  讓我們能夠有一個很深的警醒
[00:01:15.520 --> 00:01:19.040]  以致我們不會墮入迷惑
[00:01:19.040 --> 00:01:20.280]  求主幫助
[00:01:20.280 --> 00:01:23.840]  有頂姐妹可能未必可以參加到
[00:01:23.840 --> 00:01:25.400]  求祢保守她們
[00:01:25.400 --> 00:01:26.880]  如果可以的話
[00:01:26.880 --> 00:01:28.760]  來聽錄音
[00:01:28.760 --> 00:01:31.400]  來繼續掌握經文的背景
[00:01:31.400 --> 00:01:33.520]  我們一起在祢面前等候禱告
[00:01:33.520 --> 00:01:35.840]  奉耶穌基督的命
[00:01:35.840 --> 00:01:37.120]  阿門
[00:01:37.120 --> 00:01:38.680]  好
[00:01:38.680 --> 00:01:40.360]  補充上個星期
[00:01:40.360 --> 00:01:43.440]  因為我們臨尾的時間
[00:01:43.440 --> 00:01:45.080]  說了14萬4千
[00:01:45.080 --> 00:01:46.920]  可以有些補充
[00:01:46.920 --> 00:01:50.800]  我今天做了一個小小的功課
[00:01:50.800 --> 00:01:53.560]  幫大家將一些經文
[00:01:53.560 --> 00:01:56.680]  用一個圖表來給大家看
[00:01:56.680 --> 00:01:59.080]  特別要對比就是
[00:01:59.080 --> 00:02:03.520]  創世紀雅各的十二個兒子
[00:02:03.520 --> 00:02:07.320]  和後來進入迦南之前
[00:02:07.320 --> 00:02:08.680]  文素記
[00:02:08.680 --> 00:02:11.480]  說到那些支派安營
