
[00:00:00.000 --> 00:00:03.500]  繼續他們的學業
[00:00:03.500 --> 00:00:08.000]  更加有很多事情需要來預備
[00:00:08.000 --> 00:00:11.500]  我們中間又有做老師
[00:00:11.500 --> 00:00:15.000]  做老師其實已經上學了
[00:00:15.000 --> 00:00:21.000]  已經開始了他們一個預備新的學年
[00:00:21.000 --> 00:00:26.500]  很多會議、很多工作需要來做
[00:00:26.500 --> 00:00:30.000]  當我們回想要上學了
[00:00:30.000 --> 00:00:34.500]  其實現在見到很多小朋友正在上學
[00:00:34.500 --> 00:00:38.000]  這些小朋友有些兩歲的小朋友
[00:00:38.000 --> 00:00:42.500]  在我們香港的學制裏
[00:00:42.500 --> 00:00:48.500]  差不多很多小朋友兩歲開始進入學校
[00:00:48.500 --> 00:00:54.500]  或者最遲都是三歲開始讀幼稚園的K1
[00:00:54.500 --> 00:00:59.500]  計算一下他們在學校裏的生活
[00:00:59.500 --> 00:01:05.500]  可能有十多二十年
[00:01:05.500 --> 00:01:11.500]  他們的學校度過了他們兒童時期
[00:01:11.500 --> 00:01:14.500]  青少年的階段
[00:01:14.500 --> 00:01:19.500]  所以學校的教育對於成長都很重要
[00:01:19.500 --> 00:01:22.500]  因此很多在香港的家長
[00:01:22.500 --> 00:01:26.500]  一提到要讀什麼學校都很緊張
[00:01:26.500 --> 00:01:32.500]  很著緊由幼稚園開始就要讀哪間學校
[00:01:32.500 --> 00:01:36.500]  甚至到小學、中學要派位的時候
[00:01:36.500 --> 00:01:41.500]  那些過程都很艱辛、很緊張
[00:01:41.500 --> 00:01:45.500]  因為相對學校的教育真的很重要
[00:01:45.500 --> 00:01:49.500]  又聽到在很多報道裏
[00:01:49.500 --> 00:01:52.500]  去年在教育界裏面
[00:01:52.500 --> 00:01:56.500]  很多時候都提到芬蘭這個國家
[00:01:56.500 --> 00:01:59.500]  芬蘭這個地方的教育
[00:01:59.500 --> 00:02:05.500]  很多人都要去那裏參觀、學習
[00:02:05.500 --> 00:02:07.500]  有什麼優勝的地方
[00:02:07.500 --> 00:02:11.500]  我們經常說贏在起跑線
[00:02:11.500 --> 00:02:14.500]  不知道你聽過芬蘭的小朋友
[00:02:14.500 --> 00:02:18.500]  剛才說兩歲、三歲就要去上學
[00:02:18.500 --> 00:02:25.500]  芬蘭的小朋友七歲才會開始正統學習生活
[00:02:25.500 --> 00:02:28.500]  七歲啊!比我們遲那麼多
[00:02:28.500 --> 00:02:31.500]  但有一些統計
[00:02:31.500 --> 00:02:35.500]  包括在世界上的四十多個國家
[00:02:35.500 --> 00:02:39.500]  在他們的中學生裏面做了一些統計
[00:02:39.500 --> 00:02:42.500]  原來在芬蘭的中學生
[00:02:42.500 --> 00:02:47.500]  他們包括在一些閱讀能力、邏輯思維
[00:02:47.500 --> 00:02:50.500]  數學、自然科學
[00:02:50.500 --> 00:02:56.500]  他們都是世界排名第一的中學生
[00:02:56.500 --> 00:02:59.500]  這令我們很羡慕
[00:02:59.500 --> 00:03:03.500]  但當我們提到教育這麼重要的時候
[00:03:03.500 --> 00:03:06.500]  重要在什麼呢?
[00:03:06.500 --> 00:03:08.500]  原來在芬蘭
[00:03:08.500 --> 00:03:13.500]  做老師是一個很受尊重的職業
[00:03:13.500 --> 00:03:16.500]  要做老師有相當的學歷
[00:03:16.500 --> 00:03:19.500]  必須有碩士學位
[00:03:19.500 --> 00:03:20.500]  最少的
[00:03:20.500 --> 00:03:23.500]  還有專業的訓練
[00:03:23.500 --> 00:03:28.500]  老師不單單在學校裏面
[00:03:28.500 --> 00:03:32.500]  把知識灌輸給學生
[00:03:32.500 --> 00:03:37.500]  老師是學生的一個很重要的
[00:03:37.500 --> 00:03:42.500]  在知識上啟蒙、啟導的角色
[00:03:42.500 --> 00:03:45.500]  當我們提到教育的時候
[00:03:45.500 --> 00:03:48.500]  嚴教、新教
[00:03:48.500 --> 00:03:51.500]  正正當我們讀聖經的時候
[00:03:51.500 --> 00:03:55.500]  看到在我們這位主耶穌
[00:03:55.500 --> 00:03:59.500]  祂就是一位偉大的教師
[00:03:59.500 --> 00:04:03.500]  值得我們在祂身上學習
[00:04:03.500 --> 00:04:08.500]  同樣這位教師不單在這班門徒身上
[00:04:08.500 --> 00:04:11.500]  同樣當我們讀聖經的話語的時候
[00:04:11.500 --> 00:04:15.500]  我們都是受著主耶穌的教導
[00:04:15.500 --> 00:04:20.500]  當主耶穌在世傳道三年多的時候
[00:04:20.500 --> 00:04:23.500]  無論是在一些封開的場合
[00:04:23.500 --> 00:04:27.500]  對著很多群眾來到廣道
[00:04:27.500 --> 00:04:32.500]  或者私下對門徒的教導
[00:04:32.500 --> 00:04:37.500]  主耶穌祂很多的教導記下來
[00:04:37.500 --> 00:04:40.500]  當我們讀基督生平的時候
[00:04:40.500 --> 00:04:47.500]  實在都看到很多祂所教導的事情
[00:04:47.500 --> 00:04:53.500]  這班門徒來到約翰福音第十三章
[00:04:53.500 --> 00:04:55.500]  第一節記載到
[00:04:55.500 --> 00:05:01.500]  耶穌知道自己離世歸附的時候到了
[00:05:01.500 --> 00:05:02.500]  耶穌知道
[00:05:02.500 --> 00:05:05.500]  也都知道祂的時間
[00:05:05.500 --> 00:05:10.500]  當祂知道祂在世的時間不多
[00:05:10.500 --> 00:05:13.500]  即是說祂將要離開
[00:05:13.500 --> 00:05:19.500]  這一班最親近祂要教導的門徒的時候
[00:05:19.500 --> 00:05:21.500]  時間不多了
[00:05:21.500 --> 00:05:22.500]  時間不多
[00:05:22.500 --> 00:05:27.500]  所以祂說的都是很重要的事情
[00:05:27.500 --> 00:05:30.500]  對這一班門徒最後的教導
[00:05:30.500 --> 00:05:35.500]  必須是他們還未學到
[00:05:35.500 --> 00:05:39.500]  或者還未學到好的事情
[00:05:39.500 --> 00:05:42.500]  主耶穌說我是你們的主
[00:05:42.500 --> 00:05:44.500]  是你們的老師
[00:05:44.500 --> 00:05:50.500]  主耶穌為他們作了榜樣
[00:05:50.500 --> 00:05:55.500]  提醒他們要跟著這樣去做
[00:05:55.500 --> 00:06:00.500]  當在這個記載以前
[00:06:00.500 --> 00:06:04.500]  在不同的福音書裏面翻查的時候
[00:06:04.500 --> 00:06:10.500]  這班門徒一而再有一個問題出現
[00:06:10.500 --> 00:06:13.500]  他們在爭奪
[00:06:13.500 --> 00:06:14.500]  爭什麼?
[00:06:14.500 --> 00:06:19.500]  他們經常爭論誰是大誰是小
[00:06:19.500 --> 00:06:22.500]  當然是爭做大
[00:06:22.500 --> 00:06:25.500]  主耶穌在這件事裏面
[00:06:25.500 --> 00:06:27.500]  再三來代表他們
[00:06:27.500 --> 00:06:29.500]  高界他們,教導他們
[00:06:29.500 --> 00:06:33.500]  主耶穌說你們中間誰願為大
[00:06:33.500 --> 00:06:36.500]  就必作你們的傭人
[00:06:36.500 --> 00:06:38.500]  誰願為首
[00:06:38.500 --> 00:06:42.500]  必作你們的僕人
[00:06:42.500 --> 00:06:44.500]  他們聽不聽得明呢?
[00:06:44.500 --> 00:06:46.500]  當然是不明白
[00:06:46.500 --> 00:06:49.500]  仍然繼續爭
[00:06:49.500 --> 00:06:53.500]  還是坐在哪個位置都要爭
[00:06:53.500 --> 00:06:58.500]  甚至可能在這個御月節的晚餐
[00:06:58.500 --> 00:07:01.500]  都繼續爭著坐在哪裏
[00:07:01.500 --> 00:07:05.500]  不單止說到將來得榮耀的時候
[00:07:05.500 --> 00:07:10.500]  似乎這班門徒真的不明白主對他們的教導
[00:07:10.500 --> 00:07:12.500]  以至主耶穌接下來
[00:07:12.500 --> 00:07:15.500]  以他的新教
[00:07:15.500 --> 00:07:20.500]  主耶穌用當時勞瀑所做的一件工作
[00:07:20.500 --> 00:07:22.500]  洗腳
[00:07:22.500 --> 00:07:26.500]  來訓練,來教導他們
[00:07:26.500 --> 00:07:29.500]  正正因為當時他們身處的環境
[00:07:29.500 --> 00:07:31.500]  巴勒斯坦地
[00:07:31.500 --> 00:07:34.500]  當他們在戶外行走的時候
[00:07:34.500 --> 00:07:37.500]  都是很多沙塵
