
[00:00:00.000 --> 00:00:02.240]  其實每個人都喜歡禮物
[00:00:02.240 --> 00:00:04.120]  人都喜歡有好處的
[00:00:04.120 --> 00:00:05.320]  回教會有沒有好處呢?
[00:00:05.320 --> 00:00:06.640]  待會告訴你
[00:00:06.640 --> 00:00:08.720]  剛才我用了一個方法
[00:00:08.720 --> 00:00:11.520]  取走你的手提電話號碼
[00:00:11.520 --> 00:00:13.520]  今晚我就會炸你
[00:00:13.520 --> 00:00:14.320]  不過很公平的
[00:00:14.320 --> 00:00:15.640]  你可以炸我
[00:00:15.640 --> 00:00:17.160]  其實大家有沒有想過
[00:00:17.160 --> 00:00:18.400]  十年前
[00:00:18.400 --> 00:00:20.760]  是不是沒有這些智能手機
[00:00:20.760 --> 00:00:22.320]  記得以前的電話
[00:00:22.320 --> 00:00:24.360]  扔在地上彈上來的嗎?
[00:00:24.360 --> 00:00:25.720]  不爛的Nokia那些
[00:00:25.720 --> 00:00:27.360]  現在你試試扔
[00:00:27.360 --> 00:00:30.360]  所以其實不斷時代的進步
[00:00:30.360 --> 00:00:32.200]  我說將來的港島
[00:00:32.200 --> 00:00:33.520]  不應該就這樣說的
[00:00:33.520 --> 00:00:35.280]  應該台上的人在說
[00:00:35.280 --> 00:00:36.480]  你問問題
[00:00:36.480 --> 00:00:38.120]  牧師一直在說
[00:00:38.120 --> 00:00:39.080]  你已經用WhatsApp
[00:00:39.080 --> 00:00:40.400]  傳一些問題給他
[00:00:40.400 --> 00:00:42.080]  你聽了有些事情你不明白
[00:00:42.080 --> 00:00:44.440]  師母在旁邊將他綜合了
[00:00:44.440 --> 00:00:45.480]  可能有些答對的問題
[00:00:45.480 --> 00:00:46.920]  就立刻傳給牧師
[00:00:46.920 --> 00:00:48.640]  牧師就回答了問題之後
[00:00:48.640 --> 00:00:50.000]  繼續說下去
[00:00:50.000 --> 00:00:51.320]  是不是應該這樣?
[00:00:51.320 --> 00:00:54.320]  應該說好像做網台的做法
[00:00:54.320 --> 00:00:55.720]  很互動才行
[00:00:55.720 --> 00:00:58.240]  並且你回家之後想起一個問題
[00:00:58.240 --> 00:00:59.480]  你就可以問牧師
[00:00:59.480 --> 00:01:00.920]  牧師剛才你港島那裡
[00:01:00.920 --> 00:01:01.600]  我有些事情想明白
[00:01:01.600 --> 00:01:03.440]  是不是應該這樣好一點?
[00:01:03.440 --> 00:01:04.720]  所以今天講完之後
[00:01:04.720 --> 00:01:06.880]  你繼續跟我聯絡是可以的
[00:01:06.880 --> 00:01:07.720]  我真的會回答你的
[00:01:07.720 --> 00:01:08.800]  不過我忙我就不回答
[00:01:08.800 --> 00:01:09.680]  遲些回答而已
[00:01:09.680 --> 00:01:10.960]  所以我現在有差不多
[00:01:10.960 --> 00:01:13.080]  1500個WhatsApp電話
[00:01:13.080 --> 00:01:14.800]  人們都在跟我繼續聯絡
[00:01:14.800 --> 00:01:15.560]  有時試過
[00:01:15.560 --> 00:01:16.720]  晚上有個女生
[00:01:16.720 --> 00:01:18.680]  就是那些讀中學的學生
[00:01:18.680 --> 00:01:19.200]  就WhatsApp說
[00:01:19.200 --> 00:01:20.520]  校長我很不開心
[00:01:20.520 --> 00:01:21.280]  那我怎樣回答她?
[00:01:21.280 --> 00:01:22.680]  快點跟媽媽說
[00:01:22.680 --> 00:01:25.280]  因為我不會跟她說這麼多
[00:01:25.280 --> 00:01:27.000]  當然叫找媽媽
[00:01:27.000 --> 00:01:30.280]  你會發覺世界真的會變
[00:01:30.280 --> 00:01:32.080]  我自己小時候
[00:01:32.080 --> 00:01:35.000]  從來沒有想過自己的將來
[00:01:35.000 --> 00:01:36.960]  我給你一張相片看看
[00:01:36.960 --> 00:01:42.800]  其實不用拍我的樣子
[00:01:42.800 --> 00:01:45.080]  給我一個螢幕
[00:01:45.080 --> 00:01:46.240]  給我一個螢幕就可以了
[00:01:46.240 --> 00:01:46.960]  我會到處走
[00:01:46.960 --> 00:01:48.840]  所以你拍不到我的
[00:01:48.840 --> 00:01:49.760]  這張相片人們會看
[00:01:49.760 --> 00:01:50.880]  嘩!是Photoshop
[00:01:50.880 --> 00:01:51.640]  不是
[00:01:51.640 --> 00:01:53.200]  這裡是納米比亞
[00:01:53.200 --> 00:01:55.040]  南非的旁邊
[00:01:55.040 --> 00:01:57.440]  全世界最古舊的沙漠
[00:01:57.440 --> 00:01:59.000]  那個沙漠在海邊
[00:01:59.000 --> 00:02:00.360]  真的很奇怪
[00:02:00.360 --> 00:02:01.600]  我們去做什麼呢?
[00:02:01.600 --> 00:02:04.400]  就是多年前2014年的時候
[00:02:04.400 --> 00:02:05.800]  我開始帶學生去參加
[00:02:05.800 --> 00:02:08.240]  250公里的越野賽
[00:02:08.240 --> 00:02:10.400]  250公里有多遠?
[00:02:10.400 --> 00:02:11.440]  很遠
[00:02:11.440 --> 00:02:12.360]  最近我認識一個朋友
[00:02:12.360 --> 00:02:12.880]  他說沒有
