
[00:00:00.000 --> 00:00:04.000]  感謝神!今日有建道神學院前副院長
[00:00:04.000 --> 00:00:07.000]  曾立華牧師在我們中間靜悼
[00:00:07.000 --> 00:00:09.000]  今日講題是
[00:00:09.000 --> 00:00:12.000]  「上主親領有何足具?」
[00:00:12.000 --> 00:00:18.000]  經文記載在舊約新命記三十一章一至八節
[00:00:18.000 --> 00:00:23.000]  舊約新命記三十一章一至八節
[00:00:27.000 --> 00:00:31.000]  摩西去把這些話吩咐以色列眾人
[00:00:31.000 --> 00:00:35.000]  對他們說:我已經一百二十歲了
[00:00:35.000 --> 00:00:38.000]  現在不能照常出入
[00:00:38.000 --> 00:00:44.000]  耶和華曾對我說:你不得過這約旦河
[00:00:44.000 --> 00:00:48.000]  耶和華,你的神必在你面前過河
[00:00:48.000 --> 00:00:51.000]  把這些國從你面前除滅
[00:00:51.000 --> 00:00:54.000]  你就必得他們的地
[00:00:54.000 --> 00:00:57.000]  約斯亞要在你面前過河
[00:00:57.000 --> 00:01:01.000]  只照耶和華所吩咐的
[00:01:01.000 --> 00:01:03.000]  耶和華必對待他們
[00:01:03.000 --> 00:01:08.000]  如同從前待他所除滅的阿摩利人的王
[00:01:08.000 --> 00:01:13.000]  西王與我,以及他們的國一樣
[00:01:13.000 --> 00:01:17.000]  耶和華必將他們交在你們面前
[00:01:17.000 --> 00:01:22.000]  你們要照我所吩咐的一切命令待他們
[00:01:22.000 --> 00:01:24.000]  你們當剛強壯膽
[00:01:24.000 --> 00:01:28.000]  不要害怕,也不要畏懼他們
[00:01:28.000 --> 00:01:31.000]  因為耶和華,你的神,必與你同去
[00:01:31.000 --> 00:01:36.000]  你必不撇下你,也不丟棄你
[00:01:36.000 --> 00:01:38.000]  摩西照了約斯亞來
[00:01:38.000 --> 00:01:42.000]  在以色列眾人眼前對他說:
[00:01:42.000 --> 00:01:44.000]  你當剛強壯膽
[00:01:44.000 --> 00:01:47.000]  因為你要和這百姓一同進入耶和華
[00:01:47.000 --> 00:01:51.000]  向他們列祖起誓,要給他們的地
[00:01:51.000 --> 00:01:55.000]  你也要使他們承受那地為業
[00:01:55.000 --> 00:01:58.000]  耶和華必在你前面行
[00:01:58.000 --> 00:02:00.000]  太別親自與你同在
[00:02:00.000 --> 00:02:03.000]  必不撇下你,也不丟棄你
[00:02:03.000 --> 00:02:07.000]  你不要懼怕,也不要驚惶
[00:02:07.000 --> 00:02:09.000]  有請曾牧師
[00:02:09.000 --> 00:02:23.000]  (神像被動)
[00:02:23.000 --> 00:02:32.000]  奉主的名,誠懇地向感宣的眾弟兄姊妹文安
[00:02:32.000 --> 00:02:38.000]  希望你們能夠在神的話語裏面得鼓勵
[00:02:38.000 --> 00:02:44.000]  在安危的日子,知道主沒有離開我們
[00:02:44.000 --> 00:02:55.000]  主的同在,是承認繼續與教會眾敬拜的弟兄姊妹同在
[00:02:55.000 --> 00:03:00.000]  沒錯,在人生的路上,包括我們基督徒
[00:03:00.000 --> 00:03:06.000]  都有很多不測的困難的事會臨到我們的身上
[00:03:06.000 --> 00:03:14.000]  是我們自己掌控不了,也無法擺脫的
[00:03:14.000 --> 00:03:21.000]  人生的歷程,有很多的事,隨時會殺到我們身上
[00:03:21.000 --> 00:03:28.000]  令到我們心靈裏面有懼怕、恐懼、不安
[00:03:28.000 --> 00:03:38.000]  正如我們這次的直播,也是非常時期的一種措施
[00:03:38.000 --> 00:03:44.000]  但是我們熟悉主的人,應該比不熟悉主的人更加的安穩
[00:03:44.000 --> 00:03:47.000]  就因為我們有神的話語
[00:03:47.000 --> 00:03:56.000]  成為我們在這個動盪的世代裏面的唯一的鼓勵指標的出路
[00:03:56.000 --> 00:04:05.000]  所以我今天想用一段時代轉折裏面的領袖轉移
[00:04:05.000 --> 00:04:13.000]  這個困難的時期,這段經文,和大家作一些的勉勵
[00:04:13.000 --> 00:04:18.000]  我們無法只將客觀的環境改變
[00:04:18.000 --> 00:04:26.000]  正如這段經文,其實這段經文本身就是一段約書亞記的前傳
[00:04:26.000 --> 00:04:31.000]  你會發覺這段經文的大概內容
[00:04:31.000 --> 00:04:39.000]  和約書亞記第一章一到九節是非常類似的
[00:04:39.000 --> 00:04:49.000]  這是先前摩西祝福以色列百姓接受一個現實的困境
[00:04:49.000 --> 00:04:53.000]  就是他要離開了,他要退下了
[00:04:53.000 --> 00:04:57.000]  時代來了一個新的轉折期,領袖的退去
[00:04:57.000 --> 00:05:00.000]  但是新的領袖要接回
[00:05:00.000 --> 00:05:05.000]  人的心一定不安穩
[00:05:05.000 --> 00:05:07.000]  前途如何呢?
[00:05:07.000 --> 00:05:17.000]  誰知道新的領袖能否像上一代的領袖那麼堅強帶領我們過去呢?
[00:05:17.000 --> 00:05:23.000]  但是屬主的人知道,不是在乎人的轉移
[00:05:23.000 --> 00:05:26.000]  但是神是沒有轉移的
[00:05:26.000 --> 00:05:32.000]  神永遠都在,祂是那位不變的神,信實的神
[00:05:32.000 --> 00:05:36.000]  因此這段聖經很清楚
[00:05:36.000 --> 00:05:39.000]  告訴神的子民
[00:05:39.000 --> 00:05:44.000]  領袖的轉折不等於我們的處境
[00:05:44.000 --> 00:05:47.000]  就會停在那裡
[00:05:47.000 --> 00:05:51.000]  神要帶領以色列子民進入迦南英
[00:05:51.000 --> 00:05:57.000]  他們在很早的列祖時期已經很清楚說了
[00:05:57.000 --> 00:06:03.000]  這個永恆的計劃是不會終止的
[00:06:03.000 --> 00:06:10.000]  就等同經過二千年來的世界動盪、戰爭
[00:06:10.000 --> 00:06:13.000]  教會都沒有停過
[00:06:13.000 --> 00:06:17.000]  很多異端邪說攻擊教會
[00:06:17.000 --> 00:06:25.000]  教會很多時候都有停頓,但是沒有終止過它的存在
[00:06:25.000 --> 00:06:29.000]  今天我們看到中國大陸的教會雖然受迫迫
[00:06:29.000 --> 00:06:34.000]  但是仍然是非常活躍的
