
[00:00:00.000 --> 00:00:03.880]  第二次圍魂灣我們一起祈禱
[00:00:03.880 --> 00:00:09.640]  再一次我們很感恩過了聖誕節的長假期
[00:00:09.640 --> 00:00:12.000]  也有不同的特別聚會
[00:00:12.000 --> 00:00:14.920]  無論是舞堂的平安夜崇拜
[00:00:14.920 --> 00:00:16.480]  聖誕節的崇拜
[00:00:16.480 --> 00:00:20.380]  還有我們在雄恩都有來到
[00:00:20.380 --> 00:00:23.400]  有地區在洪水橋
[00:00:23.400 --> 00:00:27.520]  每個屋苑的大型的佈街恩
[00:00:27.520 --> 00:00:29.220]  我們都感謝主
[00:00:29.220 --> 00:00:31.600]  很盼望神的福音
[00:00:31.600 --> 00:00:33.400]  藉著不同的教會
[00:00:33.400 --> 00:00:34.840]  不同的弟兄姊妹
[00:00:34.840 --> 00:00:37.600]  可以來讓更多的香港人
[00:00:37.600 --> 00:00:39.360]  或者其他地區的人
[00:00:39.360 --> 00:00:42.720]  能夠認識救世主的降生
[00:00:42.720 --> 00:00:45.360]  改變真真正正將人
[00:00:45.360 --> 00:00:47.920]  無作的罪人來改變
[00:00:47.920 --> 00:00:49.860]  的一個唯一的機會
[00:00:49.860 --> 00:00:51.080]  求主幫助
[00:00:51.080 --> 00:00:53.040]  我們回來看《羅馬書》
[00:00:53.040 --> 00:00:57.000]  多謝您讓我們又進入第十四章
[00:00:57.000 --> 00:00:59.080]  在教會的內部
[00:00:59.080 --> 00:01:01.900]  怎樣處理一些不同意見
[00:01:01.900 --> 00:01:07.320]  看法甚至乎良心的一些事情
[00:01:07.320 --> 00:01:09.000]  我們求主幫助
[00:01:09.000 --> 00:01:10.840]  讓我們能夠透過
[00:01:10.840 --> 00:01:12.840]  一段本來講這麼重的
[00:01:12.840 --> 00:01:14.840]  救恩的教義
[00:01:14.840 --> 00:01:16.400]  好像一些的問理
[00:01:16.400 --> 00:01:19.400]  一些真理的問答那樣
[00:01:19.400 --> 00:01:22.960]  由保羅來按照神給他的啟示
[00:01:22.960 --> 00:01:24.460]  來講出來的
[00:01:24.460 --> 00:01:27.480]  但是當來到教會的內部
[00:01:27.480 --> 00:01:31.080]  又讓我們看到在不同的處境
[00:01:31.080 --> 00:01:34.440]  有不同文化背景的猶太人
[00:01:34.440 --> 00:01:37.920]  外邦人一起在羅馬教會聚集
[00:01:37.920 --> 00:01:41.060]  就是說保羅可能都意識到
[00:01:41.060 --> 00:01:43.480]  不同的文化聚在一起
[00:01:43.480 --> 00:01:45.760]  一定會有一些的差異的
[00:01:45.760 --> 00:01:51.040]  這些差異用什麼的手法去平衡
[00:01:51.040 --> 00:01:54.480]  去能夠和衷共濟的聚會
[00:01:54.480 --> 00:02:00.420]  這些都是比文化上的差異更加重要
[00:02:00.420 --> 00:02:02.960]  多謝你讓我們可以一起去商討
[00:02:02.960 --> 00:02:06.260]  一起去了解保羅的教導
[00:02:06.260 --> 00:02:08.140]  我們在你面前等候
[00:02:08.140 --> 00:02:09.580]  求主施恩
[00:02:09.580 --> 00:02:11.460]  我們這樣感恩禱告
[00:02:11.460 --> 00:02:14.020]  奉耶穌基督的名
[00:02:14.020 --> 00:02:15.220]  阿們
[00:02:15.220 --> 00:02:17.680]  我們就很感恩
[00:02:17.680 --> 00:02:20.980]  我先開大一點的螢光幕
[00:02:20.980 --> 00:02:25.060]  如果我們停了雖然一次
[00:02:25.060 --> 00:02:31.720]  但是十三章、十四章的分佈
[00:02:31.720 --> 00:02:35.060]  都將愛和警醒
[00:02:35.060 --> 00:02:39.100]  成為了兩個很重要的主題
[00:02:39.100 --> 00:02:43.380]  警醒就是帶來我們在地上的盼望
[00:02:43.380 --> 00:02:48.300]  所以都是環繞著愛心的
[00:02:48.300 --> 00:02:51.120]  無論在社群、社會
[00:02:51.120 --> 00:02:53.120]  因為十三章是說到
[00:02:53.120 --> 00:02:58.220]  我們要對在上的羅馬政權有一個的馴服
[00:02:58.220 --> 00:03:03.660]  這個馴服就是基於每一個管治都是來自神的
[00:03:03.660 --> 00:03:08.400]  所以教會不是特別得天獨厚
[00:03:08.400 --> 00:03:10.640]  和那個社會脫節
[00:03:10.640 --> 00:03:13.460]  不需要活在地上
[00:03:13.460 --> 00:03:15.220]  不是的時候
[00:03:15.220 --> 00:03:18.100]  就是要按正常的情況
