
[00:00:00.000 --> 00:00:06.000]  新約聖經第295-296頁
[00:00:06.000 --> 00:00:12.000]  主席
[00:00:12.000 --> 00:00:18.000]  主席
[00:00:18.000 --> 00:00:24.000]  主席
[00:00:24.000 --> 00:00:30.000]  主席
[00:00:30.000 --> 00:00:36.000]  主席
[00:00:36.000 --> 00:00:42.000]  主席
[00:00:42.000 --> 00:00:48.000]  主席
[00:00:48.000 --> 00:00:54.000]  主席
[00:00:54.000 --> 00:01:00.000]  主席
[00:01:16.000 --> 00:01:22.000]  主席
[00:01:22.000 --> 00:01:28.000]  主席
[00:01:28.000 --> 00:01:34.000]  主席
[00:01:34.000 --> 00:01:40.000]  主席
[00:01:40.000 --> 00:01:46.000]  主席
[00:01:46.000 --> 00:01:52.000]  主席
[00:01:52.000 --> 00:01:58.000]  主席
[00:01:58.000 --> 00:02:04.000]  主席
[00:02:04.000 --> 00:02:10.000]  主席
[00:02:10.000 --> 00:02:16.000]  主席
[00:02:16.000 --> 00:02:22.000]  主席
[00:02:22.000 --> 00:02:28.000]  主席
[00:02:28.000 --> 00:02:34.000]  主席
[00:02:34.000 --> 00:02:40.000]  主席
[00:02:40.000 --> 00:02:46.000]  主席
[00:02:46.000 --> 00:02:52.000]  主席
[00:02:52.000 --> 00:02:58.000]  主席
[00:02:58.000 --> 00:03:04.000]  主席
[00:03:04.000 --> 00:03:10.000]  主席
[00:03:10.000 --> 00:03:16.000]  主席
[00:03:16.000 --> 00:03:22.000]  主席
[00:03:22.000 --> 00:03:28.000]  主席
[00:03:28.000 --> 00:03:34.000]  主席
[00:03:34.000 --> 00:03:40.000]  主席
[00:03:40.000 --> 00:03:46.000]  主席
[00:03:46.000 --> 00:03:52.000]  主席
[00:03:52.000 --> 00:03:58.000]  主席
[00:03:58.000 --> 00:04:04.000]  主席
[00:04:04.000 --> 00:04:10.000]  主席
[00:04:10.000 --> 00:04:16.000]  主席
[00:04:16.000 --> 00:04:22.000]  主席
[00:04:22.000 --> 00:04:28.000]  主席
[00:04:28.000 --> 00:04:34.000]  主席
[00:04:34.000 --> 00:04:40.000]  主席
[00:04:40.000 --> 00:04:46.000]  主席
[00:04:46.000 --> 00:04:52.000]  主席
[00:04:52.000 --> 00:04:58.000]  主席
[00:04:58.000 --> 00:05:04.000]  主席
[00:05:04.000 --> 00:05:10.000]  主席
[00:05:10.000 --> 00:05:16.000]  主席
[00:05:16.000 --> 00:05:22.000]  主席
[00:05:22.000 --> 00:05:28.000]  主席
