
[00:00:00.000 --> 00:00:02.800]  好 各位頂姐妹主裏面平安
[00:00:02.800 --> 00:00:06.520]  在家裏看直播的頂姐妹都平安
[00:00:06.520 --> 00:00:09.200]  我的題目是「攞夫離身」
[00:00:09.200 --> 00:00:13.200]  其實我相信疫情底下每個人都很辛苦 是不是
[00:00:13.200 --> 00:00:16.000]  不過這個辛苦不是我們自己拿來的
[00:00:16.000 --> 00:00:18.400]  但是辛苦這個題目
[00:00:18.400 --> 00:00:21.480]  我相信在這個時間大家都會覺得
[00:00:21.480 --> 00:00:23.520]  有些感覺的
[00:00:23.520 --> 00:00:27.320]  但是我今天講的辛苦會是甚麼一回事呢
[00:00:27.320 --> 00:00:30.120]  大家用心慢慢去聽
[00:00:30.120 --> 00:00:32.280]  首先講一講背景
[00:00:32.280 --> 00:00:34.840]  貼薩羅尼加教會
[00:00:34.840 --> 00:00:37.680]  其實貼薩羅尼加這個地方
[00:00:37.680 --> 00:00:40.520]  是處於馬其頓的首府
[00:00:40.520 --> 00:00:44.640]  馬其頓在古代是一個很大的帝國
[00:00:44.640 --> 00:00:46.720]  但是到了新約時代
[00:00:46.720 --> 00:00:50.400]  其實已經被羅馬帝國統治了
[00:00:50.400 --> 00:00:54.240]  不過馬其頓這個這麼繁榮的帝國
[00:00:54.240 --> 00:00:56.880]  他的首府也不會差到哪裡
[00:00:56.880 --> 00:00:59.440]  所以其實貼薩羅尼加這個地方
[00:00:59.440 --> 00:01:02.880]  是一個相對興旺的城市
[00:01:02.880 --> 00:01:04.640]  可以說是一個大都會
[00:01:04.640 --> 00:01:07.480]  保羅在那裏建立了教會
[00:01:07.480 --> 00:01:09.680]  令到外邦人信了耶穌
[00:01:09.680 --> 00:01:12.960]  但是他令到外邦人信耶穌
[00:01:12.960 --> 00:01:16.320]  卻因為他帶了外邦人信耶穌
[00:01:16.320 --> 00:01:18.280]  猶太人就不喜歡
[00:01:18.280 --> 00:01:21.000]  於是就趕了保羅離開
[00:01:21.000 --> 00:01:23.120]  所以保羅在貼薩羅尼加教會
[00:01:23.120 --> 00:01:25.440]  其實日子不是很長
[00:01:25.440 --> 00:01:29.720]  貼薩羅尼加信徒他們遇到一些困難
[00:01:29.720 --> 00:01:32.720]  所以保羅就要寫信去鼓勵他們
[00:01:32.720 --> 00:01:34.320]  如果想知道什麼困難
[00:01:34.320 --> 00:01:38.520]  我覺得將今天的經文稍微調轉去理解
[00:01:38.520 --> 00:01:40.080]  這樣你就慢慢明白了
[00:01:40.080 --> 00:01:42.240]  在第17到20節那裏
[00:01:42.240 --> 00:01:45.680]  保羅就說他想去貼薩羅尼加教會
[00:01:45.680 --> 00:01:47.560]  他想去他們當中
[00:01:47.560 --> 00:01:48.960]  一次兩次地想去
[00:01:48.960 --> 00:01:51.480]  但是都被撒旦阻撓了
[00:01:51.480 --> 00:01:52.880]  其實保羅真的很想去
[00:01:52.880 --> 00:01:54.840]  因為在保羅心目中
[00:01:54.840 --> 00:01:56.960]  這個教會的人
