
[00:00:00.000 --> 00:00:02.000]  請指揮萬安
[00:00:02.000 --> 00:00:04.000]  按照教會的編排
[00:00:04.000 --> 00:00:08.000]  今日會和大家看獵王紀事實十四章
[00:00:08.000 --> 00:00:12.000]  一段我自己覺得相當沉重
[00:00:12.000 --> 00:00:14.000]  不容易宣講的訊息
[00:00:14.000 --> 00:00:17.000]  當中主要有兩個人物
[00:00:17.000 --> 00:00:20.000]  一個是以色列王耶羅邦安
[00:00:20.000 --> 00:00:24.000]  而另一個就是上帝的先知亞希雅
[00:00:24.000 --> 00:00:27.000]  當中發生了兩件事
[00:00:27.000 --> 00:00:29.000]  第一件事是死亡
[00:00:29.000 --> 00:00:32.000]  第二件事是上帝的審判
[00:00:32.000 --> 00:00:34.000]  對於這兩件事
[00:00:34.000 --> 00:00:39.000]  基督徒很肯定將來兩件事都會發生
[00:00:39.000 --> 00:00:42.000]  而無論是否信神的人都知道
[00:00:42.000 --> 00:00:45.000]  將來要面對死亡
[00:00:45.000 --> 00:00:47.000]  但對於上帝的審判
[00:00:47.000 --> 00:00:50.000]  卻不認同將來會發生
[00:00:50.000 --> 00:00:55.000]  不過拒絕認同不等於不會發生
[00:00:55.000 --> 00:00:56.000]  我舉個例子
[00:00:56.000 --> 00:01:00.000]  有人認為如果我們不想死亡
[00:01:00.000 --> 00:01:02.000]  就沒有需要去面對它
[00:01:02.000 --> 00:01:05.000]  也沒有需要為它做準備
[00:01:05.000 --> 00:01:07.000]  例如買保險
[00:01:07.000 --> 00:01:09.000]  例如立遺囑等等
[00:01:09.000 --> 00:01:14.000]  這樣的想法其實都是想心裏好過些
[00:01:14.000 --> 00:01:16.000]  安樂些
[00:01:16.000 --> 00:01:19.000]  無他格始終年輕人
[00:01:19.000 --> 00:01:22.000]  未有內會輪到自己
[00:01:22.000 --> 00:01:25.000]  以至於亦都沒有必要去考慮
[00:01:25.000 --> 00:01:27.000]  但事實上
[00:01:27.000 --> 00:01:30.000]  死亡可以在任何一日
[00:01:30.000 --> 00:01:31.000]  任何時間
[00:01:31.000 --> 00:01:33.000]  臨到任何人
[00:01:33.000 --> 00:01:36.000]  就好像早幾日在尖沙咀
[00:01:36.000 --> 00:01:40.000]  有一對內地的年輕遊客
[00:01:40.000 --> 00:01:44.000]  原本他們開開心心來旅遊購物
[00:01:44.000 --> 00:01:46.000]  誰知行行下街
[00:01:46.000 --> 00:01:48.000]  有個窗跌了下來
[00:01:48.000 --> 00:01:50.000]  我相信大家都有留意新聞
[00:01:50.000 --> 00:01:52.000]  打中他的頭
[00:01:52.000 --> 00:01:54.000]  最後搶救不治
[00:01:54.000 --> 00:01:58.000]  這樣失去生命非常可惜
[00:01:58.000 --> 00:02:01.000]  但這就是死亡的真相
[00:02:01.000 --> 00:02:03.000]  其實明天如何
[00:02:03.000 --> 00:02:05.000]  你們還不知道
[00:02:05.000 --> 00:02:08.000]  對於無神論的人
[00:02:08.000 --> 00:02:12.000]  除非他們能夠親眼看見神
[00:02:12.000 --> 00:02:16.000]  否則必定會否定神的存在
[00:02:16.000 --> 00:02:20.000]  亦不相信將來會有終極的審判
[00:02:20.000 --> 00:02:22.000]  但無論怎樣否認
[00:02:22.000 --> 00:02:25.000]  要發生的始終都會發生
