
[00:00:00.000 --> 00:00:02.000]  我們首先向祢感謝
[00:00:02.000 --> 00:00:04.000]  因為祢是神
[00:00:04.000 --> 00:00:07.000]  祢賜給我們生命氣息
[00:00:07.000 --> 00:00:10.000]  賜給我們生活所需
[00:00:10.000 --> 00:00:14.000]  祢給我們人生有很多的福分
[00:00:14.000 --> 00:00:16.000]  我們來敬拜祢
[00:00:16.000 --> 00:00:19.000]  求祢的靈在我們心中工作
[00:00:19.000 --> 00:00:21.000]  讓我們明白聖經的說話
[00:00:21.000 --> 00:00:25.000]  將我們的眼目轉移在祢的身上
[00:00:25.000 --> 00:00:27.000]  祈禱奉耶穌基督的名
[00:00:27.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:30.000]  感謝神的恩典
[00:00:30.000 --> 00:00:33.000]  讓我和眾弟兄姊妹分享聖經的訊息
[00:00:33.000 --> 00:00:36.000]  我在祈禱和思考之後
[00:00:36.000 --> 00:00:38.000]  決定了這個題目
[00:00:38.000 --> 00:00:40.000]  就是保羅在羅馬傳道
[00:00:40.000 --> 00:00:45.000]  經文就是《使徒行傳》第28章第30到31節
[00:00:45.000 --> 00:00:47.000]  講到的內容有三個部分
[00:00:47.000 --> 00:00:52.000]  第一個部分是保羅的傳道是遇到毀謗的
[00:00:52.000 --> 00:00:57.000]  第二部分就是保羅向羅馬官員和猶太人傳道
[00:00:57.000 --> 00:01:01.000]  第三部分就是保羅在危機中放膽傳道
[00:01:01.000 --> 00:01:03.000]  首先看看第一個部分
[00:01:03.000 --> 00:01:06.000]  保羅的傳道遇到毀謗
[00:01:06.000 --> 00:01:12.000]  《使徒行傳》第28章記載保羅被送去羅馬
[00:01:12.000 --> 00:01:18.000]  大家可能會問為甚麼保羅會被送去羅馬呢?
[00:01:18.000 --> 00:01:20.000]  如果要回答這個問題
[00:01:20.000 --> 00:01:24.000]  事情就要回到《使徒行傳》第21章說起
[00:01:24.000 --> 00:01:28.000]  你可能會覺得我現在是開始說21章
[00:01:28.000 --> 00:01:30.000]  何時才說到第28章呢?
[00:01:30.000 --> 00:01:32.000]  我都很少這樣做的
[00:01:32.000 --> 00:01:34.000]  但今次真的有這個需要
[00:01:34.000 --> 00:01:36.000]  在《使徒行傳》第21章
[00:01:36.000 --> 00:01:38.000]  重點是在哪裏呢?
[00:01:38.000 --> 00:01:41.000]  是保羅在耶路撒冷
[00:01:41.000 --> 00:01:43.000]  大家記住是耶路撒冷聖殿
[00:01:43.000 --> 00:01:46.000]  他被猶太人拉了出去
[00:01:46.000 --> 00:01:48.000]  準備要殺他
[00:01:48.000 --> 00:01:52.000]  有人通知羅馬軍隊的千夫長
[00:01:52.000 --> 00:01:56.000]  千夫長帶人去到現場
[00:01:56.000 --> 00:01:59.000]  猶太人停手打保羅
[00:01:59.000 --> 00:02:02.000]  然後千夫長拘捕了保羅
