
[00:00:00.000 --> 00:00:04.000]  各位鼎姐妹早安,主人平安
[00:00:04.000 --> 00:00:10.120]  母親節快樂,希望各位母親今天開開心心
[00:00:10.120 --> 00:00:15.240]  相信有很多慶祝活動,我看到這幾天餐廳都很爆
[00:00:15.240 --> 00:00:20.880]  講母親節的主題,其實我都覺得很頭痕
[00:00:20.880 --> 00:00:23.000]  到底講什麼訊息好呢?
[00:00:23.000 --> 00:00:27.000]  今天想跟大家講關於教養系統
[00:00:27.000 --> 00:00:33.000]  父母如何教養子女,如何與子女有一個好的屬靈關係
[00:00:33.000 --> 00:00:35.000]  會講薩姆爾記上
[00:00:35.000 --> 00:00:41.000]  由於今天經文比較多,我講的內容都覆蓋在第一第二章
[00:00:41.000 --> 00:00:47.000]  所以大家拿手機出來開薩姆爾記上都可以
[00:00:47.000 --> 00:00:54.000]  首先我想跟大家講一個人,就是哈拿之子,即是薩姆爾
[00:00:54.000 --> 00:00:58.000]  薩姆爾記上一開始講一個家庭
[00:00:58.000 --> 00:01:02.000]  家庭的丈夫叫做爾利加拿
[00:01:02.000 --> 00:01:08.000]  他有兩個老婆,一個叫做哈拿,另一個叫做比利拿
[00:01:08.000 --> 00:01:14.000]  經文就說比利拿有孩子,哈拿卻沒有孩子
[00:01:14.000 --> 00:01:19.000]  其實這一句已經將這個家庭最大的衝突彰顯了出來
[00:01:19.000 --> 00:01:21.000]  一個有孩子一個沒有孩子
[00:01:21.000 --> 00:01:25.000]  中國人說這些齊人之福有兩個老婆
[00:01:25.000 --> 00:01:28.000]  但其實我一向都覺得這些是災難
[00:01:28.000 --> 00:01:34.000]  爾利加拿其實是一個很敬虔的人
[00:01:34.000 --> 00:01:37.000]  你不要以為有兩個老婆就不敬虔
[00:01:37.000 --> 00:01:39.000]  那時候是容許的
[00:01:39.000 --> 00:01:44.000]  通常都是因為有可能是正室他沒有孩子
[00:01:44.000 --> 00:01:49.000]  所以才會容許他去納妾幫他生小孩
[00:01:49.000 --> 00:01:52.000]  但許可不代表是一件好事
[00:01:52.000 --> 00:01:56.000]  即是爾利加拿雖然是一個很敬虔的人
[00:01:56.000 --> 00:02:00.000]  但他的家庭就因為這樣也有些問題
[00:02:00.000 --> 00:02:04.000]  他會去獻祭給上帝
[00:02:04.000 --> 00:02:06.000]  即是他是一個很敬虔的人
