
[00:00:00.000 --> 00:00:02.880]  邀請大家一起同心禱告
[00:00:02.880 --> 00:00:08.220]  感恩天父讓我們再次到第十堂
[00:00:08.220 --> 00:00:10.880]  來看宗教改革
[00:00:10.880 --> 00:00:16.720]  感謝主讓我們透過四位重要的當時代人物
[00:00:16.720 --> 00:00:22.600]  他們的人生、主張、神學論述
[00:00:22.600 --> 00:00:30.120]  帶出一個很嶄新、脫離了一個很僵化的宗教體系
[00:00:30.120 --> 00:00:32.120]  其實一點都不簡單
[00:00:32.120 --> 00:00:34.620]  因為整個歐洲的復原
[00:00:34.620 --> 00:00:37.580]  天主教已經超過一千年
[00:00:37.580 --> 00:00:45.940]  在整個歐洲的大陸的潛移文化和傳統的運作
[00:00:45.940 --> 00:00:50.760]  其實已經在整個歐洲盤踞了
[00:00:50.760 --> 00:00:53.580]  差不多是神的代言
[00:00:53.580 --> 00:00:59.780]  但是我們又看到居然有人看到一些問題
[00:00:59.780 --> 00:01:04.020]  來針對和扭轉
[00:01:04.020 --> 00:01:07.540]  又帶來一個新的格局
[00:01:07.540 --> 00:01:13.460]  基督教從此開始在歐洲大陸傳道
[00:01:13.460 --> 00:01:17.460]  傳講一個回到聖經的真理的福音
[00:01:17.460 --> 00:01:18.900]  我們很感謝神
[00:01:18.900 --> 00:01:22.980]  一直我們看到到十六、十七世紀
[00:01:22.980 --> 00:01:29.140]  又有另外一波的大復興在英國、美國的出現
[00:01:29.140 --> 00:01:36.180]  以至復興的浪潮直接催生普世宣教的運動
[00:01:36.180 --> 00:01:41.540]  使中國、印度、非洲、東南亞
[00:01:41.540 --> 00:01:44.260]  這些從來都沒有福音
[00:01:44.260 --> 00:01:50.820]  比較整全和有規劃的傳福音的運動正式開始
[00:01:50.820 --> 00:01:56.980]  我們看到神都是這樣按著一個時代一個時代
[00:01:56.980 --> 00:02:01.860]  疊加上去這些時宮的福音能力
[00:02:01.860 --> 00:02:06.420]  我們看到當人回到聖經的時候
