
[00:00:00.000 --> 00:00:03.360]  多謝主再一次我們能夠來到研讀
[00:00:03.360 --> 00:00:05.360]  約翰福音的第十五章
[00:00:05.360 --> 00:00:10.720]  幫助我們能夠逐節去明白其中的意思
[00:00:10.720 --> 00:00:16.200]  讓我們好像回到耶穌的門徒當中
[00:00:16.200 --> 00:00:18.920]  來去等候、聆聽
[00:00:18.920 --> 00:00:23.120]  耶穌基督你怎樣來去勉勵這一班的門徒
[00:00:23.120 --> 00:00:25.400]  因為其實是分手在即
[00:00:25.400 --> 00:00:27.400]  好幾個小時之後
[00:00:27.400 --> 00:00:32.200]  主耶穌就要被捉拿、審判和定罪
[00:00:32.200 --> 00:00:37.240]  門徒在那種不能夠招架的心靈
[00:00:37.240 --> 00:00:41.320]  是四散和否認
[00:00:41.320 --> 00:00:44.320]  這個都是人性的表現
[00:00:44.320 --> 00:00:49.120]  和我們的主帶著人的血肉之軀
[00:00:49.120 --> 00:00:51.400]  去完成神的旨意
[00:00:51.400 --> 00:00:53.600]  一個很大的對比
[00:00:53.600 --> 00:00:55.960]  這個都是我們一生要去追求
[00:00:55.960 --> 00:00:57.960]  求主幫助帶領我們
[00:00:57.960 --> 00:00:59.960]  我們等候在你的面前
[00:00:59.960 --> 00:01:02.960]  禱告奉耶穌基督的名
[00:01:02.960 --> 00:01:03.960]  阿們
[00:01:03.960 --> 00:01:05.960]  上個星期最後提到
[00:01:05.960 --> 00:01:07.960]  揀選這個課題
[00:01:07.960 --> 00:01:11.960]  你可以想像到對耶穌來說
[00:01:11.960 --> 00:01:14.960]  來去勉勵這一班
[00:01:14.960 --> 00:01:16.960]  快要分開的門徒
[00:01:16.960 --> 00:01:19.960]  他們的心情固然是非常複雜
[00:01:19.960 --> 00:01:21.960]  有時會很高漲
[00:01:21.960 --> 00:01:23.960]  因為如果能夠耶穌行神蹟
[00:01:23.960 --> 00:01:25.960]  你站在耶穌旁邊
[00:01:25.960 --> 00:01:27.960]  你就可以受惠
[00:01:27.960 --> 00:01:30.960]  那些門徒或群眾
[00:01:30.960 --> 00:01:33.960]  對你的某程度的供奉
[00:01:33.960 --> 00:01:35.960]  因為你是耶穌的門徒
[00:01:35.960 --> 00:01:37.960]  你是祂的手下
[00:01:37.960 --> 00:01:39.960]  但是當落魄的時候
[00:01:39.960 --> 00:01:41.960]  露出頭腦的時候
[00:01:41.960 --> 00:01:43.960]  你是祂的門徒
[00:01:43.960 --> 00:01:46.960]  你就要面對那個逼迫
[00:01:46.960 --> 00:01:48.960]  被人嘲笑
[00:01:48.960 --> 00:01:51.960]  這個門徒很快就要面對
[00:01:51.960 --> 00:01:53.960]  所以你可以想像到
[00:01:53.960 --> 00:01:55.960]  主耶穌很明白人性
[00:01:55.960 --> 00:01:58.960]  很明白門徒這個時候
[00:01:58.960 --> 00:02:00.960]  那種騎虎難下
[00:02:00.960 --> 00:02:02.960]  跟了幾年
[00:02:02.960 --> 00:02:04.960]  沒理由不跟的
[00:02:04.960 --> 00:02:06.960]  但是去哪裏呢?
[00:02:06.960 --> 00:02:07.960]  耶穌如果去死的
[00:02:07.960 --> 00:02:09.960]  他們沒理由會跟的
[00:02:09.960 --> 00:02:11.960]  所以這個揀選這裡
[00:02:11.960 --> 00:02:13.960]  再一次提
[00:02:13.960 --> 00:02:17.960]  絕對是符合當時的心情
[00:02:17.960 --> 00:02:19.960]  但是對於耶穌來說
[00:02:19.960 --> 00:02:23.960]  祂那種堅定的對父神的成就
[00:02:23.960 --> 00:02:25.960]  萬事的信心
[00:02:25.960 --> 00:02:27.960]  是很難以想像
[00:02:27.960 --> 00:02:29.960]  因為門徒可以預計到
[00:02:29.960 --> 00:02:33.960]  他們一定會失敗和跌倒的
[00:02:33.960 --> 00:02:36.960]  因為那個逼迫實在太厲害太大
[00:02:36.960 --> 00:02:38.960]  更加有人覺得
[00:02:38.960 --> 00:02:41.960]  是突顯那個不是普通的
[00:02:41.960 --> 00:02:43.960]  表面的反對
[00:02:43.960 --> 00:02:45.960]  是一個人性
[00:02:45.960 --> 00:02:49.960]  在墮落世界裏面的體系的人
[00:02:49.960 --> 00:02:52.960]  對於基督徒的攻擊
[00:02:52.960 --> 00:02:54.960]  所以一成為基督徒
[00:02:54.960 --> 00:02:57.960]  是必須要注定
